term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,0.015427174192017078,0.0033345464204623267,4.626468564764541,3.719532910041631e-6,18.03644710677479,0.008891583303133964,0.02196276508090019,0.009129442451911982,15,1123,Female,Dom,Chat.GABA_7,MER
Sex,Male - Female,0.015427174192017078,0.0033345464204623267,4.626468564764541,3.719532910041631e-6,18.03644710677479,0.008891583303133964,0.02196276508090019,0.009129442451911982,8,1119,Female,Dom,Chat.GABA_7,MER
Sex,Male - Female,0.015427174192017078,0.0033345464204623267,4.626468564764541,3.719532910041631e-6,18.03644710677479,0.008891583303133964,0.02196276508090019,0.009129442451911982,5,825,Female,Dom,Chat.GABA_7,MER
Sex,Male - Female,-0.0030831455945337077,0.0033500572494360352,-0.9203262407090921,0.35740230035754217,1.484379174823185,-0.009649137149575653,0.0034828459605082364,0.010744435917114348,3,377,Female,Sub,Chat.GABA_7,MER
Sex,Male - Female,-0.0030831455945337077,0.0033500572494360352,-0.9203262407090921,0.35740230035754217,1.484379174823185,-0.009649137149575653,0.0034828459605082364,0.010744435917114348,6,456,Female,Sub,Chat.GABA_7,MER
Sex,Male - Female,-0.0030831455945337077,0.0033500572494360352,-0.9203262407090921,0.35740230035754217,1.484379174823185,-0.009649137149575653,0.0034828459605082364,0.010744435917114348,5,470,Female,Sub,Chat.GABA_7,MER
Sex,Male - Female,0.015427174192017078,0.0033345464204623267,4.626468564764541,3.719532910041631e-6,18.03644710677479,0.008891583303133964,0.02196276508090019,0.02455661664392906,17,767,Male,Dom,Chat.GABA_7,MER
Sex,Male - Female,0.015427174192017078,0.0033345464204623267,4.626468564764541,3.719532910041631e-6,18.03644710677479,0.008891583303133964,0.02196276508090019,0.02455661664392906,31,1261,Male,Dom,Chat.GABA_7,MER
Sex,Male - Female,0.015427174192017078,0.0033345464204623267,4.626468564764541,3.719532910041631e-6,18.03644710677479,0.008891583303133964,0.02196276508090019,0.02455661664392906,24,904,Male,Dom,Chat.GABA_7,MER
Sex,Male - Female,-0.0030831455945337077,0.0033500572494360352,-0.9203262407090921,0.35740230035754217,1.484379174823185,-0.009649137149575653,0.0034828459605082364,0.0076612903225806404,6,864,Male,Sub,Chat.GABA_7,MER
Sex,Male - Female,-0.0030831455945337077,0.0033500572494360352,-0.9203262407090921,0.35740230035754217,1.484379174823185,-0.009649137149575653,0.0034828459605082364,0.0076612903225806404,8,911,Male,Sub,Chat.GABA_7,MER
Sex,Male - Female,-0.0030831455945337077,0.0033500572494360352,-0.9203262407090921,0.35740230035754217,1.484379174823185,-0.009649137149575653,0.0034828459605082364,0.0076612903225806404,5,705,Male,Sub,Chat.GABA_7,MER
Status,Sub - Dom,0.0016149934652023665,0.0033326886541675633,0.4845917614244582,0.6279659588954,0.671241740012314,-0.004916956268651319,0.008146943199056053,0.009129442451911982,15,1123,Female,Dom,Chat.GABA_7,MER
Status,Sub - Dom,0.0016149934652023665,0.0033326886541675633,0.4845917614244582,0.6279659588954,0.671241740012314,-0.004916956268651319,0.008146943199056053,0.009129442451911982,8,1119,Female,Dom,Chat.GABA_7,MER
Status,Sub - Dom,0.0016149934652023665,0.0033326886541675633,0.4845917614244582,0.6279659588954,0.671241740012314,-0.004916956268651319,0.008146943199056053,0.009129442451911982,5,825,Female,Dom,Chat.GABA_7,MER
Status,Sub - Dom,0.0016149934652023665,0.0033326886541675633,0.4845917614244582,0.6279659588954,0.671241740012314,-0.004916956268651319,0.008146943199056053,0.010744435917114348,3,377,Female,Sub,Chat.GABA_7,MER
Status,Sub - Dom,0.0016149934652023665,0.0033326886541675633,0.4845917614244582,0.6279659588954,0.671241740012314,-0.004916956268651319,0.008146943199056053,0.010744435917114348,6,456,Female,Sub,Chat.GABA_7,MER
Status,Sub - Dom,0.0016149934652023665,0.0033326886541675633,0.4845917614244582,0.6279659588954,0.671241740012314,-0.004916956268651319,0.008146943199056053,0.010744435917114348,5,470,Female,Sub,Chat.GABA_7,MER
Status,Sub - Dom,-0.01689532632134842,0.003351905804206988,-5.040513459579634,4.642844708340609e-7,21.038487637076855,-0.02346494097716488,-0.010325711665531957,0.02455661664392906,17,767,Male,Dom,Chat.GABA_7,MER
Status,Sub - Dom,-0.01689532632134842,0.003351905804206988,-5.040513459579634,4.642844708340609e-7,21.038487637076855,-0.02346494097716488,-0.010325711665531957,0.02455661664392906,31,1261,Male,Dom,Chat.GABA_7,MER
Status,Sub - Dom,-0.01689532632134842,0.003351905804206988,-5.040513459579634,4.642844708340609e-7,21.038487637076855,-0.02346494097716488,-0.010325711665531957,0.02455661664392906,24,904,Male,Dom,Chat.GABA_7,MER
Status,Sub - Dom,-0.01689532632134842,0.003351905804206988,-5.040513459579634,4.642844708340609e-7,21.038487637076855,-0.02346494097716488,-0.010325711665531957,0.0076612903225806404,6,864,Male,Sub,Chat.GABA_7,MER
Status,Sub - Dom,-0.01689532632134842,0.003351905804206988,-5.040513459579634,4.642844708340609e-7,21.038487637076855,-0.02346494097716488,-0.010325711665531957,0.0076612903225806404,8,911,Male,Sub,Chat.GABA_7,MER
Status,Sub - Dom,-0.01689532632134842,0.003351905804206988,-5.040513459579634,4.642844708340609e-7,21.038487637076855,-0.02346494097716488,-0.010325711665531957,0.0076612903225806404,5,705,Male,Sub,Chat.GABA_7,MER
