term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.006370904283640807,0.0020778285905948025,-3.0661356343244184,0.002168449232667549,8.849120617175215,-0.01044337348725424,-0.002298435080027374,0.009781545484186516,10,1123,Female,Dom,Fezf1.GLU_3,MER
Sex,Male - Female,-0.006370904283640807,0.0020778285905948025,-3.0661356343244184,0.002168449232667549,8.849120617175215,-0.01044337348725424,-0.002298435080027374,0.009781545484186516,5,1119,Female,Dom,Fezf1.GLU_3,MER
Sex,Male - Female,-0.006370904283640807,0.0020778285905948025,-3.0661356343244184,0.002168449232667549,8.849120617175215,-0.01044337348725424,-0.002298435080027374,0.009781545484186516,15,825,Female,Dom,Fezf1.GLU_3,MER
Sex,Male - Female,0.0018078627484960277,0.0022797141494966507,0.7930216816416192,0.42776519067797575,1.2251090066796289,-0.002660294879563767,0.006276020376555822,0.0038372985418265596,2,377,Female,Sub,Fezf1.GLU_3,MER
Sex,Male - Female,0.0018078627484960277,0.0022797141494966507,0.7930216816416192,0.42776519067797575,1.2251090066796289,-0.002660294879563767,0.006276020376555822,0.0038372985418265596,2,456,Female,Sub,Fezf1.GLU_3,MER
Sex,Male - Female,0.0018078627484960277,0.0022797141494966507,0.7930216816416192,0.42776519067797575,1.2251090066796289,-0.002660294879563767,0.006276020376555822,0.0038372985418265596,1,470,Female,Sub,Fezf1.GLU_3,MER
Sex,Male - Female,-0.006370904283640807,0.0020778285905948025,-3.0661356343244184,0.002168449232667549,8.849120617175215,-0.01044337348725424,-0.002298435080027374,0.003410641200545709,6,767,Male,Dom,Fezf1.GLU_3,MER
Sex,Male - Female,-0.006370904283640807,0.0020778285905948025,-3.0661356343244184,0.002168449232667549,8.849120617175215,-0.01044337348725424,-0.002298435080027374,0.003410641200545709,2,1261,Male,Dom,Fezf1.GLU_3,MER
Sex,Male - Female,-0.006370904283640807,0.0020778285905948025,-3.0661356343244184,0.002168449232667549,8.849120617175215,-0.01044337348725424,-0.002298435080027374,0.003410641200545709,2,904,Male,Dom,Fezf1.GLU_3,MER
Sex,Male - Female,0.0018078627484960277,0.0022797141494966507,0.7930216816416192,0.42776519067797575,1.2251090066796289,-0.002660294879563767,0.006276020376555822,0.005645161290322587,4,864,Male,Sub,Fezf1.GLU_3,MER
Sex,Male - Female,0.0018078627484960277,0.0022797141494966507,0.7930216816416192,0.42776519067797575,1.2251090066796289,-0.002660294879563767,0.006276020376555822,0.005645161290322587,3,911,Male,Sub,Fezf1.GLU_3,MER
Sex,Male - Female,0.0018078627484960277,0.0022797141494966507,0.7930216816416192,0.42776519067797575,1.2251090066796289,-0.002660294879563767,0.006276020376555822,0.005645161290322587,7,705,Male,Sub,Fezf1.GLU_3,MER
Status,Sub - Dom,-0.005944246942359957,0.0024681496487466126,-2.408381900740335,0.0160234095798273,5.963675022020467,-0.010781731362358502,-0.0011067625223614118,0.009781545484186516,10,1123,Female,Dom,Fezf1.GLU_3,MER
Status,Sub - Dom,-0.005944246942359957,0.0024681496487466126,-2.408381900740335,0.0160234095798273,5.963675022020467,-0.010781731362358502,-0.0011067625223614118,0.009781545484186516,5,1119,Female,Dom,Fezf1.GLU_3,MER
Status,Sub - Dom,-0.005944246942359957,0.0024681496487466126,-2.408381900740335,0.0160234095798273,5.963675022020467,-0.010781731362358502,-0.0011067625223614118,0.009781545484186516,15,825,Female,Dom,Fezf1.GLU_3,MER
Status,Sub - Dom,-0.005944246942359957,0.0024681496487466126,-2.408381900740335,0.0160234095798273,5.963675022020467,-0.010781731362358502,-0.0011067625223614118,0.0038372985418265596,2,377,Female,Sub,Fezf1.GLU_3,MER
Status,Sub - Dom,-0.005944246942359957,0.0024681496487466126,-2.408381900740335,0.0160234095798273,5.963675022020467,-0.010781731362358502,-0.0011067625223614118,0.0038372985418265596,2,456,Female,Sub,Fezf1.GLU_3,MER
Status,Sub - Dom,-0.005944246942359957,0.0024681496487466126,-2.408381900740335,0.0160234095798273,5.963675022020467,-0.010781731362358502,-0.0011067625223614118,0.0038372985418265596,1,470,Female,Sub,Fezf1.GLU_3,MER
Status,Sub - Dom,0.0022345200897768785,0.0018500553583936602,1.2078125552507986,0.227119370995628,2.1384773362334872,-0.0013915217820800367,0.005860561961633794,0.003410641200545709,6,767,Male,Dom,Fezf1.GLU_3,MER
Status,Sub - Dom,0.0022345200897768785,0.0018500553583936602,1.2078125552507986,0.227119370995628,2.1384773362334872,-0.0013915217820800367,0.005860561961633794,0.003410641200545709,2,1261,Male,Dom,Fezf1.GLU_3,MER
Status,Sub - Dom,0.0022345200897768785,0.0018500553583936602,1.2078125552507986,0.227119370995628,2.1384773362334872,-0.0013915217820800367,0.005860561961633794,0.003410641200545709,2,904,Male,Dom,Fezf1.GLU_3,MER
Status,Sub - Dom,0.0022345200897768785,0.0018500553583936602,1.2078125552507986,0.227119370995628,2.1384773362334872,-0.0013915217820800367,0.005860561961633794,0.005645161290322587,4,864,Male,Sub,Fezf1.GLU_3,MER
Status,Sub - Dom,0.0022345200897768785,0.0018500553583936602,1.2078125552507986,0.227119370995628,2.1384773362334872,-0.0013915217820800367,0.005860561961633794,0.005645161290322587,3,911,Male,Sub,Fezf1.GLU_3,MER
Status,Sub - Dom,0.0022345200897768785,0.0018500553583936602,1.2078125552507986,0.227119370995628,2.1384773362334872,-0.0013915217820800367,0.005860561961633794,0.005645161290322587,7,705,Male,Sub,Fezf1.GLU_3,MER
