term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-3.776503918178145e-4,0.0030160787595016254,-0.12521237737180882,0.9003554186375262,0.15143347179462285,-0.006289056134977242,0.005533755351341613,0.014020215194000686,15,1123,Female,Dom,Hmcn1.GABA_1,MER
Sex,Male - Female,-3.776503918178145e-4,0.0030160787595016254,-0.12521237737180882,0.9003554186375262,0.15143347179462285,-0.006289056134977242,0.005533755351341613,0.014020215194000686,14,1119,Female,Dom,Hmcn1.GABA_1,MER
Sex,Male - Female,-3.776503918178145e-4,0.0030160787595016254,-0.12521237737180882,0.9003554186375262,0.15143347179462285,-0.006289056134977242,0.005533755351341613,0.014020215194000686,14,825,Female,Dom,Hmcn1.GABA_1,MER
Sex,Male - Female,-0.008429678409625576,0.004978321771818938,-1.6932771315313373,0.09040272891628479,3.4674898669731005,-0.01818700978584232,0.0013276529665911686,0.024558710667690133,6,377,Female,Sub,Hmcn1.GABA_1,MER
Sex,Male - Female,-0.008429678409625576,0.004978321771818938,-1.6932771315313373,0.09040272891628479,3.4674898669731005,-0.01818700978584232,0.0013276529665911686,0.024558710667690133,11,456,Female,Sub,Hmcn1.GABA_1,MER
Sex,Male - Female,-0.008429678409625576,0.004978321771818938,-1.6932771315313373,0.09040272891628479,3.4674898669731005,-0.01818700978584232,0.0013276529665911686,0.024558710667690133,15,470,Female,Sub,Hmcn1.GABA_1,MER
Sex,Male - Female,-3.776503918178145e-4,0.0030160787595016254,-0.12521237737180882,0.9003554186375262,0.15143347179462285,-0.006289056134977242,0.005533755351341613,0.013642564802182872,14,767,Male,Dom,Hmcn1.GABA_1,MER
Sex,Male - Female,-3.776503918178145e-4,0.0030160787595016254,-0.12521237737180882,0.9003554186375262,0.15143347179462285,-0.006289056134977242,0.005533755351341613,0.013642564802182872,13,1261,Male,Dom,Hmcn1.GABA_1,MER
Sex,Male - Female,-3.776503918178145e-4,0.0030160787595016254,-0.12521237737180882,0.9003554186375262,0.15143347179462285,-0.006289056134977242,0.005533755351341613,0.013642564802182872,13,904,Male,Dom,Hmcn1.GABA_1,MER
Sex,Male - Female,-0.008429678409625576,0.004978321771818938,-1.6932771315313373,0.09040272891628479,3.4674898669731005,-0.01818700978584232,0.0013276529665911686,0.016129032258064557,17,864,Male,Sub,Hmcn1.GABA_1,MER
Sex,Male - Female,-0.008429678409625576,0.004978321771818938,-1.6932771315313373,0.09040272891628479,3.4674898669731005,-0.01818700978584232,0.0013276529665911686,0.016129032258064557,15,911,Male,Sub,Hmcn1.GABA_1,MER
Sex,Male - Female,-0.008429678409625576,0.004978321771818938,-1.6932771315313373,0.09040272891628479,3.4674898669731005,-0.01818700978584232,0.0013276529665911686,0.016129032258064557,8,705,Male,Sub,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.010538495473689447,0.004784575427969412,2.202597833881786,0.027623106732413284,5.177980603147963,0.0011608999535540863,0.019916090993824808,0.014020215194000686,15,1123,Female,Dom,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.010538495473689447,0.004784575427969412,2.202597833881786,0.027623106732413284,5.177980603147963,0.0011608999535540863,0.019916090993824808,0.014020215194000686,14,1119,Female,Dom,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.010538495473689447,0.004784575427969412,2.202597833881786,0.027623106732413284,5.177980603147963,0.0011608999535540863,0.019916090993824808,0.014020215194000686,14,825,Female,Dom,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.010538495473689447,0.004784575427969412,2.202597833881786,0.027623106732413284,5.177980603147963,0.0011608999535540863,0.019916090993824808,0.024558710667690133,6,377,Female,Sub,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.010538495473689447,0.004784575427969412,2.202597833881786,0.027623106732413284,5.177980603147963,0.0011608999535540863,0.019916090993824808,0.024558710667690133,11,456,Female,Sub,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.010538495473689447,0.004784575427969412,2.202597833881786,0.027623106732413284,5.177980603147963,0.0011608999535540863,0.019916090993824808,0.024558710667690133,15,470,Female,Sub,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.0024864674558816857,0.0033148534023340497,0.7500987688115914,0.453195220984439,1.141795447096989,-0.004010525826723112,0.008983460738486482,0.013642564802182872,14,767,Male,Dom,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.0024864674558816857,0.0033148534023340497,0.7500987688115914,0.453195220984439,1.141795447096989,-0.004010525826723112,0.008983460738486482,0.013642564802182872,13,1261,Male,Dom,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.0024864674558816857,0.0033148534023340497,0.7500987688115914,0.453195220984439,1.141795447096989,-0.004010525826723112,0.008983460738486482,0.013642564802182872,13,904,Male,Dom,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.0024864674558816857,0.0033148534023340497,0.7500987688115914,0.453195220984439,1.141795447096989,-0.004010525826723112,0.008983460738486482,0.016129032258064557,17,864,Male,Sub,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.0024864674558816857,0.0033148534023340497,0.7500987688115914,0.453195220984439,1.141795447096989,-0.004010525826723112,0.008983460738486482,0.016129032258064557,15,911,Male,Sub,Hmcn1.GABA_1,MER
Status,Sub - Dom,0.0024864674558816857,0.0033148534023340497,0.7500987688115914,0.453195220984439,1.141795447096989,-0.004010525826723112,0.008983460738486482,0.016129032258064557,8,705,Male,Sub,Hmcn1.GABA_1,MER
