term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.01942608705705704,0.005188805379762812,-3.7438457670472576,1.8122492099781145e-4,12.429931019486538,-0.029595958724179826,-0.009256215389934255,0.05216824258232797,67,1123,Female,Dom,Lef1.GABA_1,MER
Sex,Male - Female,-0.01942608705705704,0.005188805379762812,-3.7438457670472576,1.8122492099781145e-4,12.429931019486538,-0.029595958724179826,-0.009256215389934255,0.05216824258232797,64,1119,Female,Dom,Lef1.GABA_1,MER
Sex,Male - Female,-0.01942608705705704,0.005188805379762812,-3.7438457670472576,1.8122492099781145e-4,12.429931019486538,-0.029595958724179826,-0.009256215389934255,0.05216824258232797,29,825,Female,Dom,Lef1.GABA_1,MER
Sex,Male - Female,0.00864846631842077,0.006563591851584387,1.3176423083548552,0.18762341556485654,2.414088206206626,-0.004215937319905194,0.021512869956746734,0.03530314658480501,11,377,Female,Sub,Lef1.GABA_1,MER
Sex,Male - Female,0.00864846631842077,0.006563591851584387,1.3176423083548552,0.18762341556485654,2.414088206206626,-0.004215937319905194,0.021512869956746734,0.03530314658480501,12,456,Female,Sub,Lef1.GABA_1,MER
Sex,Male - Female,0.00864846631842077,0.006563591851584387,1.3176423083548552,0.18762341556485654,2.414088206206626,-0.004215937319905194,0.021512869956746734,0.03530314658480501,23,470,Female,Sub,Lef1.GABA_1,MER
Sex,Male - Female,-0.01942608705705704,0.005188805379762812,-3.7438457670472576,1.8122492099781145e-4,12.429931019486538,-0.029595958724179826,-0.009256215389934255,0.032742155525270926,31,767,Male,Dom,Lef1.GABA_1,MER
Sex,Male - Female,-0.01942608705705704,0.005188805379762812,-3.7438457670472576,1.8122492099781145e-4,12.429931019486538,-0.029595958724179826,-0.009256215389934255,0.032742155525270926,25,1261,Male,Dom,Lef1.GABA_1,MER
Sex,Male - Female,-0.01942608705705704,0.005188805379762812,-3.7438457670472576,1.8122492099781145e-4,12.429931019486538,-0.029595958724179826,-0.009256215389934255,0.032742155525270926,40,904,Male,Dom,Lef1.GABA_1,MER
Sex,Male - Female,0.00864846631842077,0.006563591851584387,1.3176423083548552,0.18762341556485654,2.414088206206626,-0.004215937319905194,0.021512869956746734,0.04395161290322578,32,864,Male,Sub,Lef1.GABA_1,MER
Sex,Male - Female,0.00864846631842077,0.006563591851584387,1.3176423083548552,0.18762341556485654,2.414088206206626,-0.004215937319905194,0.021512869956746734,0.04395161290322578,43,911,Male,Sub,Lef1.GABA_1,MER
Sex,Male - Female,0.00864846631842077,0.006563591851584387,1.3176423083548552,0.18762341556485654,2.414088206206626,-0.004215937319905194,0.021512869956746734,0.04395161290322578,34,705,Male,Sub,Lef1.GABA_1,MER
Status,Sub - Dom,-0.016865095997522957,0.00650072458964629,-2.5943409484511943,0.009477245212462114,6.721316518352782,-0.029606282066643605,-0.004123909928402308,0.05216824258232797,67,1123,Female,Dom,Lef1.GABA_1,MER
Status,Sub - Dom,-0.016865095997522957,0.00650072458964629,-2.5943409484511943,0.009477245212462114,6.721316518352782,-0.029606282066643605,-0.004123909928402308,0.05216824258232797,64,1119,Female,Dom,Lef1.GABA_1,MER
Status,Sub - Dom,-0.016865095997522957,0.00650072458964629,-2.5943409484511943,0.009477245212462114,6.721316518352782,-0.029606282066643605,-0.004123909928402308,0.05216824258232797,29,825,Female,Dom,Lef1.GABA_1,MER
Status,Sub - Dom,-0.016865095997522957,0.00650072458964629,-2.5943409484511943,0.009477245212462114,6.721316518352782,-0.029606282066643605,-0.004123909928402308,0.03530314658480501,11,377,Female,Sub,Lef1.GABA_1,MER
Status,Sub - Dom,-0.016865095997522957,0.00650072458964629,-2.5943409484511943,0.009477245212462114,6.721316518352782,-0.029606282066643605,-0.004123909928402308,0.03530314658480501,12,456,Female,Sub,Lef1.GABA_1,MER
Status,Sub - Dom,-0.016865095997522957,0.00650072458964629,-2.5943409484511943,0.009477245212462114,6.721316518352782,-0.029606282066643605,-0.004123909928402308,0.03530314658480501,23,470,Female,Sub,Lef1.GABA_1,MER
Status,Sub - Dom,0.011209457377954854,0.005267354042478655,2.1281002354419347,0.033328773810829,4.907087949121568,8.856331608752301e-4,0.021533281595034478,0.032742155525270926,31,767,Male,Dom,Lef1.GABA_1,MER
Status,Sub - Dom,0.011209457377954854,0.005267354042478655,2.1281002354419347,0.033328773810829,4.907087949121568,8.856331608752301e-4,0.021533281595034478,0.032742155525270926,25,1261,Male,Dom,Lef1.GABA_1,MER
Status,Sub - Dom,0.011209457377954854,0.005267354042478655,2.1281002354419347,0.033328773810829,4.907087949121568,8.856331608752301e-4,0.021533281595034478,0.032742155525270926,40,904,Male,Dom,Lef1.GABA_1,MER
Status,Sub - Dom,0.011209457377954854,0.005267354042478655,2.1281002354419347,0.033328773810829,4.907087949121568,8.856331608752301e-4,0.021533281595034478,0.04395161290322578,32,864,Male,Sub,Lef1.GABA_1,MER
Status,Sub - Dom,0.011209457377954854,0.005267354042478655,2.1281002354419347,0.033328773810829,4.907087949121568,8.856331608752301e-4,0.021533281595034478,0.04395161290322578,43,911,Male,Sub,Lef1.GABA_1,MER
Status,Sub - Dom,0.011209457377954854,0.005267354042478655,2.1281002354419347,0.033328773810829,4.907087949121568,8.856331608752301e-4,0.021533281595034478,0.04395161290322578,34,705,Male,Sub,Lef1.GABA_1,MER
