term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,0.11389806820036918,0.006854183809585137,16.6173057747722,5.222754447118923e-62,203.57473100742263,0.10046411479016477,0.12733202161057358,0.021845451581349845,26,1123,Female,Dom,Meis2.GABA_5,MER
Sex,Male - Female,0.11389806820036918,0.006854183809585137,16.6173057747722,5.222754447118923e-62,203.57473100742263,0.10046411479016477,0.12733202161057358,0.021845451581349845,20,1119,Female,Dom,Meis2.GABA_5,MER
Sex,Male - Female,0.11389806820036918,0.006854183809585137,16.6173057747722,5.222754447118923e-62,203.57473100742263,0.10046411479016477,0.12733202161057358,0.021845451581349845,21,825,Female,Dom,Meis2.GABA_5,MER
Sex,Male - Female,-0.006725484613670684,0.004305287785981326,-1.5621451916803073,0.1182537887766072,3.0800416875454664,-0.015163693617274269,0.0017127243899329007,0.018419033000767457,6,377,Female,Sub,Meis2.GABA_5,MER
Sex,Male - Female,-0.006725484613670684,0.004305287785981326,-1.5621451916803073,0.1182537887766072,3.0800416875454664,-0.015163693617274269,0.0017127243899329007,0.018419033000767457,9,456,Female,Sub,Meis2.GABA_5,MER
Sex,Male - Female,-0.006725484613670684,0.004305287785981326,-1.5621451916803073,0.1182537887766072,3.0800416875454664,-0.015163693617274269,0.0017127243899329007,0.018419033000767457,9,470,Female,Sub,Meis2.GABA_5,MER
Sex,Male - Female,0.11389806820036918,0.006854183809585137,16.6173057747722,5.222754447118923e-62,203.57473100742263,0.10046411479016477,0.12733202161057358,0.13574351978171903,34,767,Male,Dom,Meis2.GABA_5,MER
Sex,Male - Female,0.11389806820036918,0.006854183809585137,16.6173057747722,5.222754447118923e-62,203.57473100742263,0.10046411479016477,0.12733202161057358,0.13574351978171903,321,1261,Male,Dom,Meis2.GABA_5,MER
Sex,Male - Female,0.11389806820036918,0.006854183809585137,16.6173057747722,5.222754447118923e-62,203.57473100742263,0.10046411479016477,0.12733202161057358,0.13574351978171903,43,904,Male,Dom,Meis2.GABA_5,MER
Sex,Male - Female,-0.006725484613670684,0.004305287785981326,-1.5621451916803073,0.1182537887766072,3.0800416875454664,-0.015163693617274269,0.0017127243899329007,0.011693548387096773,5,864,Male,Sub,Meis2.GABA_5,MER
Sex,Male - Female,-0.006725484613670684,0.004305287785981326,-1.5621451916803073,0.1182537887766072,3.0800416875454664,-0.015163693617274269,0.0017127243899329007,0.011693548387096773,8,911,Male,Sub,Meis2.GABA_5,MER
Sex,Male - Female,-0.006725484613670684,0.004305287785981326,-1.5621451916803073,0.1182537887766072,3.0800416875454664,-0.015163693617274269,0.0017127243899329007,0.011693548387096773,16,705,Male,Sub,Meis2.GABA_5,MER
Status,Sub - Dom,-0.0034264185805823882,0.004565373836116329,-0.7505231123629458,0.4529397091365209,1.142609069160098,-0.012374386875331858,0.005521549714167082,0.021845451581349845,26,1123,Female,Dom,Meis2.GABA_5,MER
Status,Sub - Dom,-0.0034264185805823882,0.004565373836116329,-0.7505231123629458,0.4529397091365209,1.142609069160098,-0.012374386875331858,0.005521549714167082,0.021845451581349845,20,1119,Female,Dom,Meis2.GABA_5,MER
Status,Sub - Dom,-0.0034264185805823882,0.004565373836116329,-0.7505231123629458,0.4529397091365209,1.142609069160098,-0.012374386875331858,0.005521549714167082,0.021845451581349845,21,825,Female,Dom,Meis2.GABA_5,MER
Status,Sub - Dom,-0.0034264185805823882,0.004565373836116329,-0.7505231123629458,0.4529397091365209,1.142609069160098,-0.012374386875331858,0.005521549714167082,0.018419033000767457,6,377,Female,Sub,Meis2.GABA_5,MER
Status,Sub - Dom,-0.0034264185805823882,0.004565373836116329,-0.7505231123629458,0.4529397091365209,1.142609069160098,-0.012374386875331858,0.005521549714167082,0.018419033000767457,9,456,Female,Sub,Meis2.GABA_5,MER
Status,Sub - Dom,-0.0034264185805823882,0.004565373836116329,-0.7505231123629458,0.4529397091365209,1.142609069160098,-0.012374386875331858,0.005521549714167082,0.018419033000767457,9,470,Female,Sub,Meis2.GABA_5,MER
Status,Sub - Dom,-0.12404997139462226,0.006683763696963217,-18.559897838845597,6.783352520274363e-77,253.0264648369519,-0.13714990752184644,-0.11095003526739808,0.13574351978171903,34,767,Male,Dom,Meis2.GABA_5,MER
Status,Sub - Dom,-0.12404997139462226,0.006683763696963217,-18.559897838845597,6.783352520274363e-77,253.0264648369519,-0.13714990752184644,-0.11095003526739808,0.13574351978171903,321,1261,Male,Dom,Meis2.GABA_5,MER
Status,Sub - Dom,-0.12404997139462226,0.006683763696963217,-18.559897838845597,6.783352520274363e-77,253.0264648369519,-0.13714990752184644,-0.11095003526739808,0.13574351978171903,43,904,Male,Dom,Meis2.GABA_5,MER
Status,Sub - Dom,-0.12404997139462226,0.006683763696963217,-18.559897838845597,6.783352520274363e-77,253.0264648369519,-0.13714990752184644,-0.11095003526739808,0.011693548387096773,5,864,Male,Sub,Meis2.GABA_5,MER
Status,Sub - Dom,-0.12404997139462226,0.006683763696963217,-18.559897838845597,6.783352520274363e-77,253.0264648369519,-0.13714990752184644,-0.11095003526739808,0.011693548387096773,8,911,Male,Sub,Meis2.GABA_5,MER
Status,Sub - Dom,-0.12404997139462226,0.006683763696963217,-18.559897838845597,6.783352520274363e-77,253.0264648369519,-0.13714990752184644,-0.11095003526739808,0.011693548387096773,16,705,Male,Sub,Meis2.GABA_5,MER
