term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.08466307935862602,0.009961534885906922,-8.498999434153776,1.9123183636301182e-17,55.537454889245645,-0.1041873289657429,-0.06513882975150914,0.22791000978154557,231,1123,Female,Dom,Mixed.GABA_2,MER
Sex,Male - Female,-0.08466307935862602,0.009961534885906922,-8.498999434153776,1.9123183636301182e-17,55.537454889245645,-0.1041873289657429,-0.06513882975150914,0.22791000978154557,253,1119,Female,Dom,Mixed.GABA_2,MER
Sex,Male - Female,-0.08466307935862602,0.009961534885906922,-8.498999434153776,1.9123183636301182e-17,55.537454889245645,-0.1041873289657429,-0.06513882975150914,0.22791000978154557,215,825,Female,Dom,Mixed.GABA_2,MER
Sex,Male - Female,-0.00830682296437496,0.01385331564206486,-0.5996270625027652,0.5487548072027,0.8657664218847091,-0.035458822689287454,0.018845176760537534,0.20951650038372988,65,377,Female,Sub,Mixed.GABA_2,MER
Sex,Male - Female,-0.00830682296437496,0.01385331564206486,-0.5996270625027652,0.5487548072027,0.8657664218847091,-0.035458822689287454,0.018845176760537534,0.20951650038372988,111,456,Female,Sub,Mixed.GABA_2,MER
Sex,Male - Female,-0.00830682296437496,0.01385331564206486,-0.5996270625027652,0.5487548072027,0.8657664218847091,-0.035458822689287454,0.018845176760537534,0.20951650038372988,97,470,Female,Sub,Mixed.GABA_2,MER
Sex,Male - Female,-0.08466307935862602,0.009961534885906922,-8.498999434153776,1.9123183636301182e-17,55.537454889245645,-0.1041873289657429,-0.06513882975150914,0.14324693042291956,120,767,Male,Dom,Mixed.GABA_2,MER
Sex,Male - Female,-0.08466307935862602,0.009961534885906922,-8.498999434153776,1.9123183636301182e-17,55.537454889245645,-0.1041873289657429,-0.06513882975150914,0.14324693042291956,142,1261,Male,Dom,Mixed.GABA_2,MER
Sex,Male - Female,-0.08466307935862602,0.009961534885906922,-8.498999434153776,1.9123183636301182e-17,55.537454889245645,-0.1041873289657429,-0.06513882975150914,0.14324693042291956,158,904,Male,Dom,Mixed.GABA_2,MER
Sex,Male - Female,-0.00830682296437496,0.01385331564206486,-0.5996270625027652,0.5487548072027,0.8657664218847091,-0.035458822689287454,0.018845176760537534,0.20120967741935492,179,864,Male,Sub,Mixed.GABA_2,MER
Sex,Male - Female,-0.00830682296437496,0.01385331564206486,-0.5996270625027652,0.5487548072027,0.8657664218847091,-0.035458822689287454,0.018845176760537534,0.20120967741935492,194,911,Male,Sub,Mixed.GABA_2,MER
Sex,Male - Female,-0.00830682296437496,0.01385331564206486,-0.5996270625027652,0.5487548072027,0.8657664218847091,-0.035458822689287454,0.018845176760537534,0.20120967741935492,126,705,Male,Sub,Mixed.GABA_2,MER
Status,Sub - Dom,-0.0183935093978157,0.01358235831703631,-1.3542205976663697,0.17566600949028555,2.509093030938891,-0.04501444252432492,0.008227423728693523,0.22791000978154557,231,1123,Female,Dom,Mixed.GABA_2,MER
Status,Sub - Dom,-0.0183935093978157,0.01358235831703631,-1.3542205976663697,0.17566600949028555,2.509093030938891,-0.04501444252432492,0.008227423728693523,0.22791000978154557,253,1119,Female,Dom,Mixed.GABA_2,MER
Status,Sub - Dom,-0.0183935093978157,0.01358235831703631,-1.3542205976663697,0.17566600949028555,2.509093030938891,-0.04501444252432492,0.008227423728693523,0.22791000978154557,215,825,Female,Dom,Mixed.GABA_2,MER
Status,Sub - Dom,-0.0183935093978157,0.01358235831703631,-1.3542205976663697,0.17566600949028555,2.509093030938891,-0.04501444252432492,0.008227423728693523,0.20951650038372988,65,377,Female,Sub,Mixed.GABA_2,MER
Status,Sub - Dom,-0.0183935093978157,0.01358235831703631,-1.3542205976663697,0.17566600949028555,2.509093030938891,-0.04501444252432492,0.008227423728693523,0.20951650038372988,111,456,Female,Sub,Mixed.GABA_2,MER
Status,Sub - Dom,-0.0183935093978157,0.01358235831703631,-1.3542205976663697,0.17566600949028555,2.509093030938891,-0.04501444252432492,0.008227423728693523,0.20951650038372988,97,470,Female,Sub,Mixed.GABA_2,MER
Status,Sub - Dom,0.05796274699643536,0.010327926256972274,5.612234785013625,1.997301875674785e-8,25.577372358402588,0.037720383497784143,0.07820511049508658,0.14324693042291956,120,767,Male,Dom,Mixed.GABA_2,MER
Status,Sub - Dom,0.05796274699643536,0.010327926256972274,5.612234785013625,1.997301875674785e-8,25.577372358402588,0.037720383497784143,0.07820511049508658,0.14324693042291956,142,1261,Male,Dom,Mixed.GABA_2,MER
Status,Sub - Dom,0.05796274699643536,0.010327926256972274,5.612234785013625,1.997301875674785e-8,25.577372358402588,0.037720383497784143,0.07820511049508658,0.14324693042291956,158,904,Male,Dom,Mixed.GABA_2,MER
Status,Sub - Dom,0.05796274699643536,0.010327926256972274,5.612234785013625,1.997301875674785e-8,25.577372358402588,0.037720383497784143,0.07820511049508658,0.20120967741935492,179,864,Male,Sub,Mixed.GABA_2,MER
Status,Sub - Dom,0.05796274699643536,0.010327926256972274,5.612234785013625,1.997301875674785e-8,25.577372358402588,0.037720383497784143,0.07820511049508658,0.20120967741935492,194,911,Male,Sub,Mixed.GABA_2,MER
Status,Sub - Dom,0.05796274699643536,0.010327926256972274,5.612234785013625,1.997301875674785e-8,25.577372358402588,0.037720383497784143,0.07820511049508658,0.20120967741935492,126,705,Male,Sub,Mixed.GABA_2,MER
