term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.030902166307624497,0.004982973649524326,-6.201551218432475,5.590931840457196e-10,30.73619219182163,-0.04066861519660429,-0.021135717418644707,0.05477665471144443,58,1123,Female,Dom,Onecut2.GABA_2,MER
Sex,Male - Female,-0.030902166307624497,0.004982973649524326,-6.201551218432475,5.590931840457196e-10,30.73619219182163,-0.04066861519660429,-0.021135717418644707,0.05477665471144443,71,1119,Female,Dom,Onecut2.GABA_2,MER
Sex,Male - Female,-0.030902166307624497,0.004982973649524326,-6.201551218432475,5.590931840457196e-10,30.73619219182163,-0.04066861519660429,-0.021135717418644707,0.05477665471144443,39,825,Female,Dom,Onecut2.GABA_2,MER
Sex,Male - Female,-0.023065568291535693,0.009569479172764975,-2.410326400749269,0.015938254347745498,5.971362564321065,-0.04182140282096119,-0.0043097337621101975,0.09363008442056796,36,377,Female,Sub,Onecut2.GABA_2,MER
Sex,Male - Female,-0.023065568291535693,0.009569479172764975,-2.410326400749269,0.015938254347745498,5.971362564321065,-0.04182140282096119,-0.0043097337621101975,0.09363008442056796,47,456,Female,Sub,Onecut2.GABA_2,MER
Sex,Male - Female,-0.023065568291535693,0.009569479172764975,-2.410326400749269,0.015938254347745498,5.971362564321065,-0.04182140282096119,-0.0043097337621101975,0.09363008442056796,39,470,Female,Sub,Onecut2.GABA_2,MER
Sex,Male - Female,-0.030902166307624497,0.004982973649524326,-6.201551218432475,5.590931840457196e-10,30.73619219182163,-0.04066861519660429,-0.021135717418644707,0.023874488403819935,18,767,Male,Dom,Onecut2.GABA_2,MER
Sex,Male - Female,-0.030902166307624497,0.004982973649524326,-6.201551218432475,5.590931840457196e-10,30.73619219182163,-0.04066861519660429,-0.021135717418644707,0.023874488403819935,27,1261,Male,Dom,Onecut2.GABA_2,MER
Sex,Male - Female,-0.030902166307624497,0.004982973649524326,-6.201551218432475,5.590931840457196e-10,30.73619219182163,-0.04066861519660429,-0.021135717418644707,0.023874488403819935,25,904,Male,Dom,Onecut2.GABA_2,MER
Sex,Male - Female,-0.023065568291535693,0.009569479172764975,-2.410326400749269,0.015938254347745498,5.971362564321065,-0.04182140282096119,-0.0043097337621101975,0.07056451612903226,52,864,Male,Sub,Onecut2.GABA_2,MER
Sex,Male - Female,-0.023065568291535693,0.009569479172764975,-2.410326400749269,0.015938254347745498,5.971362564321065,-0.04182140282096119,-0.0043097337621101975,0.07056451612903226,82,911,Male,Sub,Onecut2.GABA_2,MER
Sex,Male - Female,-0.023065568291535693,0.009569479172764975,-2.410326400749269,0.015938254347745498,5.971362564321065,-0.04182140282096119,-0.0043097337621101975,0.07056451612903226,41,705,Male,Sub,Onecut2.GABA_2,MER
Status,Sub - Dom,0.038853429709123526,0.009055992994673598,4.290355539362242,1.7838729534460817e-5,15.774627603550812,0.021104009595316248,0.056602849822930804,0.05477665471144443,58,1123,Female,Dom,Onecut2.GABA_2,MER
Status,Sub - Dom,0.038853429709123526,0.009055992994673598,4.290355539362242,1.7838729534460817e-5,15.774627603550812,0.021104009595316248,0.056602849822930804,0.05477665471144443,71,1119,Female,Dom,Onecut2.GABA_2,MER
Status,Sub - Dom,0.038853429709123526,0.009055992994673598,4.290355539362242,1.7838729534460817e-5,15.774627603550812,0.021104009595316248,0.056602849822930804,0.05477665471144443,39,825,Female,Dom,Onecut2.GABA_2,MER
Status,Sub - Dom,0.038853429709123526,0.009055992994673598,4.290355539362242,1.7838729534460817e-5,15.774627603550812,0.021104009595316248,0.056602849822930804,0.09363008442056796,36,377,Female,Sub,Onecut2.GABA_2,MER
Status,Sub - Dom,0.038853429709123526,0.009055992994673598,4.290355539362242,1.7838729534460817e-5,15.774627603550812,0.021104009595316248,0.056602849822930804,0.09363008442056796,47,456,Female,Sub,Onecut2.GABA_2,MER
Status,Sub - Dom,0.038853429709123526,0.009055992994673598,4.290355539362242,1.7838729534460817e-5,15.774627603550812,0.021104009595316248,0.056602849822930804,0.09363008442056796,39,470,Female,Sub,Onecut2.GABA_2,MER
Status,Sub - Dom,0.04669002772521233,0.005864636002939725,7.96128313876741,1.7026426916105433e-15,49.06114571355914,0.035195552377013536,0.05818450307341112,0.023874488403819935,18,767,Male,Dom,Onecut2.GABA_2,MER
Status,Sub - Dom,0.04669002772521233,0.005864636002939725,7.96128313876741,1.7026426916105433e-15,49.06114571355914,0.035195552377013536,0.05818450307341112,0.023874488403819935,27,1261,Male,Dom,Onecut2.GABA_2,MER
Status,Sub - Dom,0.04669002772521233,0.005864636002939725,7.96128313876741,1.7026426916105433e-15,49.06114571355914,0.035195552377013536,0.05818450307341112,0.023874488403819935,25,904,Male,Dom,Onecut2.GABA_2,MER
Status,Sub - Dom,0.04669002772521233,0.005864636002939725,7.96128313876741,1.7026426916105433e-15,49.06114571355914,0.035195552377013536,0.05818450307341112,0.07056451612903226,52,864,Male,Sub,Onecut2.GABA_2,MER
Status,Sub - Dom,0.04669002772521233,0.005864636002939725,7.96128313876741,1.7026426916105433e-15,49.06114571355914,0.035195552377013536,0.05818450307341112,0.07056451612903226,82,911,Male,Sub,Onecut2.GABA_2,MER
Status,Sub - Dom,0.04669002772521233,0.005864636002939725,7.96128313876741,1.7026426916105433e-15,49.06114571355914,0.035195552377013536,0.05818450307341112,0.07056451612903226,41,705,Male,Sub,Onecut2.GABA_2,MER
