term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.00680204402023565,0.0016970622837386357,-4.008128685324806,6.120177080488278e-5,13.996067078145302,-0.01012822497588467,-0.003475863064586631,0.007825236387600144,5,1123,Female,Dom,Pmch.GLU_7,MER
Sex,Male - Female,-0.00680204402023565,0.0016970622837386357,-4.008128685324806,6.120177080488278e-5,13.996067078145302,-0.01012822497588467,-0.003475863064586631,0.007825236387600144,14,1119,Female,Dom,Pmch.GLU_7,MER
Sex,Male - Female,-0.00680204402023565,0.0016970622837386357,-4.008128685324806,6.120177080488278e-5,13.996067078145302,-0.01012822497588467,-0.003475863064586631,0.007825236387600144,5,825,Female,Dom,Pmch.GLU_7,MER
Sex,Male - Female,-0.02585967865719359,0.004977768173573586,-5.195034753623065,2.0468159962674163e-7,22.220115250762916,-0.035615925000787536,-0.01610343231359964,0.030698388334612994,15,377,Female,Sub,Pmch.GLU_7,MER
Sex,Male - Female,-0.02585967865719359,0.004977768173573586,-5.195034753623065,2.0468159962674163e-7,22.220115250762916,-0.035615925000787536,-0.01610343231359964,0.030698388334612994,9,456,Female,Sub,Pmch.GLU_7,MER
Sex,Male - Female,-0.02585967865719359,0.004977768173573586,-5.195034753623065,2.0468159962674163e-7,22.220115250762916,-0.035615925000787536,-0.01610343231359964,0.030698388334612994,16,470,Female,Sub,Pmch.GLU_7,MER
Sex,Male - Female,-0.00680204402023565,0.0016970622837386357,-4.008128685324806,6.120177080488278e-5,13.996067078145302,-0.01012822497588467,-0.003475863064586631,0.0010231923673644937,1,767,Male,Dom,Pmch.GLU_7,MER
Sex,Male - Female,-0.00680204402023565,0.0016970622837386357,-4.008128685324806,6.120177080488278e-5,13.996067078145302,-0.01012822497588467,-0.003475863064586631,0.0010231923673644937,2,1261,Male,Dom,Pmch.GLU_7,MER
Sex,Male - Female,-0.00680204402023565,0.0016970622837386357,-4.008128685324806,6.120177080488278e-5,13.996067078145302,-0.01012822497588467,-0.003475863064586631,0.0010231923673644937,0,904,Male,Dom,Pmch.GLU_7,MER
Sex,Male - Female,-0.02585967865719359,0.004977768173573586,-5.195034753623065,2.0468159962674163e-7,22.220115250762916,-0.035615925000787536,-0.01610343231359964,0.004838709677419407,5,864,Male,Sub,Pmch.GLU_7,MER
Sex,Male - Female,-0.02585967865719359,0.004977768173573586,-5.195034753623065,2.0468159962674163e-7,22.220115250762916,-0.035615925000787536,-0.01610343231359964,0.004838709677419407,5,911,Male,Sub,Pmch.GLU_7,MER
Sex,Male - Female,-0.02585967865719359,0.004977768173573586,-5.195034753623065,2.0468159962674163e-7,22.220115250762916,-0.035615925000787536,-0.01610343231359964,0.004838709677419407,2,705,Male,Sub,Pmch.GLU_7,MER
Status,Sub - Dom,0.02287315194701285,0.0050366625007700885,4.541331078569514,5.59001657013353e-6,17.44871600975946,0.013001474843220038,0.03274482905080567,0.007825236387600144,5,1123,Female,Dom,Pmch.GLU_7,MER
Status,Sub - Dom,0.02287315194701285,0.0050366625007700885,4.541331078569514,5.59001657013353e-6,17.44871600975946,0.013001474843220038,0.03274482905080567,0.007825236387600144,14,1119,Female,Dom,Pmch.GLU_7,MER
Status,Sub - Dom,0.02287315194701285,0.0050366625007700885,4.541331078569514,5.59001657013353e-6,17.44871600975946,0.013001474843220038,0.03274482905080567,0.007825236387600144,5,825,Female,Dom,Pmch.GLU_7,MER
Status,Sub - Dom,0.02287315194701285,0.0050366625007700885,4.541331078569514,5.59001657013353e-6,17.44871600975946,0.013001474843220038,0.03274482905080567,0.030698388334612994,15,377,Female,Sub,Pmch.GLU_7,MER
Status,Sub - Dom,0.02287315194701285,0.0050366625007700885,4.541331078569514,5.59001657013353e-6,17.44871600975946,0.013001474843220038,0.03274482905080567,0.030698388334612994,9,456,Female,Sub,Pmch.GLU_7,MER
Status,Sub - Dom,0.02287315194701285,0.0050366625007700885,4.541331078569514,5.59001657013353e-6,17.44871600975946,0.013001474843220038,0.03274482905080567,0.030698388334612994,16,470,Female,Sub,Pmch.GLU_7,MER
Status,Sub - Dom,0.003815517310054913,0.00151334920234939,2.521240506904511,0.011694189268890414,6.418064343329745,8.494073774176908e-4,0.006781627242692136,0.0010231923673644937,1,767,Male,Dom,Pmch.GLU_7,MER
Status,Sub - Dom,0.003815517310054913,0.00151334920234939,2.521240506904511,0.011694189268890414,6.418064343329745,8.494073774176908e-4,0.006781627242692136,0.0010231923673644937,2,1261,Male,Dom,Pmch.GLU_7,MER
Status,Sub - Dom,0.003815517310054913,0.00151334920234939,2.521240506904511,0.011694189268890414,6.418064343329745,8.494073774176908e-4,0.006781627242692136,0.0010231923673644937,0,904,Male,Dom,Pmch.GLU_7,MER
Status,Sub - Dom,0.003815517310054913,0.00151334920234939,2.521240506904511,0.011694189268890414,6.418064343329745,8.494073774176908e-4,0.006781627242692136,0.004838709677419407,5,864,Male,Sub,Pmch.GLU_7,MER
Status,Sub - Dom,0.003815517310054913,0.00151334920234939,2.521240506904511,0.011694189268890414,6.418064343329745,8.494073774176908e-4,0.006781627242692136,0.004838709677419407,5,911,Male,Sub,Pmch.GLU_7,MER
Status,Sub - Dom,0.003815517310054913,0.00151334920234939,2.521240506904511,0.011694189268890414,6.418064343329745,8.494073774176908e-4,0.006781627242692136,0.004838709677419407,2,705,Male,Sub,Pmch.GLU_7,MER
