term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,0.00423822489192037,0.005616677158628964,0.7545786898948139,0.4505018139883692,1.1503951796881586,-0.006770260051781161,0.0152467098356219,0.04760352135637433,57,1123,Female,Dom,Samd3.GLU_2,MER
Sex,Male - Female,0.00423822489192037,0.005616677158628964,0.7545786898948139,0.4505018139883692,1.1503951796881586,-0.006770260051781161,0.0152467098356219,0.04760352135637433,49,1119,Female,Dom,Samd3.GLU_2,MER
Sex,Male - Female,0.00423822489192037,0.005616677158628964,0.7545786898948139,0.4505018139883692,1.1503951796881586,-0.006770260051781161,0.0152467098356219,0.04760352135637433,40,825,Female,Dom,Samd3.GLU_2,MER
Sex,Male - Female,0.008388829747710307,0.005355268583781983,1.5664629357928435,0.117240279095332,3.0924597873479858,-0.002107303804041198,0.018884963299461814,0.022256331542612282,5,377,Female,Sub,Samd3.GLU_2,MER
Sex,Male - Female,0.008388829747710307,0.005355268583781983,1.5664629357928435,0.117240279095332,3.0924597873479858,-0.002107303804041198,0.018884963299461814,0.022256331542612282,15,456,Female,Sub,Samd3.GLU_2,MER
Sex,Male - Female,0.008388829747710307,0.005355268583781983,1.5664629357928435,0.117240279095332,3.0924597873479858,-0.002107303804041198,0.018884963299461814,0.022256331542612282,9,470,Female,Sub,Samd3.GLU_2,MER
Sex,Male - Female,0.00423822489192037,0.005616677158628964,0.7545786898948139,0.4505018139883692,1.1503951796881586,-0.006770260051781161,0.0152467098356219,0.0518417462482947,47,767,Male,Dom,Samd3.GLU_2,MER
Sex,Male - Female,0.00423822489192037,0.005616677158628964,0.7545786898948139,0.4505018139883692,1.1503951796881586,-0.006770260051781161,0.0152467098356219,0.0518417462482947,61,1261,Male,Dom,Samd3.GLU_2,MER
Sex,Male - Female,0.00423822489192037,0.005616677158628964,0.7545786898948139,0.4505018139883692,1.1503951796881586,-0.006770260051781161,0.0152467098356219,0.0518417462482947,44,904,Male,Dom,Samd3.GLU_2,MER
Sex,Male - Female,0.008388829747710307,0.005355268583781983,1.5664629357928435,0.117240279095332,3.0924597873479858,-0.002107303804041198,0.018884963299461814,0.03064516129032259,26,864,Male,Sub,Samd3.GLU_2,MER
Sex,Male - Female,0.008388829747710307,0.005355268583781983,1.5664629357928435,0.117240279095332,3.0924597873479858,-0.002107303804041198,0.018884963299461814,0.03064516129032259,28,911,Male,Sub,Samd3.GLU_2,MER
Sex,Male - Female,0.008388829747710307,0.005355268583781983,1.5664629357928435,0.117240279095332,3.0924597873479858,-0.002107303804041198,0.018884963299461814,0.03064516129032259,22,705,Male,Sub,Samd3.GLU_2,MER
Status,Sub - Dom,-0.025347189813762046,0.00561097105246586,-4.5174337163302045,6.259361256430853e-6,17.285553126095415,-0.03634449099489193,-0.014349888632632162,0.04760352135637433,57,1123,Female,Dom,Samd3.GLU_2,MER
Status,Sub - Dom,-0.025347189813762046,0.00561097105246586,-4.5174337163302045,6.259361256430853e-6,17.285553126095415,-0.03634449099489193,-0.014349888632632162,0.04760352135637433,49,1119,Female,Dom,Samd3.GLU_2,MER
Status,Sub - Dom,-0.025347189813762046,0.00561097105246586,-4.5174337163302045,6.259361256430853e-6,17.285553126095415,-0.03634449099489193,-0.014349888632632162,0.04760352135637433,40,825,Female,Dom,Samd3.GLU_2,MER
Status,Sub - Dom,-0.025347189813762046,0.00561097105246586,-4.5174337163302045,6.259361256430853e-6,17.285553126095415,-0.03634449099489193,-0.014349888632632162,0.022256331542612282,5,377,Female,Sub,Samd3.GLU_2,MER
Status,Sub - Dom,-0.025347189813762046,0.00561097105246586,-4.5174337163302045,6.259361256430853e-6,17.285553126095415,-0.03634449099489193,-0.014349888632632162,0.022256331542612282,15,456,Female,Sub,Samd3.GLU_2,MER
Status,Sub - Dom,-0.025347189813762046,0.00561097105246586,-4.5174337163302045,6.259361256430853e-6,17.285553126095415,-0.03634449099489193,-0.014349888632632162,0.022256331542612282,9,470,Female,Sub,Samd3.GLU_2,MER
Status,Sub - Dom,-0.02119658495797211,0.0053612474385111,-3.953666604848726,7.69626301963718e-5,13.665482370411734,-0.03170443684966148,-0.010688733066282737,0.0518417462482947,47,767,Male,Dom,Samd3.GLU_2,MER
Status,Sub - Dom,-0.02119658495797211,0.0053612474385111,-3.953666604848726,7.69626301963718e-5,13.665482370411734,-0.03170443684966148,-0.010688733066282737,0.0518417462482947,61,1261,Male,Dom,Samd3.GLU_2,MER
Status,Sub - Dom,-0.02119658495797211,0.0053612474385111,-3.953666604848726,7.69626301963718e-5,13.665482370411734,-0.03170443684966148,-0.010688733066282737,0.0518417462482947,44,904,Male,Dom,Samd3.GLU_2,MER
Status,Sub - Dom,-0.02119658495797211,0.0053612474385111,-3.953666604848726,7.69626301963718e-5,13.665482370411734,-0.03170443684966148,-0.010688733066282737,0.03064516129032259,26,864,Male,Sub,Samd3.GLU_2,MER
Status,Sub - Dom,-0.02119658495797211,0.0053612474385111,-3.953666604848726,7.69626301963718e-5,13.665482370411734,-0.03170443684966148,-0.010688733066282737,0.03064516129032259,28,911,Male,Sub,Samd3.GLU_2,MER
Status,Sub - Dom,-0.02119658495797211,0.0053612474385111,-3.953666604848726,7.69626301963718e-5,13.665482370411734,-0.03170443684966148,-0.010688733066282737,0.03064516129032259,22,705,Male,Sub,Samd3.GLU_2,MER
