term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.006606880176290224,0.0023952121724896557,-2.7583694890055748,0.005809049631544142,7.427482128606882,-0.011301409769701887,-0.0019123505828785598,0.012063906097163348,15,1123,Female,Dom,Sst.GABA_4,MER
Sex,Male - Female,-0.006606880176290224,0.0023952121724896557,-2.7583694890055748,0.005809049631544142,7.427482128606882,-0.011301409769701887,-0.0019123505828785598,0.012063906097163348,10,1119,Female,Dom,Sst.GABA_4,MER
Sex,Male - Female,-0.006606880176290224,0.0023952121724896557,-2.7583694890055748,0.005809049631544142,7.427482128606882,-0.011301409769701887,-0.0019123505828785598,0.012063906097163348,12,825,Female,Dom,Sst.GABA_4,MER
Sex,Male - Female,-0.03330032431710864,0.005952323129461778,-5.594508831734027,2.2124720802086972e-08,25.42976550955235,-0.044966663275198465,-0.02163398535901881,0.04297774367194736,26,377,Female,Sub,Sst.GABA_4,MER
Sex,Male - Female,-0.03330032431710864,0.005952323129461778,-5.594508831734027,2.2124720802086972e-08,25.42976550955235,-0.044966663275198465,-0.02163398535901881,0.04297774367194736,21,456,Female,Sub,Sst.GABA_4,MER
Sex,Male - Female,-0.03330032431710864,0.005952323129461778,-5.594508831734027,2.2124720802086972e-08,25.42976550955235,-0.044966663275198465,-0.02163398535901881,0.04297774367194736,9,470,Female,Sub,Sst.GABA_4,MER
Sex,Male - Female,-0.006606880176290224,0.0023952121724896557,-2.7583694890055748,0.005809049631544142,7.427482128606882,-0.011301409769701887,-0.0019123505828785598,0.005457025920873124,5,767,Male,Dom,Sst.GABA_4,MER
Sex,Male - Female,-0.006606880176290224,0.0023952121724896557,-2.7583694890055748,0.005809049631544142,7.427482128606882,-0.011301409769701887,-0.0019123505828785598,0.005457025920873124,7,1261,Male,Dom,Sst.GABA_4,MER
Sex,Male - Female,-0.006606880176290224,0.0023952121724896557,-2.7583694890055748,0.005809049631544142,7.427482128606882,-0.011301409769701887,-0.0019123505828785598,0.005457025920873124,4,904,Male,Dom,Sst.GABA_4,MER
Sex,Male - Female,-0.03330032431710864,0.005952323129461778,-5.594508831734027,2.2124720802086972e-08,25.42976550955235,-0.044966663275198465,-0.02163398535901881,0.009677419354838724,11,864,Male,Sub,Sst.GABA_4,MER
Sex,Male - Female,-0.03330032431710864,0.005952323129461778,-5.594508831734027,2.2124720802086972e-08,25.42976550955235,-0.044966663275198465,-0.02163398535901881,0.009677419354838724,8,911,Male,Sub,Sst.GABA_4,MER
Sex,Male - Female,-0.03330032431710864,0.005952323129461778,-5.594508831734027,2.2124720802086972e-08,25.42976550955235,-0.044966663275198465,-0.02163398535901881,0.009677419354838724,5,705,Male,Sub,Sst.GABA_4,MER
Status,Sub - Dom,0.03091383757478401,0.005954135535636266,5.191994268481246,2.080534100247917e-7,22.196542729659484,0.019243946365866828,0.042583728783701195,0.012063906097163348,15,1123,Female,Dom,Sst.GABA_4,MER
Status,Sub - Dom,0.03091383757478401,0.005954135535636266,5.191994268481246,2.080534100247917e-7,22.196542729659484,0.019243946365866828,0.042583728783701195,0.012063906097163348,10,1119,Female,Dom,Sst.GABA_4,MER
Status,Sub - Dom,0.03091383757478401,0.005954135535636266,5.191994268481246,2.080534100247917e-7,22.196542729659484,0.019243946365866828,0.042583728783701195,0.012063906097163348,12,825,Female,Dom,Sst.GABA_4,MER
Status,Sub - Dom,0.03091383757478401,0.005954135535636266,5.191994268481246,2.080534100247917e-7,22.196542729659484,0.019243946365866828,0.042583728783701195,0.04297774367194736,26,377,Female,Sub,Sst.GABA_4,MER
Status,Sub - Dom,0.03091383757478401,0.005954135535636266,5.191994268481246,2.080534100247917e-7,22.196542729659484,0.019243946365866828,0.042583728783701195,0.04297774367194736,21,456,Female,Sub,Sst.GABA_4,MER
Status,Sub - Dom,0.03091383757478401,0.005954135535636266,5.191994268481246,2.080534100247917e-7,22.196542729659484,0.019243946365866828,0.042583728783701195,0.04297774367194736,9,470,Female,Sub,Sst.GABA_4,MER
Status,Sub - Dom,0.0042203934339656,0.0023907029417884894,1.7653357764341544,0.07750735013181766,3.6895230600857696,-4.652982296737959e-4,0.008906085097604995,0.005457025920873124,5,767,Male,Dom,Sst.GABA_4,MER
Status,Sub - Dom,0.0042203934339656,0.0023907029417884894,1.7653357764341544,0.07750735013181766,3.6895230600857696,-4.652982296737959e-4,0.008906085097604995,0.005457025920873124,7,1261,Male,Dom,Sst.GABA_4,MER
Status,Sub - Dom,0.0042203934339656,0.0023907029417884894,1.7653357764341544,0.07750735013181766,3.6895230600857696,-4.652982296737959e-4,0.008906085097604995,0.005457025920873124,4,904,Male,Dom,Sst.GABA_4,MER
Status,Sub - Dom,0.0042203934339656,0.0023907029417884894,1.7653357764341544,0.07750735013181766,3.6895230600857696,-4.652982296737959e-4,0.008906085097604995,0.009677419354838724,11,864,Male,Sub,Sst.GABA_4,MER
Status,Sub - Dom,0.0042203934339656,0.0023907029417884894,1.7653357764341544,0.07750735013181766,3.6895230600857696,-4.652982296737959e-4,0.008906085097604995,0.009677419354838724,8,911,Male,Sub,Sst.GABA_4,MER
Status,Sub - Dom,0.0042203934339656,0.0023907029417884894,1.7653357764341544,0.07750735013181766,3.6895230600857696,-4.652982296737959e-4,0.008906085097604995,0.009677419354838724,5,705,Male,Sub,Sst.GABA_4,MER
