term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.sub_types,EffectType
Sex,Male - Female,-0.012658293996284035,0.0043829854789626845,-2.888052916679947,0.0038763465358771843,8.011086734744005,-0.021248787679812933,-0.004067800312755138,0.036191718291494035,11,1123,Female,Dom,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012658293996284035,0.0043829854789626845,-2.888052916679947,0.0038763465358771843,8.011086734744005,-0.021248787679812933,-0.004067800312755138,0.036191718291494035,85,1119,Female,Dom,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012658293996284035,0.0043829854789626845,-2.888052916679947,0.0038763465358771843,8.011086734744005,-0.021248787679812933,-0.004067800312755138,0.036191718291494035,15,825,Female,Dom,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012618832470973118,0.0067761983693863,-1.8622289052196044,0.06257083173260364,3.9983659083596983,-0.025899937227069306,6.622722851230677e-4,0.045280122793553736,39,377,Female,Sub,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012618832470973118,0.0067761983693863,-1.8622289052196044,0.06257083173260364,3.9983659083596983,-0.025899937227069306,6.622722851230677e-4,0.045280122793553736,7,456,Female,Sub,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012618832470973118,0.0067761983693863,-1.8622289052196044,0.06257083173260364,3.9983659083596983,-0.025899937227069306,6.622722851230677e-4,0.045280122793553736,13,470,Female,Sub,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012658293996284035,0.0043829854789626845,-2.888052916679947,0.0038763465358771843,8.011086734744005,-0.021248787679812933,-0.004067800312755138,0.02353342429521,1,767,Male,Dom,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012658293996284035,0.0043829854789626845,-2.888052916679947,0.0038763465358771843,8.011086734744005,-0.021248787679812933,-0.004067800312755138,0.02353342429521,65,1261,Male,Dom,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012658293996284035,0.0043829854789626845,-2.888052916679947,0.0038763465358771843,8.011086734744005,-0.021248787679812933,-0.004067800312755138,0.02353342429521,3,904,Male,Dom,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012618832470973118,0.0067761983693863,-1.8622289052196044,0.06257083173260364,3.9983659083596983,-0.025899937227069306,6.622722851230677e-4,0.03266129032258062,27,864,Male,Sub,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012618832470973118,0.0067761983693863,-1.8622289052196044,0.06257083173260364,3.9983659083596983,-0.025899937227069306,6.622722851230677e-4,0.03266129032258062,35,911,Male,Sub,Vipr2.GABA_2,MER
Sex,Male - Female,-0.012618832470973118,0.0067761983693863,-1.8622289052196044,0.06257083173260364,3.9983659083596983,-0.025899937227069306,6.622722851230677e-4,0.03266129032258062,19,705,Male,Sub,Vipr2.GABA_2,MER
Status,Sub - Dom,0.0090884045020597,0.0066746102245515805,1.3616382374852887,0.17331208165180192,2.5285558660580887,-0.0039935911489041975,0.0221704001530236,0.036191718291494035,11,1123,Female,Dom,Vipr2.GABA_2,MER
Status,Sub - Dom,0.0090884045020597,0.0066746102245515805,1.3616382374852887,0.17331208165180192,2.5285558660580887,-0.0039935911489041975,0.0221704001530236,0.036191718291494035,85,1119,Female,Dom,Vipr2.GABA_2,MER
Status,Sub - Dom,0.0090884045020597,0.0066746102245515805,1.3616382374852887,0.17331208165180192,2.5285558660580887,-0.0039935911489041975,0.0221704001530236,0.036191718291494035,15,825,Female,Dom,Vipr2.GABA_2,MER
Status,Sub - Dom,0.0090884045020597,0.0066746102245515805,1.3616382374852887,0.17331208165180192,2.5285558660580887,-0.0039935911489041975,0.0221704001530236,0.045280122793553736,39,377,Female,Sub,Vipr2.GABA_2,MER
Status,Sub - Dom,0.0090884045020597,0.0066746102245515805,1.3616382374852887,0.17331208165180192,2.5285558660580887,-0.0039935911489041975,0.0221704001530236,0.045280122793553736,7,456,Female,Sub,Vipr2.GABA_2,MER
Status,Sub - Dom,0.0090884045020597,0.0066746102245515805,1.3616382374852887,0.17331208165180192,2.5285558660580887,-0.0039935911489041975,0.0221704001530236,0.045280122793553736,13,470,Female,Sub,Vipr2.GABA_2,MER
Status,Sub - Dom,0.009127866027370618,0.004536187794324142,2.012232835420034,0.044195398711673634,4.499960014759838,2.3710132338511554e-4,0.018018630731356122,0.02353342429521,1,767,Male,Dom,Vipr2.GABA_2,MER
Status,Sub - Dom,0.009127866027370618,0.004536187794324142,2.012232835420034,0.044195398711673634,4.499960014759838,2.3710132338511554e-4,0.018018630731356122,0.02353342429521,65,1261,Male,Dom,Vipr2.GABA_2,MER
Status,Sub - Dom,0.009127866027370618,0.004536187794324142,2.012232835420034,0.044195398711673634,4.499960014759838,2.3710132338511554e-4,0.018018630731356122,0.02353342429521,3,904,Male,Dom,Vipr2.GABA_2,MER
Status,Sub - Dom,0.009127866027370618,0.004536187794324142,2.012232835420034,0.044195398711673634,4.499960014759838,2.3710132338511554e-4,0.018018630731356122,0.03266129032258062,27,864,Male,Sub,Vipr2.GABA_2,MER
Status,Sub - Dom,0.009127866027370618,0.004536187794324142,2.012232835420034,0.044195398711673634,4.499960014759838,2.3710132338511554e-4,0.018018630731356122,0.03266129032258062,35,911,Male,Sub,Vipr2.GABA_2,MER
Status,Sub - Dom,0.009127866027370618,0.004536187794324142,2.012232835420034,0.044195398711673634,4.499960014759838,2.3710132338511554e-4,0.018018630731356122,0.03266129032258062,19,705,Male,Sub,Vipr2.GABA_2,MER
