Predictor,Estimate,Std.error,z.value,p.value,neuron.sub_types,p.adjust.fdr,lwr,upr
SexMale,-0.5684295625405896,0.06805846019959377,-8.352077917625037,0,Mixed.GABA_2,0,-0.7328135806972808,-0.4040455443838985
StatusSub,-0.107692032268636,0.08054061032101051,-1.337114678413885,0.44098359016690614,Mixed.GABA_2,0.441,-0.3022246313097028,0.08684056677243077
SexMale:StatusSub,0.517520897632279,0.10851099035414452,4.769294759390357,6.550671137972586e-6,Mixed.GABA_2,0,0.2554304454494849,0.7796113498150732
SexMale,0.08974899484099798,0.11887103590581459,0.7550114639541716,0.8299995425179592,Samd3.GLU_2,0.83,-0.19725335842817576,0.3767513481101717
StatusSub,-0.7865463254653909,0.20605656233985414,-3.8171379573348445,4.084464296091328e-4,Samd3.GLU_2,0.0012,-1.2840495048349378,-0.2890431460958439
SexMale:StatusSub,0.23871605593503015,0.25094189485998364,0.95128020001692,0.7037860133972751,Samd3.GLU_2,0.83,-0.3671583171604092,0.8445904290304695
SexMale,-0.1867759071433101,0.12335176893458957,-1.5141729117995284,0.32753670804441126,Trh.GLU_2,0.3275,-0.48349732738927453,0.10994551310265432
StatusSub,-0.3305195482603122,0.16859759144608913,-1.9604049229018752,0.1411454442408384,Trh.GLU_2,0.2117,-0.736079332412741,0.07504023589211667
SexMale:StatusSub,1.2029563544158743,0.20374255387264908,5.90429604199323,6.712874367487132e-8,Trh.GLU_2,0,0.7128557221201993,1.6930569867115492
SexMale,-0.48609861085811584,0.13176971685304673,-3.689000951563299,7.654781620674012e-4,Lef1.GABA_1,0.0023,-0.8044116500124251,-0.1677855717038066
StatusSub,-0.40813872677608154,0.17067122804076243,-2.391373938427415,0.05379639349016907,Lef1.GABA_1,0.0538,-0.8204252413964332,0.004147787844270168
SexMale:StatusSub,0.7142212191229851,0.22247247943971143,3.2103800925027866,0.004425346815019493,Lef1.GABA_1,0.0066,0.17679962674281025,1.25164281150316
SexMale,0.14786268297893315,0.1706515974902667,0.8664594129414268,0.7496167601631563,Mixed.GLU_4,0.7496,-0.2623898224156669,0.5581151883735331
StatusSub,-0.5244036124882634,0.2736048022859452,-1.9166462288195059,0.15464399931661543,Mixed.GLU_4,0.3958,-1.1821592812109387,0.13335205623441193
SexMale:StatusSub,0.5310682234456287,0.3240519573760927,1.6388366475110476,0.26388306684440443,Mixed.GLU_4,0.3958,-0.24796419902641242,1.3101006459176698
SexMale,-0.862623568548641,0.14468050240921537,-5.96226550353544,4.42554493051972e-9,Onecut2.GABA_2,0,-1.2114269079990099,-0.5138202290982721
StatusSub,0.5780613780542903,0.12385793816447774,4.6671322534584005,3.762707751986394e-5,Onecut2.GABA_2,1e-4,0.27945816801694806,0.8766645880916324
SexMale:StatusSub,0.554669358505512,0.19006323752023327,2.9183411044782632,0.011369859965378981,Onecut2.GABA_2,0.0114,0.09645494225820289,1.0128837747528212
SexMale,1.950572592662635,0.13478094146222655,14.4721692214125,0,Meis2.GABA_5,0,1.630475652245753,2.270669533079517
StatusSub,-0.17410502297161598,0.24022330020857838,-0.7247632632656618,0.8211931553270758,Meis2.GABA_5,0.8212,-0.7446214667609807,0.3964114208177487
SexMale:StatusSub,-2.411748174973377,0.309039131791444,-7.804021972857964,1.8762769116165146e-14,Meis2.GABA_5,0,-3.1456982385530603,-1.6777981113936937
SexMale,-0.18476945745418305,0.08530945289604643,-2.1658731967175235,0.0902603144858175,Nts.GABA_1,0.1354,-0.39045320520768345,0.02091429029931735
StatusSub,-0.22211735229029358,0.11197709771576339,-1.9835962604969837,0.1358394514628759,Nts.GABA_1,0.1358,-0.49209762222360987,0.04786291764302267
SexMale:StatusSub,0.6116602585135372,0.14146415377122173,4.323782684217832,3.9744104217365184e-5,Nts.GABA_1,1e-4,0.27058577810515533,0.9527347389219192
SexMale,0.6804407090641076,0.07146291643778302,9.521591658752302,0,Lhx8.GABA_1,0,0.508589666219414,0.8522917519088011
StatusSub,-0.8234986988603854,0.13191158229481378,-6.242808133556609,1.2333156718113969e-9,Lhx8.GABA_1,0,-1.1407141738318491,-0.5062832238889217
SexMale:StatusSub,-0.4063374640341678,0.159260150121825,-2.5514070137654814,0.034000444237788474,Lhx8.GABA_1,0.034,-0.7893196350160374,-0.02335529305229822
SexMale,-0.027688507558855824,0.2212064227281856,-0.12517045037557048,0.9996419141518119,Hmcn1.GABA_1,0.9996,-0.5591958208481429,0.5038188057304314
