contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.sub_types
female.dom.data - female.sub.data,0.10769203226863566,0.08054061032101051,1.337114678413881,0.5392,Mixed.GABA_2
female.dom.data - male.dom.data,0.5684295625405891,0.06805846019959375,8.352077917625031,0,Mixed.GABA_2
female.dom.data - male.sub.data,0.1586006971769464,0.06604328910375862,2.401465755707194,0.0768,Mixed.GABA_2
female.sub.data - male.dom.data,0.4607375302719534,0.0860983100414555,5.351295862254587,0,Mixed.GABA_2
female.sub.data - male.sub.data,0.050908664908310725,0.08451438352669653,0.6023668727611273,0.9313,Mixed.GABA_2
male.dom.data - male.sub.data,-0.4098288653636427,0.07271757089422319,-5.635898728792661,0,Mixed.GABA_2
female.dom.data - female.sub.data,0.7865463254653902,0.20605656233985414,3.817137957334841,8e-4,Samd3.GLU_2
female.dom.data - male.dom.data,-0.08974899484099876,0.11887103590581455,-0.7550114639541785,0.8746,Samd3.GLU_2
female.dom.data - male.sub.data,0.4580812746893621,0.1441025041205476,3.1788571439824427,0.0081,Samd3.GLU_2
female.sub.data - male.dom.data,-0.8762953203063889,0.20544172629265608,-4.2654203511612225,1e-4,Samd3.GLU_2
female.sub.data - male.sub.data,-0.32846505077602806,0.2210011570526218,-1.4862594167225034,0.4458,Samd3.GLU_2
male.dom.data - male.sub.data,0.5478302695303608,0.14322195262110085,3.8250439929391744,8e-4,Samd3.GLU_2
female.dom.data - female.sub.data,0.33051954826031105,0.16859759144608924,1.960404922901867,0.2031,Trh.GLU_2
female.dom.data - male.dom.data,0.18677590714330974,0.1233517689345896,1.514172911799525,0.4289,Trh.GLU_2
female.dom.data - male.sub.data,-0.685660899012253,0.10705260388623308,-6.40489697701252,0,Trh.GLU_2
female.sub.data - male.dom.data,-0.1437436411170013,0.1733515741483954,-0.8292029756473478,0.8406,Trh.GLU_2
female.sub.data - male.sub.data,-1.0161804472725642,0.1621584698967555,-6.266588775286021,0,Trh.GLU_2
male.dom.data - male.sub.data,-0.8724368061555627,0.11439353310885597,-7.626626981836105,0,Trh.GLU_2
female.dom.data - female.sub.data,0.408138726776083,0.17067122804076243,2.3913739384274235,0.0787,Lef1.GABA_1
female.dom.data - male.dom.data,0.48609861085811723,0.13176971685304673,3.6890009515633095,0.0013,Lef1.GABA_1
female.dom.data - male.sub.data,0.18001611851121346,0.1272402139283523,1.4147737806585168,0.49,Lef1.GABA_1
female.sub.data - male.dom.data,0.07795988408203425,0.18249364938956086,0.4271923124054407,0.9738,Lef1.GABA_1
female.sub.data - male.sub.data,-0.22812260826486952,0.1792505113758974,-1.2726469035643913,0.5804,Lef1.GABA_1
male.dom.data - male.sub.data,-0.30608249234690377,0.14270716880069795,-2.1448291275007536,0.1391,Lef1.GABA_1
female.dom.data - female.sub.data,0.524403612488264,0.27360480228594525,1.9166462288195076,0.2209,Mixed.GLU_4
female.dom.data - male.dom.data,-0.14786268297893243,0.17065159749026662,-0.866459412941423,0.8222,Mixed.GLU_4
female.dom.data - male.sub.data,-0.15452729393629755,0.177610214443869,-0.8700360754596889,0.8204,Mixed.GLU_4
female.sub.data - male.dom.data,-0.6722662954671964,0.2710429537997251,-2.4802943077573496,0.063,Mixed.GLU_4
female.sub.data - male.sub.data,-0.6789309064245614,0.27547722837522715,-2.4645627169581896,0.0656,Mixed.GLU_4
male.dom.data - male.sub.data,-0.006664610957365119,0.17363779325177417,-0.038382260178240445,1,Mixed.GLU_4
female.dom.data - female.sub.data,-0.5780613780542904,0.12385793816447777,-4.6671322534584005,0,Onecut2.GABA_2
female.dom.data - male.dom.data,0.8626235685486411,0.1446805024092154,5.9622655035354395,0,Onecut2.GABA_2
female.dom.data - male.sub.data,-0.2701071680111612,0.11155918878055127,-2.421200539047398,0.0731,Onecut2.GABA_2
female.sub.data - male.dom.data,1.4406849466029314,0.1538784639099895,9.362485886560796,0,Onecut2.GABA_2
female.sub.data - male.sub.data,0.3079542100431292,0.12325415400419423,2.4985300700911854,0.0601,Onecut2.GABA_2
male.dom.data - male.sub.data,-1.1327307365598023,0.1441639532279724,-7.857239699639538,0,Onecut2.GABA_2
female.dom.data - female.sub.data,0.17410502297161742,0.24022330020857843,0.7247632632656675,0.8872,Meis2.GABA_5
female.dom.data - male.dom.data,-1.9505725926626334,0.13478094146222655,-14.472169221412488,0,Meis2.GABA_5
female.dom.data - male.sub.data,0.6352806052823586,0.22394075504290845,2.836824432250552,0.0236,Meis2.GABA_5
female.sub.data - male.dom.data,-2.124677615634251,0.21296883154401172,-9.976472144916515,0,Meis2.GABA_5
female.sub.data - male.sub.data,0.4611755823107412,0.27809941171632385,1.6583119664458863,0.346,Meis2.GABA_5
male.dom.data - male.sub.data,2.585853197944992,0.19441695146079407,13.300554187871075,0,Meis2.GABA_5
female.dom.data - female.sub.data,0.22211735229029367,0.11197709771576336,1.9835962604969848,0.1941,Nts.GABA_1
female.dom.data - male.dom.data,0.18476945745418302,0.0853094528960464,2.1658731967175235,0.1328,Nts.GABA_1
female.dom.data - male.sub.data,-0.2047734487690601,0.08232513505633386,-2.487374586497024,0.0619,Nts.GABA_1
female.sub.data - male.dom.data,-0.037347894836110646,0.11504207465168664,-0.3246455259885483,0.9882,Nts.GABA_1
female.sub.data - male.sub.data,-0.42689080105935373,0.11284681674192273,-3.7829228451843715,9e-4,Nts.GABA_1
male.dom.data - male.sub.data,-0.3895429062232431,0.08644788250363472,-4.50610119000734,0,Nts.GABA_1
female.dom.data - female.sub.data,0.8234986988603862,0.13191158229481373,6.2428081335566175,0,Lhx8.GABA_1
female.dom.data - male.dom.data,-0.6804407090641071,0.071462916437783,-9.521591658752298,0,Lhx8.GABA_1
female.dom.data - male.sub.data,0.5493954538304464,0.09488493850143814,5.790122884699128,0,Lhx8.GABA_1
female.sub.data - male.dom.data,-1.5039394079244932,0.12790873254944138,-11.757910331440161,0,Lhx8.GABA_1
