Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Oxt,-0.23260426855400684,14.331057813775526,-16.407024820378368,1.470297631535025e-52,2.3936445441390207e-49,104.8644512704719,-0.237838121749542,14.331057813775526,-12.912644117960088,7.180968394523334e-35,1.1690616546283987e-31,64.5351389477108,-0.2273704153584717,14.331057813775526,-10.547426652679007,1.749069961700835e-24,2.8474858976489595e-21,40.91817409004225,-0.13438545027715332,14.331057813775526,-9.479041085108223,2.6555344141882207e-20,1.441070008766141e-17,30.95287024106215,-0.13961930347268847,14.331057813775526,-7.932759394892533,6.9777319184354115e-15,5.679873781606425e-12,18.83386620089691,-0.12915159708161816,14.331057813775526,-5.8096870695567056,8.938834586354933e-9,1.819052838323229e-6,5.269866706943105,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down
Avp,-0.08055605564653412,14.091494641038869,-6.597118704152257,7.493712478807969e-11,6.099881957749687e-8,9.49168324953643,-0.13248956108584053,14.091494641038869,-8.35140080448759,2.8421192280672227e-16,2.313485051646719e-13,22.037758086366335,-0.028622550207227704,14.091494641038869,-1.5415756264197076,0.12356076485005094,0.7827909116575427,-10.132665065843307,-0.04176411951612202,14.091494641038869,-3.4202624720257533,6.563781159881668e-4,0.016842907495131742,-5.924685657793738,-0.09369762495542844,14.091494641038869,-6.180894745371953,1.0017261119473145e-9,3.2616202205004565e-7,7.171297813764603,0.010169385923184393,14.091494641038869,0.5311187564250175,0.5954796479188114,0.9983943015569773,-11.148668823855164,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig
Erbb4,0.13095997448646557,14.300112393661106,6.21269758923856,8.259343144049125e-10,4.482070212837325e-7,7.1435418968166164,0.1282446777259505,14.300112393661106,4.682766938001452,3.3090929970448103e-6,8.978672331981585e-4,-0.6440430949632905,0.13367527124698064,14.300112393661106,4.170547870714433,3.360875649453111e-5,0.004208850428699742,-2.703988529088141,0.013422854167298048,14.300112393661106,0.6367757328365373,0.524447832669326,0.7834235950944503,-11.536752224955222,0.010707557406783863,14.300112393661106,0.4091652139668462,0.6825247731073575,0.9999999999993776,-11.439599487171739,0.01613815092781401,14.300112393661106,0.4882432072565276,0.6255075101827529,0.9999999999990941,-11.170541259586425,Sig,up,up,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
mt-Co3,-0.060755142062526524,14.691755479491627,-6.1105873100293175,1.5300106097572911e-9,6.227143181712175e-7,6.541365040949502,0.01458574993000461,14.691755479491627,1.129146354907688,0.2591647858492074,0.652117884640664,-10.84017035467104,-0.13609603405505766,14.691755479491627,-9.00214049874216,1.5066041654800866e-18,1.2263757907007905e-15,27.374311409286342,0.1092858504425136,14.691755479491627,10.991674255201549,2.5473663812232402e-26,2.0735562343157174e-23,44.69794836279123,0.18462674243504473,14.691755479491627,14.957574696247924,6.276681477912489e-45,1.0218437446041532e-41,87.56051546455566,0.033944958449982465,14.691755479491627,2.1772886020210667,0.029742204011936297,0.26315384854039287,-8.923494860112665,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Lsamp,0.08986057781380019,14.757318632721713,5.902923385158636,5.216043539453192e-9,1.6983437764459593e-6,5.344883357404958,0.03248934646780022,14.757318632721713,1.6427083909422058,0.10082488939692645,0.5811394368095588,-10.129261713606615,0.14723180915980016,14.757318632721713,6.360627935612796,3.328567992823051e-10,1.354727173078982e-7,8.451080525994398,0.11232220861247288,14.757318632721713,7.378423420168675,3.9137527244166854e-13,9.102270621929092e-11,14.651186581860886,0.05495097726647202,14.757318632721713,2.9076358862014673,0.0037395160648665497,0.14118850184774384,-7.3126697210687706,0.16969343995847197,14.757318632721713,7.108922796950433,2.536641738685697e-12,1.0324131876450787e-9,13.26352246544472,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Frmpd4,0.09365091345409393,14.219864949733616,5.6073923086728215,2.803496394288983e-8,7.606820216504107e-6,3.7078509724516717,0.06219492304843932,14.219864949733616,2.866324917128843,0.0042585037908525435,0.19808126204308402,-7.385417943167167,0.12510690385974854,14.219864949733616,4.926410578792497,1.0123893595698733e-6,2.060212346724692e-4,0.6533289054361919,0.09039111071036476,14.219864949733616,5.412210092517102,8.167808704125325e-8,1.329719257031603e-5,2.66940965011932,0.058935120304710154,14.219864949733616,2.842429870510291,0.00458776648913676,0.15099994604704778,-7.498501735198693,0.12184710111601937,14.219864949733616,4.652698703287586,3.815976529472645e-6,3.8827561187384157e-4,-0.5928716498960771,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Cacna2d3,-0.06629743941167643,14.06008619972083,-5.116964173291509,3.865704031370034e-7,8.990523090100593e-5,1.16386586656699,-0.06391703030683793,14.06008619972083,-3.7971151731880535,1.5713640965591642e-4,0.027607405239158268,-4.322585160963551,-0.06867784851651493,14.06008619972083,-3.486042733758289,5.161429124723622e-4,0.04668225897250032,-5.281441793463351,0.005893440415065676,14.06008619972083,0.45486709183534596,0.6493246993579141,0.8782595566080711,-11.636125384674814,0.008273849519904175,14.06008619972083,0.5143868993787029,0.6071194772837132,0.9725428750562989,-11.390964450467287,0.003513031310227177,14.06008619972083,0.17291730021226095,0.8627589071766588,0.9999999999990941,-11.274891161943819,Sig,down,down,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Lrrtm4,0.10409936396652952,14.49207464611936,4.982482411040267,7.651609612052247e-7,1.5571025560526323e-4,0.5043635630821122,0.09251032794912284,14.49207464611936,3.408077633545837,6.859688823922357e-4,0.07445048936897064,-5.704004534729446,0.11568839998393621,14.49207464611936,3.641563746927999,2.879161907971877e-4,0.02929547241361385,-4.734952684954078,0.0534478379432608,14.49207464611936,2.558160802462255,0.01070057250556676,0.10820206235442663,-8.476570421590827,0.04185880192585323,14.49207464611936,1.6138053551889253,0.10695259843093131,0.5881240670779017,-10.221693800408213,0.0650368739606666,14.49207464611936,1.9851720921709304,0.047456559265701526,0.31002102219040795,-9.321720047093557,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Etl4,-0.06467832429352605,14.069995136463216,-4.922432568747457,1.0325911810385643e-6,1.867842714145314e-4,0.2152173493207279,-0.07045085411873586,14.069995136463216,-4.126946501727335,4.050010058043876e-5,0.009419166249279187,-3.0387040223584734,-0.05890579446831623,14.069995136463216,-2.9483527167806063,0.003285008040662104,0.12154529750449786,-6.99175819462711,0.019438291615108128,14.069995136463216,1.4793778406005529,0.1394216343896311,0.47773002101862005,-10.645535637734724,0.013665761789898312,14.069995136463216,0.837763668700153,0.4024064299016139,0.824047380980915,-11.172200549227705,0.025210821440317943,14.069995136463216,1.2236263397077944,0.22144308116186123,0.6410122499085995,-10.541001221443324,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Apoe,-0.07076402861873454,14.312712894425847,-4.8839285584149215,1.2493125294340378e-6,2.0338807979186136e-4,0.03155603363504511,-0.026063627364726116,14.312712894425847,-1.3845644333048186,0.16656058009641536,0.5811394368095588,-10.519378885779425,-0.11546442987274297,14.312712894425847,-5.240893958604145,2.0317594102829915e-7,4.725291885629586e-5,2.2052614230397545,-0.11575768618155724,14.312712894425847,-7.9892606516817875,4.56613562938208e-15,1.2389448007723376e-12,19.035768268629276,-0.07105728492754793,14.312712894425847,-3.9503176796768606,8.473100727437584e-5,0.013794207984268388,-3.784499742210434,-0.16045808743556478,14.312712894425847,-7.0625115155038225,3.478993946671413e-12,1.1327604290362121e-9,12.953180656008112,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down
