term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.clusters,EffectType
Sex,Male - Female,0.01364256479466876,0.0021423153957602294,6.368140200863148,1.9133398647525464e-10,32.283187787869764,0.00944370377545304,0.01784142581388448,7.514076147458351e-12,0,1123,Female,Dom,13,MER
Sex,Male - Female,0.01364256479466876,0.0021423153957602294,6.368140200863148,1.9133398647525464e-10,32.283187787869764,0.00944370377545304,0.01784142581388448,7.514076147458351e-12,0,1119,Female,Dom,13,MER
Sex,Male - Female,0.01364256479466876,0.0021423153957602294,6.368140200863148,1.9133398647525464e-10,32.283187787869764,0.00944370377545304,0.01784142581388448,7.514076147458351e-12,0,825,Female,Dom,13,MER
Sex,Male - Female,-8.309193048410801e-12,7.95645061296303e-8,-1.0443341450361128e-4,0.9999166741910871,1.2021874002814915e-4,-1.5595187565484013e-7,1.559352572687433e-7,1.7561153973212708e-11,0,377,Female,Sub,13,MER
Sex,Male - Female,-8.309193048410801e-12,7.95645061296303e-8,-1.0443341450361128e-4,0.9999166741910871,1.2021874002814915e-4,-1.5595187565484013e-7,1.559352572687433e-7,1.7561153973212708e-11,0,456,Female,Sub,13,MER
Sex,Male - Female,-8.309193048410801e-12,7.95645061296303e-8,-1.0443341450361128e-4,0.9999166741910871,1.2021874002814915e-4,-1.5595187565484013e-7,1.559352572687433e-7,1.7561153973212708e-11,0,470,Female,Sub,13,MER
Sex,Male - Female,0.01364256479466876,0.0021423153957602294,6.368140200863148,1.9133398647525464e-10,32.283187787869764,0.00944370377545304,0.01784142581388448,0.013642564802182837,6,767,Male,Dom,13,MER
Sex,Male - Female,0.01364256479466876,0.0021423153957602294,6.368140200863148,1.9133398647525464e-10,32.283187787869764,0.00944370377545304,0.01784142581388448,0.013642564802182837,34,1261,Male,Dom,13,MER
Sex,Male - Female,0.01364256479466876,0.0021423153957602294,6.368140200863148,1.9133398647525464e-10,32.283187787869764,0.00944370377545304,0.01784142581388448,0.013642564802182837,0,904,Male,Dom,13,MER
Sex,Male - Female,-8.309193048410801e-12,7.95645061296303e-8,-1.0443341450361128e-4,0.9999166741910871,1.2021874002814915e-4,-1.5595187565484013e-7,1.559352572687433e-7,9.251960924801907e-12,0,864,Male,Sub,13,MER
Sex,Male - Female,-8.309193048410801e-12,7.95645061296303e-8,-1.0443341450361128e-4,0.9999166741910871,1.2021874002814915e-4,-1.5595187565484013e-7,1.559352572687433e-7,9.251960924801907e-12,0,911,Male,Sub,13,MER
Sex,Male - Female,-8.309193048410801e-12,7.95645061296303e-8,-1.0443341450361128e-4,0.9999166741910871,1.2021874002814915e-4,-1.5595187565484013e-7,1.559352572687433e-7,9.251960924801907e-12,0,705,Male,Sub,13,MER
Status,Sub - Dom,1.0047077825754357e-11,7.654661043827788e-8,1.3125437910612196e-4,0.9998952741576742,1.510953653091441e-4,-1.5001855251981663e-7,1.5003864667546814e-7,7.514076147458351e-12,0,1123,Female,Dom,13,MER
Status,Sub - Dom,1.0047077825754357e-11,7.654661043827788e-8,1.3125437910612196e-4,0.9998952741576742,1.510953653091441e-4,-1.5001855251981663e-7,1.5003864667546814e-7,7.514076147458351e-12,0,1119,Female,Dom,13,MER
Status,Sub - Dom,1.0047077825754357e-11,7.654661043827788e-8,1.3125437910612196e-4,0.9998952741576742,1.510953653091441e-4,-1.5001855251981663e-7,1.5003864667546814e-7,7.514076147458351e-12,0,825,Female,Dom,13,MER
Status,Sub - Dom,1.0047077825754357e-11,7.654661043827788e-8,1.3125437910612196e-4,0.9998952741576742,1.510953653091441e-4,-1.5001855251981663e-7,1.5003864667546814e-7,1.7561153973212708e-11,0,377,Female,Sub,13,MER
Status,Sub - Dom,1.0047077825754357e-11,7.654661043827788e-8,1.3125437910612196e-4,0.9998952741576742,1.510953653091441e-4,-1.5001855251981663e-7,1.5003864667546814e-7,1.7561153973212708e-11,0,456,Female,Sub,13,MER
Status,Sub - Dom,1.0047077825754357e-11,7.654661043827788e-8,1.3125437910612196e-4,0.9998952741576742,1.510953653091441e-4,-1.5001855251981663e-7,1.5003864667546814e-7,1.7561153973212708e-11,0,470,Female,Sub,13,MER
Status,Sub - Dom,-0.013642564792930877,0.002142315398465016,-6.368140192011817,1.9133399751428903e-10,32.28318770463332,-0.01784142581744788,-0.009443703768413872,0.013642564802182837,6,767,Male,Dom,13,MER
Status,Sub - Dom,-0.013642564792930877,0.002142315398465016,-6.368140192011817,1.9133399751428903e-10,32.28318770463332,-0.01784142581744788,-0.009443703768413872,0.013642564802182837,34,1261,Male,Dom,13,MER
Status,Sub - Dom,-0.013642564792930877,0.002142315398465016,-6.368140192011817,1.9133399751428903e-10,32.28318770463332,-0.01784142581744788,-0.009443703768413872,0.013642564802182837,0,904,Male,Dom,13,MER
Status,Sub - Dom,-0.013642564792930877,0.002142315398465016,-6.368140192011817,1.9133399751428903e-10,32.28318770463332,-0.01784142581744788,-0.009443703768413872,9.251960924801907e-12,0,864,Male,Sub,13,MER
Status,Sub - Dom,-0.013642564792930877,0.002142315398465016,-6.368140192011817,1.9133399751428903e-10,32.28318770463332,-0.01784142581744788,-0.009443703768413872,9.251960924801907e-12,0,911,Male,Sub,13,MER
Status,Sub - Dom,-0.013642564792930877,0.002142315398465016,-6.368140192011817,1.9133399751428903e-10,32.28318770463332,-0.01784142581744788,-0.009443703768413872,9.251960924801907e-12,0,705,Male,Sub,13,MER
