Predictor,Estimate,Std.error,z.value,p.value,neuron.clusters,p.adjust.fdr,lwr,upr
SexMale,-0.3996034116294943,0.07268673464694252,-5.497611270756172,8.357308889372916e-8,2,0,-0.5752560776573444,-0.22395074560164419
StatusSub,-0.5860162739389265,0.10085344808574413,-5.810572519451234,4.5315113883503955e-8,2,0,-0.8297358070890857,-0.3422967407887673
SexMale:StatusSub,0.9940322396484051,0.12635333613588087,7.867083450645253,9.103828801926284e-15,2,0,0.6886904126756599,1.2993740666211504
SexMale,-0.48234012643889634,0.07334003665275948,-6.576764185742302,8.311795696158697e-11,1,0,-0.6591075695278736,-0.30557268334991905
StatusSub,-0.13591857958044704,0.08828272951928973,-1.539582886942218,0.3199510877493119,1,0.32,-0.3487015706761223,0.07686441151522824
SexMale:StatusSub,0.6670654407265962,0.11665196048744264,5.718424602031481,2.2767536078660555e-8,1,0,0.38590565777868596,0.9482252236745066
SexMale,0.08612212856932651,0.11327510324448642,0.7602917684695948,0.8280142627402322,6,0.828,-0.18718113446144008,0.35942539160009307
StatusSub,-0.235372029643274,0.15968773847244055,-1.473951800525344,0.3564535782552718,6,0.5602,-0.6206568692988581,0.14991281001231013
SexMale:StatusSub,-0.30264501821871204,0.2097535302228486,-1.442860188799553,0.37345870537773795,6,0.5602,-0.8087255478333902,0.20343551139596616
SexMale,1.6627848926204178,0.141454411330781,11.75491719895617,0,8,0,1.326993481454976,1.9985763037858597
StatusSub,-0.40357695294066154,0.2693318975277981,-1.4984372688311371,0.3179042309736634,8,0.3179,-1.0429302052845535,0.23577629940323053
SexMale:StatusSub,-1.670491444818217,0.32582773164369655,-5.126916104995492,5.571147843053126e-7,8,0,-2.4439572757962553,-0.8970256138401788
SexMale,0.04668090373756468,0.13922431121662793,0.33529276122566626,0.9840927800573772,7,0.9841,-0.28660695829170985,0.3799687657668392
StatusSub,0.5524090182137267,0.15325242516460685,3.60456950433502,9.233125156261623e-4,7,0.0028,0.1855393767871012,0.9192786596403522
SexMale:StatusSub,-0.16552187055285297,0.20308959423468959,-0.8150189633131893,0.7732293794248314,7,0.9841,-0.6516962755212037,0.3206525344154978
SexMale,-0.48711478490739823,0.06703181278345693,-7.266919462270836,6.431521981653532e-13,0,0,-0.6485025638458591,-0.32572700596893733
StatusSub,0.5895982384043484,0.0724537673196824,8.137578765268447,6.661338147750939e-16,0,0,0.4151564010453953,0.7640400757633016
SexMale:StatusSub,0.05026411417926371,0.10003835147905184,0.50244844538236,0.9459844621535967,0,0.946,-0.19059118546815623,0.29111941382668366
SexMale,0.21871553103843086,0.1426118918014554,1.533641607832586,0.31250075565278423,9,0.5845,-0.12380804495649414,0.5612391070333559
StatusSub,-0.22779132766163435,0.2073919963017618,-1.0983612276444403,0.5844646746693614,9,0.5845,-0.7259030020015491,0.2703203466782805
SexMale:StatusSub,0.33432505601013424,0.24982232366374105,1.3382513264112186,0.42506991261488114,9,0.5845,-0.2656952829935511,0.9343453950138196
SexMale,0.6015345886294773,0.0855853819232029,7.028473497603173,3.977151941114698e-12,3,0,0.39609973801651277,0.8069694392424418
StatusSub,-0.5192338764014386,0.14445792941308414,-3.594360506972693,0.0011456905507746251,3,0.0017,-0.8659834320143875,-0.1724843207884897
SexMale:StatusSub,-0.5249054518177676,0.1783711314635318,-2.9427713302647582,0.010075508893645502,3,0.0101,-0.9530585536962757,-0.09675234993925952
SexMale,0.2019744673590412,0.10499187212713078,1.9237152673540079,0.15619905980415816,5,0.2343,-0.05090075481895137,0.45484968953703375
StatusSub,-0.5614862394220762,0.16996616426964617,-3.303517743280335,0.003450226136937351,5,0.0104,-0.9708534664430859,-0.15211901240106657
SexMale:StatusSub,-0.19773210973338584,0.21467660772686356,-0.9210696583437891,0.7245771945852764,5,0.7246,-0.7147854184848956,0.31932119901812395
SexMale,-0.18333046823851198,0.1561096058785751,-1.1743701946253697,0.5421286188041399,10,1,-0.559161108284193,0.19250017180716902
StatusSub,0.15757376949341764,0.18147921449192733,0.8682744739366663,0.7550087924133196,10,1,-0.2793336773842583,0.5944812163710936
SexMale:StatusSub,-0.012785590399337252,0.2457058653207686,-0.05203616276170569,0.9999899170851761,10,1,-0.604317367747549,0.5787461869488745
SexMale,-0.026123975526704875,0.09407477495810865,-0.2776937339296091,0.9928286005642801,4,0.9928,-0.2526986832320214,0.20045073217861165
StatusSub,0.12121505540282775,0.11570511492412278,1.0476205436753447,0.6269390798606622,4,0.9928,-0.15745531724081718,0.39988542804647265
SexMale:StatusSub,-0.05962385690209689,0.15197531636401582,-0.3923259271873075,0.9756245675026792,4,0.9928,-0.42564931801994904,0.3064016042157553
SexMale,0.3548457253698475,0.1920855926656467,1.8473312883361783,0.16819905315545414,11,0.2523,-0.10280722404094617,0.8124986747806411
StatusSub,0.6362386774095508,0.219705745164744,2.89586727435131,0.011746499199965843,11,0.0352,0.11277941697370097,1.1596979378454004
SexMale:StatusSub,-0.38849126841583215,0.2805415803418392,-1.384790332835712,0.3784416900017129,11,0.3784,-1.056894764451533,0.27991222761986867
SexMale,1.509834300255898,0.3359457278398686,4.4942804004805605,2.6813033139339026e-5,12,1e-4,0.7018935578728126,2.3177750426389836
StatusSub,-1.544689945259617,1.0449870363882017,-1.4781905339213997,0.35605633593735564,12,0.3561,-4.05785660282944,0.968476712310206
SexMale:StatusSub,-2.1537880092814525,1.4539606668366978,-1.4813248105035266,0.3542322575558088,12,0.3561,-5.650525616612435,1.3429495980495298
SexMale,21.333418905578387,3995.3799099694565,0.005339521994478236,0.9999998114762628,13,1,-9127.993767867521,9170.660605678679
StatusSub,0.848911220894276,5660.403972601403,1.4997361054146355e-4,0.9999999999962556,13,1,-12961.344702811768,12963.042525253555
SexMale:StatusSub,-21.974272686721147,6933.496026813211,-0.003169291884172466,0.9999999606757506,13,1,-15899.519118726239,15855.570573352798
