contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.clusters
female.dom.data - female.sub.data,0.5860162739389265,0.1008534480857441,5.810572519451235,0,2
female.dom.data - male.dom.data,0.39960341162949403,0.07268673464694246,5.497611270756172,0,2
female.dom.data - male.sub.data,-0.00841255407998412,0.07033956634198384,-0.11959917465346794,0.9994,2
female.sub.data - male.dom.data,-0.1864128623094325,0.10496433184414856,-1.7759638825331543,0.2849,2
female.sub.data - male.sub.data,-0.5944288280189106,0.10335281398700212,-5.751452767349589,0,2
male.dom.data - male.sub.data,-0.4080159657094782,0.07611667072253622,-5.360402154171924,0,2
female.dom.data - female.sub.data,0.1359185795804472,0.08828272951928971,1.53958288694222,0.4137,1
female.dom.data - male.dom.data,0.48234012643889673,0.0733400366527595,6.576764185742307,0,1
female.dom.data - male.sub.data,-0.048806734707252636,0.06926922472417614,-0.7045947879682022,0.8953,1
female.sub.data - male.dom.data,0.3464215468584495,0.09385869374584042,3.6908839557955386,0.0013,1
female.sub.data - male.sub.data,-0.18472531428769984,0.09071338880967778,-2.036362181058684,0.1746,1
male.dom.data - male.sub.data,-0.5311468611461494,0.07624853804623281,-6.965994034195015,0,1
female.dom.data - female.sub.data,0.23537202964327442,0.1596877384724406,1.473951800525346,0.4533,6
female.dom.data - male.dom.data,-0.08612212856932627,0.1132751032444864,-0.7602917684695928,0.8723,6
female.dom.data - male.sub.data,0.4518949192926596,0.13674526601732565,3.3046476302543772,0.0053,6
female.sub.data - male.dom.data,-0.3214941582126007,0.15905117309469402,-2.021325287687085,0.18,6
female.sub.data - male.sub.data,0.2165228896493852,0.17653694918032997,1.2265018210335683,0.6099,6
male.dom.data - male.sub.data,0.5380170478619859,0.13600135889947895,3.955968177197729,4e-4,6
female.dom.data - female.sub.data,0.4035769529406625,0.2693318975277983,1.4984372688311398,0.4384,8
female.dom.data - male.dom.data,-1.662784892620417,0.14145441133078096,-11.754917198956164,0,8
female.dom.data - male.sub.data,0.411283505138462,0.21453787522167544,1.91706711327077,0.2208,8
female.sub.data - male.dom.data,-2.0663618455610795,0.245228894715622,-8.42625763149698,0,8
female.sub.data - male.sub.data,0.007706552197799532,0.29352062997877854,0.026255572558415107,1,8
male.dom.data - male.sub.data,2.0740683977588787,0.18336858968250908,11.310925177261792,0,8
female.dom.data - female.sub.data,-0.5524090182137265,0.15325242516460683,-3.604569504335019,0.0018,7
female.dom.data - male.dom.data,-0.04668090373756459,0.1392243112166279,-0.3352927612256657,0.987,7
female.dom.data - male.sub.data,-0.43356805139843796,0.13320260161374206,-3.2549518263591346,0.0062,7
female.sub.data - male.dom.data,0.5057281144761618,0.15330508866225406,3.298834493291542,0.0054,7
female.sub.data - male.sub.data,0.1188409668152885,0.1478579536334329,0.8037509237407487,0.8527,7
male.dom.data - male.sub.data,-0.3868871476608734,0.13326318871908116,-2.9031809262528725,0.0193,7
female.dom.data - female.sub.data,-0.5895982384043487,0.07245376731968241,-8.137578765268449,0,0
female.dom.data - male.dom.data,0.48711478490739873,0.06703181278345695,7.266919462270843,0,0
female.dom.data - male.sub.data,-0.15274756767621375,0.06310268298263103,-2.420619226574842,0.0732,0
female.sub.data - male.dom.data,1.0767130233117475,0.07762553166993372,13.87060417041607,0,0
female.sub.data - male.sub.data,0.4368506707281349,0.07425905898683266,5.88279297756245,0,0
male.dom.data - male.sub.data,-0.6398623525836125,0.06897915168970721,-9.27617021824132,0,0
female.dom.data - female.sub.data,0.22779132766163357,0.20739199630176194,1.0983612276444359,0.6905,9
female.dom.data - male.dom.data,-0.21871553103843125,0.1426118918014555,-1.5336416078325876,0.4173,9
female.dom.data - male.sub.data,-0.32524925938693067,0.1449514349186965,-2.243849876818146,0.1116,9
female.sub.data - male.dom.data,-0.4465068587000648,0.20347057506126517,-2.1944542033442485,0.1247,9
female.sub.data - male.sub.data,-0.5530405870485642,0.20511714145229548,-2.6962182835274446,0.0353,9
male.dom.data - male.sub.data,-0.10653372834849942,0.13928299706253097,-0.7648724581986931,0.8703,9
female.dom.data - female.sub.data,0.5192338764014373,0.14445792941308408,3.594360506972685,0.0018,3
female.dom.data - male.dom.data,-0.6015345886294783,0.08558538192320288,-7.028473497603187,0,3
female.dom.data - male.sub.data,0.4426047395897287,0.11178234250365758,3.9595228519678445,4e-4,3
female.sub.data - male.dom.data,-1.1207684650309155,0.13899988648907424,-8.063089066759856,0,3
female.sub.data - male.sub.data,-0.07662913681170858,0.15649729371666476,-0.4896515140411572,0.9614,3
male.dom.data - male.sub.data,1.0441393282192069,0.10463348971177895,9.979016575814965,0,3
female.dom.data - female.sub.data,0.5614862394220751,0.16996616426964628,3.3035177432803264,0.0053,5
