p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity
0,0.8229298470742394,1,1,0,0,Gm42418,0.8229298470742394
0,0.7584324237095117,0.945,0.826,0,0,mt-Nd4,0.8676981118710516
0,0.7495833882137997,0.961,0.873,0,0,mt-Nd2,0.8251427675526476
0,0.7153861251082891,0.929,0.779,0,0,mt-Cytb,0.8531369836015412
0,0.6889428240760802,0.987,0.964,0,0,mt-Co1,0.7053802566007169
0,-0.8059079018426596,1,1,0,0,Malat1,-0.8059079018426596
0,-0.8660211151600441,0.978,0.999,0,0,Meg3,-0.8478164670936168
0,-0.8940213888170296,0.938,0.993,0,0,Snhg11,-0.8445035878251498
3.979590654221278e-307,-0.8169771446843975,0.505,0.857,8.662772936108878e-303,0,Ube3a,-0.4814159370660685
2.3502390340900365e-306,0.6869638926556014,0.986,0.949,5.116000329407191e-302,0,mt-Co2,0.7137475217686228
1.8284257289566763e-297,0.646150589816624,0.994,0.986,3.980117126792893e-293,0,AY036118,0.6513931909510389
2.32007896859109e-275,0.6567951520932913,0.934,0.792,5.050347898829084e-271,0,Calm1,0.7745538788574925
4.044474908009923e-273,0.6978547503450989,0.918,0.749,8.804012979756e-269,0,Hsp90ab1,0.8553146339343135
8.932650878716208e-272,0.6784042822565377,0.958,0.897,1.944459443278944e-267,0,Camk1d,0.7245387986641729
1.8941256056396103e-271,0.5986199635756471,0.999,0.994,4.123132618356303e-267,0,mt-Co3,0.601631130394438
5.371895438533713e-268,0.6533213991278632,0.991,0.972,1.1693541990600187e-263,0,mt-Atp6,0.6660920849132844
2.643841857480469e-266,0.6965693463647207,0.879,0.665,5.755114955363485e-262,0,Hsp90aa1,0.9207285044429916
1.5240778776049175e-265,0.6588025038763601,0.944,0.819,3.3176127239703844e-261,0,Fth1,0.7593523365803222
5.635202245151811e-256,-0.8380222116070479,0.866,0.966,1.2266708247246464e-251,0,Lsamp,-0.751270429867188
1.4192876429222698e-254,-0.7358152723999294,0.637,0.918,3.089505341113197e-250,0,Dlg2,-0.5105820572099727
7.0655343450628415e-252,0.6605683716761568,0.894,0.697,1.5380255162332794e-247,0,Rps8,0.8472713404282414
2.5312270745369135e-244,-0.6631571246479258,0.585,0.898,5.509975095851953e-240,0,Fgf14,-0.4320121580390162
1.3289325982130114e-243,0.6426979298324169,0.938,0.798,2.8928204797900833e-239,0,Cst3,0.7554519526100338
9.942265670044087e-237,-0.7484674153057914,0.192,0.591,2.164232391055197e-232,0,Nrg3os,-0.24315692679985104
1.0498590417664083e-234,0.6370142436999333,0.927,0.799,2.285333162117118e-230,0,Apoe,0.7390640849935397
8.306736778333545e-232,-1.3331973235444596,0.613,0.835,1.8082104619076462e-227,0,Kcnip4,-0.978742466266771
8.684462003577332e-222,-0.7280573117779245,0.612,0.886,1.8904336889387138e-217,0,Nrg3,-0.5029018903025844
1.1462478072286888e-221,0.6099653281857214,0.9,0.733,2.4951522267754097e-217,0,Cox4i1,0.7489342365172569
5.087991342801952e-220,0.6884643436575859,0.915,0.804,1.107553955501129e-215,0,Cmss1,0.7835135254312079
1.1368440935634584e-218,-0.7219738007483636,0.215,0.589,2.4746822228689362e-214,0,Gm20642,-0.26353882370271337
7.878469787585536e-217,-0.5975439528152824,0.736,0.938,1.7149853033616194e-212,0,Nrxn1,-0.4688617796077269
1.6221055485989813e-209,-0.7191473540706488,0.555,0.848,3.5309993581902626e-205,0,Nlgn1,-0.4706683744212383
2.3974300418517915e-209,0.6064698095453991,0.863,0.671,5.21872571510298e-205,0,Rpl13,0.7800051350785087
2.3698766733828934e-205,0.5903451666094319,0.844,0.618,5.158747542619883e-201,0,Rplp1,0.8062319103856966
4.989916854171176e-204,-0.6159014962671154,0.562,0.871,1.0862051008159816e-199,0,Fam155a,-0.3974014246867037
1.359003447033941e-203,-0.6044597433008071,0.374,0.74,2.9582787035034823e-199,0,Ccser1,-0.30549722161419174
3.144491376718601e-203,-0.8537756002633645,0.76,0.887,6.84492882884105e-199,0,Nrxn3,-0.7315326450960057
1.1414049017912813e-202,-0.6233658051647339,0.513,0.833,2.4846101902192612e-198,0,Adgrb3,-0.3838975486788818
8.978110204852265e-199,-0.5445229214802685,0.324,0.702,1.954355029392241e-194,0,Ptprn2,-0.25131827145243163
7.237776992119611e-198,-0.808559167514661,0.272,0.624,1.575519295644597e-193,0,Ctnna3,-0.35244886789100605
7.493270195108287e-197,0.6014949871185673,0.831,0.627,1.6311350560711719e-192,0,mt-Nd1,0.7971967054155173
1.5964820949241172e-195,-0.5727288408841913,0.284,0.639,3.4752222242308184e-191,0,Fgfr2,-0.254546151504085
1.0745963951656657e-191,0.5760977373679732,0.85,0.655,2.339181432996621e-187,0,Pcsk1n,0.747607750782866
2.014781738739261e-191,-0.5768566768424788,0.512,0.846,4.385776888887623e-187,0,Magi2,-0.34911420631601553
5.117369886161694e-190,0.5931680872872158,0.843,0.659,1.1139490768196777e-185,0,Tmsb4x,0.758787098001704
1.653817382947001e-188,0.5751815525841777,0.791,0.563,3.6000296791990313e-184,0,Hspa8,0.8081147568278589
1.4546483107445694e-184,0.5798274505006495,0.837,0.648,3.1664784428287786e-180,0,Chchd2,0.7489437902300056
5.492668814276297e-183,1.1778729303221398,0.892,0.77,1.1956441474916644e-178,0,Oxt,1.3644969530485047
1.0887221674037367e-180,-0.5915595753302854,0.543,0.851,2.369930414004454e-176,0,Ctnna2,-0.377458107408161
1.3486638215344017e-179,-0.5450949381408482,0.434,0.765,2.935771406716086e-175,0,Macrod2,-0.30924340281454654
9.693251960275353e-179,-0.6742833390278038,0.503,0.806,2.1100270867127388e-174,0,Csmd1,-0.42079965202355496
1.4120930795393e-178,-0.5026338280733371,0.465,0.812,3.0738442155411482e-174,0,Frmd4a,-0.28783833750505144
2.4337189351276713e-177,0.567448095128274,0.822,0.61,5.297719377985915e-173,0,Atp6v0c,0.7646595642548216
3.569326305015914e-176,-0.5165291757310748,0.203,0.549,7.769709500758642e-172,0,5330438D12Rik,-0.19099348392241927
3.2945066980268625e-169,0.5467609481147002,0.819,0.64,7.171482180264874e-165,0,Ppia,0.6996831507905303
3.219078908308001e-168,-0.5382566753240707,0.509,0.824,7.007290967604856e-164,0,Mdga2,-0.33249107735431066
1.3502002907711822e-167,-0.608260432957942,0.482,0.776,2.9391159929507093e-163,0,Negr1,-0.37781124830635054
3.4971357243468773e-165,-0.5557183105738741,0.4,0.725,7.612565044758282e-161,0,Csmd3,-0.3066032058338616
1.863978361523488e-164,-0.5022701866382903,0.401,0.711,4.0575080973643284e-160,0,Strbp,-0.28327755955267847
2.4628484765970747e-163,-0.6124606829007935,0.556,0.822,5.361128563856512e-159,0,Lingo2,-0.4142678098453056
5.479827960169182e-163,-0.6822235738870761,0.497,0.775,1.1928489503696274e-158,0,Asic2,-0.4375033757701636
3.113444782304023e-160,0.5306907887576423,0.783,0.573,6.777346602119397e-156,0,Nap1l5,0.7251847951086107
1.1056153169756811e-156,-0.48617556722681887,0.357,0.684,2.4067034219926624e-152,0,Nav3,-0.2537495285087344
6.298799558818551e-156,-0.47101293336987815,0.301,0.627,1.3711226879636223e-151,0,A230057D06Rik,-0.2261162566895268
6.691631214995745e-156,0.5250675385151178,0.807,0.608,1.4566342828802738e-151,0,Slc25a4,0.6969235256277962
1.3373124597198337e-155,-0.5065519955707721,0.286,0.606,2.911061762318134e-151,0,Lrrc7,-0.2390657932891763
1.429958701180365e-152,-0.4529220958654838,0.564,0.851,3.1127341007294185e-148,0,Ank3,-0.3001739859790045
2.19462348224274e-152,-0.4927333780088362,0.453,0.755,4.7772563961459965e-148,0,Fgf12,-0.2956400268053017
8.713326714146968e-152,0.5195682774983083,0.801,0.589,1.896716959135512e-147,0,Fau,0.7065775726250338
2.190888935466179e-151,-0.6126956861872959,0.658,0.88,4.7691270347227785e-147,0,Cntnap2,-0.4581292744445917
1.535616704105159e-148,-0.4815238215927591,0.376,0.681,3.34273044149611e-144,0,Gabrb3,-0.2658633728617877
3.1893162696489305e-148,-0.46108644580807445,0.146,0.446,6.942503655771792e-144,0,Gm20275,-0.15093861230488537
8.82910120568351e-148,-0.5604456275705072,0.478,0.77,1.9219187504531865e-143,0,Grid2,-0.3479129999723408
1.380299614449572e-147,-0.6351531507992065,0.583,0.821,3.0046362007338283e-143,0,Ptprd,-0.4510283640876217
1.9715324223682204e-147,-0.5432089370839277,0.413,0.701,4.291631777011142e-143,0,Il1rapl1,-0.32003607848168636
1.8743940508973335e-146,-0.48502071590965523,0.35,0.669,4.080180969993316e-142,0,Xkr4,-0.253747758697129
4.230435150860805e-146,0.5035788313303194,0.812,0.622,9.2088112363938e-142,0,Stmn3,0.6574051624440826
5.009685182443086e-145,0.5169519501074311,0.777,0.576,1.090508270514211e-140,0,Cox8a,0.6973466410303368
3.7735466532402024e-143,-0.49842172074190594,0.353,0.66,8.214256354773273e-139,0,Lrfn5,-0.266580102154383
2.307648686208436e-142,-0.45991573526236684,0.431,0.743,5.023289660138524e-138,0,Ctnnd2,-0.2667882663500405
2.4205092407601975e-142,-0.5767701484633644,0.309,0.606,5.268964515286798e-138,0,Gabrg3,-0.2940956697610224
3.396735248245713e-142,0.48716540150147525,0.773,0.552,7.394013288381267e-138,0,Rpl19,0.6822080713055079
4.259310947948921e-142,-0.48180016713127705,0.454,0.748,9.271668071495211e-138,0,Anks1b,-0.29242951320534727
1.0224091065361573e-141,-0.4700133678180147,0.341,0.652,2.2255801431079073e-137,0,Agbl4,-0.24581987488641566
4.011818886379342e-141,0.47539420469410265,0.883,0.788,8.732927351870551e-137,0,Rtn1,0.5327069577980871
9.325900314010555e-141,-0.46556822033357625,0.346,0.661,2.0300619803538176e-136,0,Dscam,-0.24370136798096423
1.916659946747417e-140,-0.5253315557938473,0.42,0.712,4.172185372079778e-136,0,Grik2,-0.309886591900865
2.3911130225401064e-140,-0.46359426089692396,0.227,0.531,5.204974827465303e-136,0,Sybu,-0.1981843638862556
1.2605678687352063e-139,-0.6995385651571475,0.161,0.446,2.744004136662797e-135,0,4930555F03Rik,-0.25252401118901513
8.378564198202384e-139,0.4863142477932153,0.776,0.562,1.823845854664695e-134,0,Actb,0.6714944062055784
3.55614704089716e-138,-0.4457985366088469,0.133,0.423,7.741020878624937e-134,0,Gm36975,-0.14016833420561853
2.0115375800709806e-137,-0.44584778971495753,0.365,0.668,4.378715004298511e-133,0,Rims2,-0.24361443599694532
7.313286659954732e-136,-0.46760629698882616,0.291,0.598,1.591956240138946e-131,0,Sntg1,-0.22754754585911108
9.150852231125746e-135,-0.6090642565077524,0.369,0.655,1.9919575136714525e-130,0,Robo1,-0.34312169565093226
1.0443851722965227e-134,-0.42753723070920124,0.365,0.666,2.2734176430550705e-130,0,Erc2,-0.2343109447580457
2.831172639800522e-134,-0.43783320243302126,0.334,0.64,6.162896602317776e-130,0,Rims1,-0.22849420251973296
9.504349929730843e-134,-0.4706795202548155,0.402,0.682,2.0689068927038097e-129,0,Gria4,-0.2774386614991728
