"","Sex","Status","seurat_clusters","parent_id.broad","mean_prop","mean_cluster_prop","prop_in_cluster"
"sexFemale.statusDom.cluster0.n_typeGLU","Female","Dom","0","C7-1: GLU",0.0622984950621332,0.225925480131301,0.275747981263235
"sexFemale.statusDom.cluster0.n_typeGABA","Female","Dom","0","C7-2: GABA",0.163626985069168,0.225925480131301,0.724252018736765
"sexFemale.statusDom.cluster1.n_typeGLU","Female","Dom","1","C7-1: GLU",0.00580501092610795,0.188190721936744,0.0308464246609308
"sexFemale.statusDom.cluster1.n_typeGABA","Female","Dom","1","C7-2: GABA",0.182385711010636,0.188190721936744,0.969153575339069
"sexFemale.statusDom.cluster2.n_typeGLU","Female","Dom","2","C7-1: GLU",0.109374875283407,0.181908104365425,0.601264444291554
"sexFemale.statusDom.cluster2.n_typeGABA","Female","Dom","2","C7-2: GABA",0.0725332290820176,0.181908104365425,0.398735555708445
"sexFemale.statusDom.cluster3.n_typeGLU","Female","Dom","3","C7-1: GLU",0.0016996137912202,0.0787100279025155,0.0215933577526515
"sexFemale.statusDom.cluster3.n_typeGABA","Female","Dom","3","C7-2: GABA",0.0770104141112953,0.0787100279025155,0.978406642247349
"sexFemale.statusDom.cluster4.n_typeGLU","Female","Dom","4","C7-1: GLU",0.0035682539985692,0.0813672288043646,0.0438536994684744
"sexFemale.statusDom.cluster4.n_typeGABA","Female","Dom","4","C7-2: GABA",0.0789883928053185,0.0813672288043646,0.97076420035435
"sexFemale.statusDom.cluster5.n_typeGLU","Female","Dom","5","C7-1: GLU",0.00507507712805663,0.0571263054413558,0.0888395825503988
"sexFemale.statusDom.cluster5.n_typeGABA","Female","Dom","5","C7-2: GABA",0.0520512283132992,0.0571263054413558,0.911160417449601
"sexFemale.statusDom.cluster6.n_typeGLU","Female","Dom","6","C7-1: GLU",0.0394138940487647,0.0527573313100399,0.747078994901021
"sexFemale.statusDom.cluster6.n_typeGABA","Female","Dom","6","C7-2: GABA",0.0133434372612751,0.0527573313100399,0.252921005098979
"sexFemale.statusDom.cluster7.n_typeGLU","Female","Dom","7","C7-1: GLU",0.0195656425069692,0.035332261159481,0.553761402890544
"sexFemale.statusDom.cluster7.n_typeGABA","Female","Dom","7","C7-2: GABA",0.0157666186525117,0.035332261159481,0.446238597109456
"sexFemale.statusDom.cluster8.n_typeGLU","Female","Dom","8","C7-1: GLU",0.00267300739990944,0.0203293779228596,0.131484957879786
"sexFemale.statusDom.cluster8.n_typeGABA","Female","Dom","8","C7-2: GABA",0.0185473729895866,0.0203293779228596,0.912343361413476
"sexFemale.statusDom.cluster9.n_typeGLU","Female","Dom","9","C7-1: GLU",0.00267141585040071,0.0292145773106146,0.0914411946473756
"sexFemale.statusDom.cluster9.n_typeGABA","Female","Dom","9","C7-2: GABA",0.028324105360481,0.0292145773106146,0.969519601784208
"sexFemale.statusDom.cluster10.n_typeGABA","Female","Dom","10","C7-2: GABA",0.0294625416886499,0.0294625416886499,1
"sexFemale.statusDom.cluster11.n_typeGLU","Female","Dom","11","C7-1: GLU",0.00242424242424242,0.0162984566238012,0.148740612697169
"sexFemale.statusDom.cluster11.n_typeGABA","Female","Dom","11","C7-2: GABA",0.0154903758157204,0.0162984566238012,0.95041979576761
"sexFemale.statusDom.cluster12.n_typeGABA","Female","Dom","12","C7-2: GABA",0.00337758540284807,0.00337758540284807,1
"sexFemale.statusSub.cluster0.n_typeGLU","Female","Sub","0","C7-1: GLU",0.105245806117529,0.348996393998711,0.301567030282604
"sexFemale.statusSub.cluster0.n_typeGABA","Female","Sub","0","C7-2: GABA",0.243750587881182,0.348996393998711,0.698432969717396
"sexFemale.statusSub.cluster1.n_typeGLU","Female","Sub","1","C7-1: GLU",0.0116219365408461,0.163259431099335,0.0711869229396903
"sexFemale.statusSub.cluster1.n_typeGABA","Female","Sub","1","C7-2: GABA",0.151637494558489,0.163259431099335,0.92881307706031
"sexFemale.statusSub.cluster2.n_typeGLU","Female","Sub","2","C7-1: GLU",0.0488433138643588,0.107146762206229,0.455854314760801
"sexFemale.statusSub.cluster2.n_typeGABA","Female","Sub","2","C7-2: GABA",0.0583034483418698,0.107146762206229,0.544145685239199
"sexFemale.statusSub.cluster3.n_typeGLU","Female","Sub","3","C7-1: GLU",0.0048237280561488,0.0489957339215941,0.0984520012266379
"sexFemale.statusSub.cluster3.n_typeGABA","Female","Sub","3","C7-2: GABA",0.0441720058654453,0.0489957339215941,0.901547998773362
"sexFemale.statusSub.cluster4.n_typeGLU","Female","Sub","4","C7-1: GLU",0.00703848480617991,0.0911902972624292,0.077184580130542
"sexFemale.statusSub.cluster4.n_typeGABA","Female","Sub","4","C7-2: GABA",0.0864979740583092,0.0911902972624292,0.948543613246305
"sexFemale.statusSub.cluster5.n_typeGLU","Female","Sub","5","C7-1: GLU",0.00613253721432275,0.0331590647235316,0.184943009263188
"sexFemale.statusSub.cluster5.n_typeGABA","Female","Sub","5","C7-2: GABA",0.0270265275092089,0.0331590647235316,0.815056990736812
"sexFemale.statusSub.cluster6.n_typeGLU","Female","Sub","6","C7-1: GLU",0.0207663066276033,0.0420451053796615,0.493905448448432
"sexFemale.statusSub.cluster6.n_typeGABA","Female","Sub","6","C7-2: GABA",0.0212787987520582,0.0420451053796615,0.506094551551568
"sexFemale.statusSub.cluster7.n_typeGLU","Female","Sub","7","C7-1: GLU",0.0230906939357725,0.0583026892531854,0.39604852248751
"sexFemale.statusSub.cluster7.n_typeGABA","Female","Sub","7","C7-2: GABA",0.0352119953174129,0.0583026892531854,0.60395147751249
"sexFemale.statusSub.cluster8.n_typeGLU","Female","Sub","8","C7-1: GLU",0.00239008973418364,0.014296230728636,0.167183209305386
"sexFemale.statusSub.cluster8.n_typeGABA","Female","Sub","8","C7-2: GABA",0.0127028375725136,0.014296230728636,0.888544527129743
"sexFemale.statusSub.cluster9.n_typeGLU","Female","Sub","9","C7-1: GLU",0.00322415080253826,0.0231966033091646,0.138992367096455
"sexFemale.statusSub.cluster9.n_typeGABA","Female","Sub","9","C7-2: GABA",0.0210471694408058,0.0231966033091646,0.907338421935696
"sexFemale.statusSub.cluster10.n_typeGLU","Female","Sub","10","C7-1: GLU",0.0026525198938992,0.0400033383400183,0.0663074634260135
"sexFemale.statusSub.cluster10.n_typeGABA","Female","Sub","10","C7-2: GABA",0.0391191650420519,0.0400033383400183,0.977897512191329
"sexFemale.statusSub.cluster11.n_typeGLU","Female","Sub","11","C7-1: GLU",0.00242275117501978,0.0286773556254577,0.084483074613373
"sexFemale.statusSub.cluster11.n_typeGABA","Female","Sub","11","C7-2: GABA",0.0270621881754445,0.0286773556254577,0.943677950257751
