term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.genes,EffectType
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,500,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,0,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,924,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,5,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,119,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,4,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,149,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,91,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,132,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,220,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,26,1123,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,518,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,4,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,0,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,913,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,1,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,94,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,135,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,81,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,134,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,216,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,29,1119,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,367,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,1,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,0,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,664,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,2,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,63,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,5,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,94,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,96,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,185,825,Female,Dom,Ar,MER
Sex,Male - Female,-0.03913758039390591,0.0025771364816527995,-15.186460116697328,4.347729896665806e-52,170.61999861862694,-0.04418867508118967,-0.034086485706622156,0.1592489946750504,22,825,Female,Dom,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,220,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,1,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,0,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,368,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,2,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,21,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,36,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,22,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,33,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,46,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,12,377,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,244,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,2,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,0,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,440,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,1,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,41,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,51,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,39,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,61,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,18,456,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,253,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,2,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,0,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,458,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,37,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,4,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,52,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,33,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,47,470,Female,Sub,Ar,MER
Sex,Male - Female,0.016981851228349387,0.0037832478500471316,4.488696459085499,7.16603191539647e-6,17.090394100422234,0.00956682169766842,0.024396880759030355,0.17287029930928627,82,470,Female,Sub,Ar,MER
