Predictor,Estimate,Std.error,z.value,p.value,gene,p.adjust.fdr,lwr,upr
SexMale,0.33705084108361505,0.02860735278230239,11.781965414574385,0,Esr1,0,0.26869718120282143,0.40540450096440867
StatusSub,0.4770748780036195,0.03445669568402928,13.845636342452426,0,Esr1,0,0.39474495131221343,0.5594048046950255
SexMale:StatusSub,0.0036770040331614265,0.043008030759963393,0.08549575435535603,0.9998996272072556,Esr1,0.9999,-0.0990852588396163,0.10643926690593916
SexMale,0.33705084108361505,0.02860735278230239,11.781965414574385,0,Ar,0,0.26884535967006457,0.40525632249716553
StatusSub,0.4770748780036195,0.03445669568402928,13.845636342452426,0,Ar,0,0.39492342781759215,0.5592263281896468
SexMale:StatusSub,0.0036770040331614265,0.043008030759963393,0.08549575435535603,0.9998996268144481,Ar,0.9999,-0.09886248869637188,0.10621649676269473
SexMale,0.33705084108361505,0.02860735278230239,11.781965414574385,0,Pgr,0,0.2687648708912524,0.4053368112759777
StatusSub,0.4770748780036195,0.03445669568402928,13.845636342452426,0,Pgr,0,0.3948264815052712,0.5593232745019677
SexMale:StatusSub,0.0036770040331614265,0.043008030759963393,0.08549575435535603,0.999899625376496,Pgr,0.9999,-0.09898349478530742,0.10633750285163028
SexMale,0.33705084108361505,0.02860735278230239,11.781965414574385,0,Nr3c1,0,0.26883328588700983,0.40526839628022027
StatusSub,0.4770748780036195,0.03445669568402928,13.845636342452426,0,Nr3c1,0,0.39490888530918056,0.5592408706980584
SexMale:StatusSub,0.0036770040331614265,0.043008030759963393,0.08549575435535603,0.9998996273768318,Nr3c1,0.9999,-0.09888064031064245,0.10623464837696531
SexMale,0.33705084108361505,0.02860735278230239,11.781965414574385,0,Nr3c2,0,0.2687117386272597,0.4053899435399704
StatusSub,0.4770748780036195,0.03445669568402928,13.845636342452426,0,Nr3c2,0,0.39476248529194347,0.5593872707152955
SexMale:StatusSub,0.0036770040331614265,0.043008030759963393,0.08549575435535603,0.9998996249171006,Nr3c2,0.9999,-0.0990633733417587,0.10641738140808156
