contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.genes
female.dom.data - female.sub.data,-0.4770748780036173,0.034456695684029266,-13.84563634245237,0,Esr1
female.dom.data - male.dom.data,-0.33705084108361444,0.028607352782302385,-11.781965414574366,0,Esr1
female.dom.data - male.sub.data,-0.8178027231203956,0.027504224806026344,-29.733712870948104,0,Esr1
female.sub.data - male.dom.data,0.14002403692000287,0.03306370105825302,4.234977707828371,1e-4,Esr1
female.sub.data - male.sub.data,-0.3407278451167783,0.03211401682503845,-10.609941664199471,0,Esr1
male.dom.data - male.sub.data,-0.48075188203678115,0.025737653979882376,-18.67893174772483,0,Esr1
female.dom.data - female.sub.data,-0.4770748780036173,0.034456695684029266,-13.84563634245237,0,Ar
female.dom.data - male.dom.data,-0.33705084108361444,0.028607352782302385,-11.781965414574366,0,Ar
female.dom.data - male.sub.data,-0.8178027231203956,0.027504224806026344,-29.733712870948104,0,Ar
female.sub.data - male.dom.data,0.14002403692000287,0.03306370105825302,4.234977707828371,1e-4,Ar
female.sub.data - male.sub.data,-0.3407278451167783,0.03211401682503845,-10.609941664199471,0,Ar
male.dom.data - male.sub.data,-0.48075188203678115,0.025737653979882376,-18.67893174772483,0,Ar
female.dom.data - female.sub.data,-0.4770748780036173,0.034456695684029266,-13.84563634245237,0,Pgr
female.dom.data - male.dom.data,-0.33705084108361444,0.028607352782302385,-11.781965414574366,0,Pgr
female.dom.data - male.sub.data,-0.8178027231203956,0.027504224806026344,-29.733712870948104,0,Pgr
female.sub.data - male.dom.data,0.14002403692000287,0.03306370105825302,4.234977707828371,1e-4,Pgr
female.sub.data - male.sub.data,-0.3407278451167783,0.03211401682503845,-10.609941664199471,0,Pgr
male.dom.data - male.sub.data,-0.48075188203678115,0.025737653979882376,-18.67893174772483,0,Pgr
female.dom.data - female.sub.data,-0.4770748780036173,0.034456695684029266,-13.84563634245237,0,Nr3c1
female.dom.data - male.dom.data,-0.33705084108361444,0.028607352782302385,-11.781965414574366,0,Nr3c1
female.dom.data - male.sub.data,-0.8178027231203956,0.027504224806026344,-29.733712870948104,0,Nr3c1
female.sub.data - male.dom.data,0.14002403692000287,0.03306370105825302,4.234977707828371,1e-4,Nr3c1
female.sub.data - male.sub.data,-0.3407278451167783,0.03211401682503845,-10.609941664199471,0,Nr3c1
male.dom.data - male.sub.data,-0.48075188203678115,0.025737653979882376,-18.67893174772483,0,Nr3c1
female.dom.data - female.sub.data,-0.4770748780036173,0.034456695684029266,-13.84563634245237,0,Nr3c2
female.dom.data - male.dom.data,-0.33705084108361444,0.028607352782302385,-11.781965414574366,0,Nr3c2
female.dom.data - male.sub.data,-0.8178027231203956,0.027504224806026344,-29.733712870948104,0,Nr3c2
female.sub.data - male.dom.data,0.14002403692000287,0.03306370105825302,4.234977707828371,1e-4,Nr3c2
female.sub.data - male.sub.data,-0.3407278451167783,0.03211401682503845,-10.609941664199471,0,Nr3c2
male.dom.data - male.sub.data,-0.48075188203678115,0.025737653979882376,-18.67893174772483,0,Nr3c2
