term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.008586653415411963,0.0019402871010483162,4.425455083823774,9.623918058450681e-6,16.664944210389788,0.0047837605776896355,0.01238954625313429,0.0013042060661705675,2,1123,Female,Dom,Agt,MER
Sex,Male - Female,0.008586653415411963,0.0019402871010483162,4.425455083823774,9.623918058450681e-6,16.664944210389788,0.0047837605776896355,0.01238954625313429,0.0013042060661705675,2,1119,Female,Dom,Agt,MER
Sex,Male - Female,0.008586653415411963,0.0019402871010483162,4.425455083823774,9.623918058450681e-6,16.664944210389788,0.0047837605776896355,0.01238954625313429,0.0013042060661705675,0,825,Female,Dom,Agt,MER
Sex,Male - Female,-0.0019514519842386661,0.003147734245032789,-0.6199544918120425,0.5352877484917562,0.9016134618355343,-0.008120897737406308,0.004217993768928976,0.009209516500383872,2,377,Female,Sub,Agt,MER
Sex,Male - Female,-0.0019514519842386661,0.003147734245032789,-0.6199544918120425,0.5352877484917562,0.9016134618355343,-0.008120897737406308,0.004217993768928976,0.009209516500383872,5,456,Female,Sub,Agt,MER
Sex,Male - Female,-0.0019514519842386661,0.003147734245032789,-0.6199544918120425,0.5352877484917562,0.9016134618355343,-0.008120897737406308,0.004217993768928976,0.009209516500383872,5,470,Female,Sub,Agt,MER
Sex,Male - Female,0.008586653415411963,0.0019402871010483162,4.425455083823774,9.623918058450681e-6,16.664944210389788,0.0047837605776896355,0.01238954625313429,0.009890859481582531,8,767,Male,Dom,Agt,MER
Sex,Male - Female,0.008586653415411963,0.0019402871010483162,4.425455083823774,9.623918058450681e-6,16.664944210389788,0.0047837605776896355,0.01238954625313429,0.009890859481582531,11,1261,Male,Dom,Agt,MER
Sex,Male - Female,0.008586653415411963,0.0019402871010483162,4.425455083823774,9.623918058450681e-6,16.664944210389788,0.0047837605776896355,0.01238954625313429,0.009890859481582531,10,904,Male,Dom,Agt,MER
Sex,Male - Female,-0.0019514519842386661,0.003147734245032789,-0.6199544918120425,0.5352877484917562,0.9016134618355343,-0.008120897737406308,0.004217993768928976,0.007258064516145206,4,864,Male,Sub,Agt,MER
Sex,Male - Female,-0.0019514519842386661,0.003147734245032789,-0.6199544918120425,0.5352877484917562,0.9016134618355343,-0.008120897737406308,0.004217993768928976,0.007258064516145206,10,911,Male,Sub,Agt,MER
Sex,Male - Female,-0.0019514519842386661,0.003147734245032789,-0.6199544918120425,0.5352877484917562,0.9016134618355343,-0.008120897737406308,0.004217993768928976,0.007258064516145206,4,705,Male,Sub,Agt,MER
Status,Sub - Dom,0.007905310434213305,0.0027253444303106727,2.900664718298431,0.003723720709382341,8.069039414316194,0.002563733505337556,0.013246887363089054,0.0013042060661705675,2,1123,Female,Dom,Agt,MER
Status,Sub - Dom,0.007905310434213305,0.0027253444303106727,2.900664718298431,0.003723720709382341,8.069039414316194,0.002563733505337556,0.013246887363089054,0.0013042060661705675,2,1119,Female,Dom,Agt,MER
Status,Sub - Dom,0.007905310434213305,0.0027253444303106727,2.900664718298431,0.003723720709382341,8.069039414316194,0.002563733505337556,0.013246887363089054,0.0013042060661705675,0,825,Female,Dom,Agt,MER
Status,Sub - Dom,0.007905310434213305,0.0027253444303106727,2.900664718298431,0.003723720709382341,8.069039414316194,0.002563733505337556,0.013246887363089054,0.009209516500383872,2,377,Female,Sub,Agt,MER
Status,Sub - Dom,0.007905310434213305,0.0027253444303106727,2.900664718298431,0.003723720709382341,8.069039414316194,0.002563733505337556,0.013246887363089054,0.009209516500383872,5,456,Female,Sub,Agt,MER
Status,Sub - Dom,0.007905310434213305,0.0027253444303106727,2.900664718298431,0.003723720709382341,8.069039414316194,0.002563733505337556,0.013246887363089054,0.009209516500383872,5,470,Female,Sub,Agt,MER
Status,Sub - Dom,-0.0026327949654373246,0.0024990883802514952,-1.0535021435185794,0.2921109123925187,1.7754118409294224,-0.007530918184912794,0.0022653282540381443,0.009890859481582531,8,767,Male,Dom,Agt,MER
Status,Sub - Dom,-0.0026327949654373246,0.0024990883802514952,-1.0535021435185794,0.2921109123925187,1.7754118409294224,-0.007530918184912794,0.0022653282540381443,0.009890859481582531,11,1261,Male,Dom,Agt,MER
Status,Sub - Dom,-0.0026327949654373246,0.0024990883802514952,-1.0535021435185794,0.2921109123925187,1.7754118409294224,-0.007530918184912794,0.0022653282540381443,0.009890859481582531,10,904,Male,Dom,Agt,MER
Status,Sub - Dom,-0.0026327949654373246,0.0024990883802514952,-1.0535021435185794,0.2921109123925187,1.7754118409294224,-0.007530918184912794,0.0022653282540381443,0.007258064516145206,4,864,Male,Sub,Agt,MER
Status,Sub - Dom,-0.0026327949654373246,0.0024990883802514952,-1.0535021435185794,0.2921109123925187,1.7754118409294224,-0.007530918184912794,0.0022653282540381443,0.007258064516145206,10,911,Male,Sub,Agt,MER
Status,Sub - Dom,-0.0026327949654373246,0.0024990883802514952,-1.0535021435185794,0.2921109123925187,1.7754118409294224,-0.007530918184912794,0.0022653282540381443,0.007258064516145206,4,705,Male,Sub,Agt,MER
