term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,3.410641196804653e-4,3.410062050356034e-4,1.0001698345778074,0.31722832485058444,1.65640650197577,-3.272957606939984e-4,0.001009424000054929,3.7410381553896905e-13,0,1123,Female,Dom,Apln,MER
Sex,Male - Female,3.410641196804653e-4,3.410062050356034e-4,1.0001698345778074,0.31722832485058444,1.65640650197577,-3.272957606939984e-4,0.001009424000054929,3.7410381553896905e-13,0,1119,Female,Dom,Apln,MER
Sex,Male - Female,3.410641196804653e-4,3.410062050356034e-4,1.0001698345778074,0.31722832485058444,1.65640650197577,-3.272957606939984e-4,0.001009424000054929,3.7410381553896905e-13,0,825,Female,Dom,Apln,MER
Sex,Male - Female,-4.136903623765839e-13,1.7753242869702882e-8,-2.330224204179478e-5,0.9999814075008444,2.682355568874244e-5,-3.479613032377253e-8,3.479530294304778e-8,8.743183734742382e-13,0,377,Female,Sub,Apln,MER
Sex,Male - Female,-4.136903623765839e-13,1.7753242869702882e-8,-2.330224204179478e-5,0.9999814075008444,2.682355568874244e-5,-3.479613032377253e-8,3.479530294304778e-8,8.743183734742382e-13,0,456,Female,Sub,Apln,MER
Sex,Male - Female,-4.136903623765839e-13,1.7753242869702882e-8,-2.330224204179478e-5,0.9999814075008444,2.682355568874244e-5,-3.479613032377253e-8,3.479530294304778e-8,8.743183734742382e-13,0,470,Female,Sub,Apln,MER
Sex,Male - Female,3.410641196804653e-4,3.410062050356034e-4,1.0001698345778074,0.31722832485058444,1.65640650197577,-3.272957606939984e-4,0.001009424000054929,3.410641200545691e-4,0,767,Male,Dom,Apln,MER
Sex,Male - Female,3.410641196804653e-4,3.410062050356034e-4,1.0001698345778074,0.31722832485058444,1.65640650197577,-3.272957606939984e-4,0.001009424000054929,3.410641200545691e-4,0,1261,Male,Dom,Apln,MER
Sex,Male - Female,3.410641196804653e-4,3.410062050356034e-4,1.0001698345778074,0.31722832485058444,1.65640650197577,-3.272957606939984e-4,0.001009424000054929,3.410641200545691e-4,1,904,Male,Dom,Apln,MER
Sex,Male - Female,-4.136903623765839e-13,1.7753242869702882e-8,-2.330224204179478e-5,0.9999814075008444,2.682355568874244e-5,-3.479613032377253e-8,3.479530294304778e-8,4.606280110976543e-13,0,864,Male,Sub,Apln,MER
Sex,Male - Female,-4.136903623765839e-13,1.7753242869702882e-8,-2.330224204179478e-5,0.9999814075008444,2.682355568874244e-5,-3.479613032377253e-8,3.479530294304778e-8,4.606280110976543e-13,0,911,Male,Sub,Apln,MER
Sex,Male - Female,-4.136903623765839e-13,1.7753242869702882e-8,-2.330224204179478e-5,0.9999814075008444,2.682355568874244e-5,-3.479613032377253e-8,3.479530294304778e-8,4.606280110976543e-13,0,705,Male,Sub,Apln,MER
Status,Sub - Dom,5.002145579352692e-13,1.7079856896387246e-8,2.9286812001397694e-5,0.9999766325048723,3.371256322928098e-5,-3.3475404163459125e-8,3.347640459257499e-8,3.7410381553896905e-13,0,1123,Female,Dom,Apln,MER
Status,Sub - Dom,5.002145579352692e-13,1.7079856896387246e-8,2.9286812001397694e-5,0.9999766325048723,3.371256322928098e-5,-3.3475404163459125e-8,3.347640459257499e-8,3.7410381553896905e-13,0,1119,Female,Dom,Apln,MER
Status,Sub - Dom,5.002145579352692e-13,1.7079856896387246e-8,2.9286812001397694e-5,0.9999766325048723,3.371256322928098e-5,-3.3475404163459125e-8,3.347640459257499e-8,3.7410381553896905e-13,0,825,Female,Dom,Apln,MER
Status,Sub - Dom,5.002145579352692e-13,1.7079856896387246e-8,2.9286812001397694e-5,0.9999766325048723,3.371256322928098e-5,-3.3475404163459125e-8,3.347640459257499e-8,8.743183734742382e-13,0,377,Female,Sub,Apln,MER
Status,Sub - Dom,5.002145579352692e-13,1.7079856896387246e-8,2.9286812001397694e-5,0.9999766325048723,3.371256322928098e-5,-3.3475404163459125e-8,3.347640459257499e-8,8.743183734742382e-13,0,456,Female,Sub,Apln,MER
