term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,-0.015763011701824384,0.008500335583036402,-1.854398752595328,0.06368213314638538,3.972967527445797,-0.032423363301080005,8.973398974312409e-4,0.13172481252037826,125,1123,Female,Dom,Avp,MER
Sex,Male - Female,-0.015763011701824384,0.008500335583036402,-1.854398752595328,0.06368213314638538,3.972967527445797,-0.032423363301080005,8.973398974312409e-4,0.13172481252037826,165,1119,Female,Dom,Avp,MER
Sex,Male - Female,-0.015763011701824384,0.008500335583036402,-1.854398752595328,0.06368213314638538,3.972967527445797,-0.032423363301080005,8.973398974312409e-4,0.13172481252037826,114,825,Female,Dom,Avp,MER
Sex,Male - Female,0.2611393063154509,0.01498794535398501,17.42328919327284,5.492681771254814e-68,223.43359974328632,0.23176347321938587,0.29051513941151597,0.2033768227168074,103,377,Female,Sub,Avp,MER
Sex,Male - Female,0.2611393063154509,0.01498794535398501,17.42328919327284,5.492681771254814e-68,223.43359974328632,0.23176347321938587,0.29051513941151597,0.2033768227168074,75,456,Female,Sub,Avp,MER
Sex,Male - Female,0.2611393063154509,0.01498794535398501,17.42328919327284,5.492681771254814e-68,223.43359974328632,0.23176347321938587,0.29051513941151597,0.2033768227168074,87,470,Female,Sub,Avp,MER
Sex,Male - Female,-0.015763011701824384,0.008500335583036402,-1.854398752595328,0.06368213314638538,3.972967527445797,-0.032423363301080005,8.973398974312409e-4,0.11596180081855388,88,767,Male,Dom,Avp,MER
Sex,Male - Female,-0.015763011701824384,0.008500335583036402,-1.854398752595328,0.06368213314638538,3.972967527445797,-0.032423363301080005,8.973398974312409e-4,0.11596180081855388,157,1261,Male,Dom,Avp,MER
Sex,Male - Female,-0.015763011701824384,0.008500335583036402,-1.854398752595328,0.06368213314638538,3.972967527445797,-0.032423363301080005,8.973398974312409e-4,0.11596180081855388,95,904,Male,Dom,Avp,MER
Sex,Male - Female,0.2611393063154509,0.01498794535398501,17.42328919327284,5.492681771254814e-68,223.43359974328632,0.23176347321938587,0.29051513941151597,0.4645161290322583,379,864,Male,Sub,Avp,MER
Sex,Male - Female,0.2611393063154509,0.01498794535398501,17.42328919327284,5.492681771254814e-68,223.43359974328632,0.23176347321938587,0.29051513941151597,0.4645161290322583,450,911,Male,Sub,Avp,MER
Sex,Male - Female,0.2611393063154509,0.01498794535398501,17.42328919327284,5.492681771254814e-68,223.43359974328632,0.23176347321938587,0.29051513941151597,0.4645161290322583,323,705,Male,Sub,Avp,MER
Status,Sub - Dom,0.07165201019642914,0.012713432383551772,5.635929624255539,1.7411647960058126e-8,25.775372002905513,0.046734140604782454,0.09656987978807582,0.13172481252037826,125,1123,Female,Dom,Avp,MER
Status,Sub - Dom,0.07165201019642914,0.012713432383551772,5.635929624255539,1.7411647960058126e-8,25.775372002905513,0.046734140604782454,0.09656987978807582,0.13172481252037826,165,1119,Female,Dom,Avp,MER
Status,Sub - Dom,0.07165201019642914,0.012713432383551772,5.635929624255539,1.7411647960058126e-8,25.775372002905513,0.046734140604782454,0.09656987978807582,0.13172481252037826,114,825,Female,Dom,Avp,MER
Status,Sub - Dom,0.07165201019642914,0.012713432383551772,5.635929624255539,1.7411647960058126e-8,25.775372002905513,0.046734140604782454,0.09656987978807582,0.2033768227168074,103,377,Female,Sub,Avp,MER
Status,Sub - Dom,0.07165201019642914,0.012713432383551772,5.635929624255539,1.7411647960058126e-8,25.775372002905513,0.046734140604782454,0.09656987978807582,0.2033768227168074,75,456,Female,Sub,Avp,MER
Status,Sub - Dom,0.07165201019642914,0.012713432383551772,5.635929624255539,1.7411647960058126e-8,25.775372002905513,0.046734140604782454,0.09656987978807582,0.2033768227168074,87,470,Female,Sub,Avp,MER
Status,Sub - Dom,0.3485543282137044,0.011630255501030334,29.96961916983042,2.442790217535845e-197,653.1313047199608,0.3257594463006861,0.37134921012672273,0.11596180081855388,88,767,Male,Dom,Avp,MER
Status,Sub - Dom,0.3485543282137044,0.011630255501030334,29.96961916983042,2.442790217535845e-197,653.1313047199608,0.3257594463006861,0.37134921012672273,0.11596180081855388,157,1261,Male,Dom,Avp,MER
Status,Sub - Dom,0.3485543282137044,0.011630255501030334,29.96961916983042,2.442790217535845e-197,653.1313047199608,0.3257594463006861,0.37134921012672273,0.11596180081855388,95,904,Male,Dom,Avp,MER
Status,Sub - Dom,0.3485543282137044,0.011630255501030334,29.96961916983042,2.442790217535845e-197,653.1313047199608,0.3257594463006861,0.37134921012672273,0.4645161290322583,379,864,Male,Sub,Avp,MER
Status,Sub - Dom,0.3485543282137044,0.011630255501030334,29.96961916983042,2.442790217535845e-197,653.1313047199608,0.3257594463006861,0.37134921012672273,0.4645161290322583,450,911,Male,Sub,Avp,MER
Status,Sub - Dom,0.3485543282137044,0.011630255501030334,29.96961916983042,2.442790217535845e-197,653.1313047199608,0.3257594463006861,0.37134921012672273,0.4645161290322583,323,705,Male,Sub,Avp,MER
