term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,2.1811730183419288e-14,9.723606436784899e-9,2.2431728726601273e-6,0.9999982102069976,2.5821277994607423e-6,-1.9057896604210063e-8,1.9057940227670427e-8,3.7410381569832753e-13,0,1123,Female,Dom,Calca,MER
Sex,Male - Female,2.1811730183419288e-14,9.723606436784899e-9,2.2431728726601273e-6,0.9999982102069976,2.5821277994607423e-6,-1.9057896604210063e-8,1.9057940227670427e-8,3.7410381569832753e-13,0,1119,Female,Dom,Calca,MER
Sex,Male - Female,2.1811730183419288e-14,9.723606436784899e-9,2.2431728726601273e-6,0.9999982102069976,2.5821277994607423e-6,-1.9057896604210063e-8,1.9057940227670427e-8,3.7410381569832753e-13,0,825,Female,Dom,Calca,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656421385231e-4,-1.0003833145672978,0.31712504160855015,1.656876291308609,-0.0022710767366727336,7.361573208633634e-4,7.674597083653132e-4,0,377,Female,Sub,Calca,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656421385231e-4,-1.0003833145672978,0.31712504160855015,1.656876291308609,-0.0022710767366727336,7.361573208633634e-4,7.674597083653132e-4,1,456,Female,Sub,Calca,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656421385231e-4,-1.0003833145672978,0.31712504160855015,1.656876291308609,-0.0022710767366727336,7.361573208633634e-4,7.674597083653132e-4,0,470,Female,Sub,Calca,MER
Sex,Male - Female,2.1811730183419288e-14,9.723606436784899e-9,2.2431728726601273e-6,0.9999982102069976,2.5821277994607423e-6,-1.9057896604210063e-8,1.9057940227670427e-8,3.959155458817468e-13,0,767,Male,Dom,Calca,MER
Sex,Male - Female,2.1811730183419288e-14,9.723606436784899e-9,2.2431728726601273e-6,0.9999982102069976,2.5821277994607423e-6,-1.9057896604210063e-8,1.9057940227670427e-8,3.959155458817468e-13,0,1261,Male,Dom,Calca,MER
Sex,Male - Female,2.1811730183419288e-14,9.723606436784899e-9,2.2431728726601273e-6,0.9999982102069976,2.5821277994607423e-6,-1.9057896604210063e-8,1.9057940227670427e-8,3.959155458817468e-13,0,904,Male,Dom,Calca,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656421385231e-4,-1.0003833145672978,0.31712504160855015,1.656876291308609,-0.0022710767366727336,7.361573208633634e-4,4.606280110991451e-13,0,864,Male,Sub,Calca,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656421385231e-4,-1.0003833145672978,0.31712504160855015,1.656876291308609,-0.0022710767366727336,7.361573208633634e-4,4.606280110991451e-13,0,911,Male,Sub,Calca,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656421385231e-4,-1.0003833145672978,0.31712504160855015,1.656876291308609,-0.0022710767366727336,7.361573208633634e-4,4.606280110991451e-13,0,705,Male,Sub,Calca,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656419599368e-4,1.0003833149129584,0.3171250414413348,1.6568762920693207,-7.361573204268165e-4,0.002271076736409235,3.7410381569832753e-13,0,1123,Female,Dom,Calca,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656419599368e-4,1.0003833149129584,0.3171250414413348,1.6568762920693207,-7.361573204268165e-4,0.002271076736409235,3.7410381569832753e-13,0,1119,Female,Dom,Calca,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656419599368e-4,1.0003833149129584,0.3171250414413348,1.6568762920693207,-7.361573204268165e-4,0.002271076736409235,3.7410381569832753e-13,0,825,Female,Dom,Calca,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656419599368e-4,1.0003833149129584,0.3171250414413348,1.6568762920693207,-7.361573204268165e-4,0.002271076736409235,7.674597083653132e-4,0,377,Female,Sub,Calca,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656419599368e-4,1.0003833149129584,0.3171250414413348,1.6568762920693207,-7.361573204268165e-4,0.002271076736409235,7.674597083653132e-4,1,456,Female,Sub,Calca,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656419599368e-4,1.0003833149129584,0.3171250414413348,1.6568762920693207,-7.361573204268165e-4,0.002271076736409235,7.674597083653132e-4,0,470,Female,Sub,Calca,MER
Status,Sub - Dom,6.471246521739826e-14,1.0862992522000978e-8,5.95714901638155e-6,0.9999952468827734,6.8573149483830215e-6,-2.1291009394984627e-8,2.129113881991506e-8,3.959155458817468e-13,0,767,Male,Dom,Calca,MER
Status,Sub - Dom,6.471246521739826e-14,1.0862992522000978e-8,5.95714901638155e-6,0.9999952468827734,6.8573149483830215e-6,-2.1291009394984627e-8,2.129113881991506e-8,3.959155458817468e-13,0,1261,Male,Dom,Calca,MER
Status,Sub - Dom,6.471246521739826e-14,1.0862992522000978e-8,5.95714901638155e-6,0.9999952468827734,6.8573149483830215e-6,-2.1291009394984627e-8,2.129113881991506e-8,3.959155458817468e-13,0,904,Male,Dom,Calca,MER
Status,Sub - Dom,6.471246521739826e-14,1.0862992522000978e-8,5.95714901638155e-6,0.9999952468827734,6.8573149483830215e-6,-2.1291009394984627e-8,2.129113881991506e-8,4.606280110991451e-13,0,864,Male,Sub,Calca,MER
Status,Sub - Dom,6.471246521739826e-14,1.0862992522000978e-8,5.95714901638155e-6,0.9999952468827734,6.8573149483830215e-6,-2.1291009394984627e-8,2.129113881991506e-8,4.606280110991451e-13,0,911,Male,Sub,Calca,MER
Status,Sub - Dom,6.471246521739826e-14,1.0862992522000978e-8,5.95714901638155e-6,0.9999952468827734,6.8573149483830215e-6,-2.1291009394984627e-8,2.129113881991506e-8,4.606280110991451e-13,0,705,Male,Sub,Calca,MER
