term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,3.5607672396958815e-4,5.820358130613215e-4,0.6117780314869955,0.5406846264260297,0.8871407588008028,-7.846925073430892e-4,0.0014968459552822655,3.260515161395502e-4,1,1123,Female,Dom,Cbln1,MER
Sex,Male - Female,3.5607672396958815e-4,5.820358130613215e-4,0.6117780314869955,0.5406846264260297,0.8871407588008028,-7.846925073430892e-4,0.0014968459552822655,3.260515161395502e-4,0,1119,Female,Dom,Cbln1,MER
Sex,Male - Female,3.5607672396958815e-4,5.820358130613215e-4,0.6117780314869955,0.5406846264260297,0.8871407588008028,-7.846925073430892e-4,0.0014968459552822655,3.260515161395502e-4,0,825,Female,Dom,Cbln1,MER
Sex,Male - Female,8.06451606442842e-4,5.700175024525614e-4,1.414783937287886,0.15713185508115235,2.6699524094246962,-3.107621689216499e-4,0.001923665381807334,6.460387516194072e-12,0,377,Female,Sub,Cbln1,MER
Sex,Male - Female,8.06451606442842e-4,5.700175024525614e-4,1.414783937287886,0.15713185508115235,2.6699524094246962,-3.107621689216499e-4,0.001923665381807334,6.460387516194072e-12,0,456,Female,Sub,Cbln1,MER
Sex,Male - Female,8.06451606442842e-4,5.700175024525614e-4,1.414783937287886,0.15713185508115235,2.6699524094246962,-3.107621689216499e-4,0.001923665381807334,6.460387516194072e-12,0,470,Female,Sub,Cbln1,MER
Sex,Male - Female,3.5607672396958815e-4,5.820358130613215e-4,0.6117780314869955,0.5406846264260297,0.8871407588008028,-7.846925073430892e-4,0.0014968459552822655,6.821282401091384e-4,0,767,Male,Dom,Cbln1,MER
Sex,Male - Female,3.5607672396958815e-4,5.820358130613215e-4,0.6117780314869955,0.5406846264260297,0.8871407588008028,-7.846925073430892e-4,0.0014968459552822655,6.821282401091384e-4,1,1261,Male,Dom,Cbln1,MER
Sex,Male - Female,3.5607672396958815e-4,5.820358130613215e-4,0.6117780314869955,0.5406846264260297,0.8871407588008028,-7.846925073430892e-4,0.0014968459552822655,6.821282401091384e-4,1,904,Male,Dom,Cbln1,MER
Sex,Male - Female,8.06451606442842e-4,5.700175024525614e-4,1.414783937287886,0.15713185508115235,2.6699524094246962,-3.107621689216499e-4,0.001923665381807334,8.064516129032296e-4,1,864,Male,Sub,Cbln1,MER
Sex,Male - Female,8.06451606442842e-4,5.700175024525614e-4,1.414783937287886,0.15713185508115235,2.6699524094246962,-3.107621689216499e-4,0.001923665381807334,8.064516129032296e-4,1,911,Male,Sub,Cbln1,MER
Sex,Male - Female,8.06451606442842e-4,5.700175024525614e-4,1.414783937287886,0.15713185508115235,2.6699524094246962,-3.107621689216499e-4,0.001923665381807334,8.064516129032296e-4,0,705,Male,Sub,Cbln1,MER
Status,Sub - Dom,-3.260515096791627e-4,3.2599838089972575e-4,-1.000162972525478,0.31723164512953395,1.6563914020476374,-9.649965952609953e-4,3.1289357590266986e-4,3.260515161395502e-4,1,1123,Female,Dom,Cbln1,MER
Status,Sub - Dom,-3.260515096791627e-4,3.2599838089972575e-4,-1.000162972525478,0.31723164512953395,1.6563914020476374,-9.649965952609953e-4,3.1289357590266986e-4,3.260515161395502e-4,0,1119,Female,Dom,Cbln1,MER
Status,Sub - Dom,-3.260515096791627e-4,3.2599838089972575e-4,-1.000162972525478,0.31723164512953395,1.6563914020476374,-9.649965952609953e-4,3.1289357590266986e-4,3.260515161395502e-4,0,825,Female,Dom,Cbln1,MER
Status,Sub - Dom,-3.260515096791627e-4,3.2599838089972575e-4,-1.000162972525478,0.31723164512953395,1.6563914020476374,-9.649965952609953e-4,3.1289357590266986e-4,6.460387516194072e-12,0,377,Female,Sub,Cbln1,MER
Status,Sub - Dom,-3.260515096791627e-4,3.2599838089972575e-4,-1.000162972525478,0.31723164512953395,1.6563914020476374,-9.649965952609953e-4,3.1289357590266986e-4,6.460387516194072e-12,0,456,Female,Sub,Cbln1,MER
Status,Sub - Dom,-3.260515096791627e-4,3.2599838089972575e-4,-1.000162972525478,0.31723164512953395,1.6563914020476374,-9.649965952609953e-4,3.1289357590266986e-4,6.460387516194072e-12,0,470,Female,Sub,Cbln1,MER
Status,Sub - Dom,1.2432337279409125e-4,7.465995220847219e-4,0.16651949153000314,0.8677481452861101,0.20465171842824453,-0.0013389848013667803,0.0015876315469549626,6.821282401091384e-4,0,767,Male,Dom,Cbln1,MER
Status,Sub - Dom,1.2432337279409125e-4,7.465995220847219e-4,0.16651949153000314,0.8677481452861101,0.20465171842824453,-0.0013389848013667803,0.0015876315469549626,6.821282401091384e-4,1,1261,Male,Dom,Cbln1,MER
Status,Sub - Dom,1.2432337279409125e-4,7.465995220847219e-4,0.16651949153000314,0.8677481452861101,0.20465171842824453,-0.0013389848013667803,0.0015876315469549626,6.821282401091384e-4,1,904,Male,Dom,Cbln1,MER
Status,Sub - Dom,1.2432337279409125e-4,7.465995220847219e-4,0.16651949153000314,0.8677481452861101,0.20465171842824453,-0.0013389848013667803,0.0015876315469549626,8.064516129032296e-4,1,864,Male,Sub,Cbln1,MER
Status,Sub - Dom,1.2432337279409125e-4,7.465995220847219e-4,0.16651949153000314,0.8677481452861101,0.20465171842824453,-0.0013389848013667803,0.0015876315469549626,8.064516129032296e-4,1,911,Male,Sub,Cbln1,MER
Status,Sub - Dom,1.2432337279409125e-4,7.465995220847219e-4,0.16651949153000314,0.8677481452861101,0.20465171842824453,-0.0013389848013667803,0.0015876315469549626,8.064516129032296e-4,0,705,Male,Sub,Cbln1,MER
