term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.004122794648484885,0.0013539758177977257,3.044954418159927,0.002327155768246294,8.747216503847804,0.0014690508096631767,0.006776538487306593,6.521030322791104e-4,1,1123,Female,Dom,Cck,MER
Sex,Male - Female,0.004122794648484885,0.0013539758177977257,3.044954418159927,0.002327155768246294,8.747216503847804,0.0014690508096631767,0.006776538487306593,6.521030322791104e-4,0,1119,Female,Dom,Cck,MER
Sex,Male - Female,0.004122794648484885,0.0013539758177977257,3.044954418159927,0.002327155768246294,8.747216503847804,0.0014690508096631767,0.006776538487306593,6.521030322791104e-4,1,825,Female,Dom,Cck,MER
Sex,Male - Female,5.202015200653168e-4,0.0017023041733531946,0.30558670313345065,0.7599193458371705,0.396081788877761,-0.002816253350439173,0.0038566563905698065,0.0023023791250959802,2,377,Female,Sub,Cck,MER
Sex,Male - Female,5.202015200653168e-4,0.0017023041733531946,0.30558670313345065,0.7599193458371705,0.396081788877761,-0.002816253350439173,0.0038566563905698065,0.0023023791250959802,0,456,Female,Sub,Cck,MER
Sex,Male - Female,5.202015200653168e-4,0.0017023041733531946,0.30558670313345065,0.7599193458371705,0.396081788877761,-0.002816253350439173,0.0038566563905698065,0.0023023791250959802,1,470,Female,Sub,Cck,MER
Sex,Male - Female,0.004122794648484885,0.0013539758177977257,3.044954418159927,0.002327155768246294,8.747216503847804,0.0014690508096631767,0.006776538487306593,0.004774897680763995,2,767,Male,Dom,Cck,MER
Sex,Male - Female,0.004122794648484885,0.0013539758177977257,3.044954418159927,0.002327155768246294,8.747216503847804,0.0014690508096631767,0.006776538487306593,0.004774897680763995,10,1261,Male,Dom,Cck,MER
Sex,Male - Female,0.004122794648484885,0.0013539758177977257,3.044954418159927,0.002327155768246294,8.747216503847804,0.0014690508096631767,0.006776538487306593,0.004774897680763995,2,904,Male,Dom,Cck,MER
Sex,Male - Female,5.202015200653168e-4,0.0017023041733531946,0.30558670313345065,0.7599193458371705,0.396081788877761,-0.002816253350439173,0.0038566563905698065,0.002822580645161297,3,864,Male,Sub,Cck,MER
Sex,Male - Female,5.202015200653168e-4,0.0017023041733531946,0.30558670313345065,0.7599193458371705,0.396081788877761,-0.002816253350439173,0.0038566563905698065,0.002822580645161297,2,911,Male,Sub,Cck,MER
Sex,Male - Female,5.202015200653168e-4,0.0017023041733531946,0.30558670313345065,0.7599193458371705,0.396081788877761,-0.002816253350439173,0.0038566563905698065,0.002822580645161297,2,705,Male,Sub,Cck,MER
Status,Sub - Dom,0.0016502760928168699,0.0014054875130628025,1.174166314164279,0.24032841583531755,2.0569208556538587,-0.0011044288135069913,0.004404980999140731,6.521030322791104e-4,1,1123,Female,Dom,Cck,MER
Status,Sub - Dom,0.0016502760928168699,0.0014054875130628025,1.174166314164279,0.24032841583531755,2.0569208556538587,-0.0011044288135069913,0.004404980999140731,6.521030322791104e-4,0,1119,Female,Dom,Cck,MER
Status,Sub - Dom,0.0016502760928168699,0.0014054875130628025,1.174166314164279,0.24032841583531755,2.0569208556538587,-0.0011044288135069913,0.004404980999140731,6.521030322791104e-4,1,825,Female,Dom,Cck,MER
Status,Sub - Dom,0.0016502760928168699,0.0014054875130628025,1.174166314164279,0.24032841583531755,2.0569208556538587,-0.0011044288135069913,0.004404980999140731,0.0023023791250959802,2,377,Female,Sub,Cck,MER
Status,Sub - Dom,0.0016502760928168699,0.0014054875130628025,1.174166314164279,0.24032841583531755,2.0569208556538587,-0.0011044288135069913,0.004404980999140731,0.0023023791250959802,0,456,Female,Sub,Cck,MER
Status,Sub - Dom,0.0016502760928168699,0.0014054875130628025,1.174166314164279,0.24032841583531755,2.0569208556538587,-0.0011044288135069913,0.004404980999140731,0.0023023791250959802,1,470,Female,Sub,Cck,MER
Status,Sub - Dom,-0.0019523170356026977,0.001660028616257127,-1.1760743257574646,0.2395651764303678,2.061509883933055,-0.005205913336772528,0.0013012792655671323,0.004774897680763995,2,767,Male,Dom,Cck,MER
Status,Sub - Dom,-0.0019523170356026977,0.001660028616257127,-1.1760743257574646,0.2395651764303678,2.061509883933055,-0.005205913336772528,0.0013012792655671323,0.004774897680763995,10,1261,Male,Dom,Cck,MER
Status,Sub - Dom,-0.0019523170356026977,0.001660028616257127,-1.1760743257574646,0.2395651764303678,2.061509883933055,-0.005205913336772528,0.0013012792655671323,0.004774897680763995,2,904,Male,Dom,Cck,MER
Status,Sub - Dom,-0.0019523170356026977,0.001660028616257127,-1.1760743257574646,0.2395651764303678,2.061509883933055,-0.005205913336772528,0.0013012792655671323,0.002822580645161297,3,864,Male,Sub,Cck,MER
Status,Sub - Dom,-0.0019523170356026977,0.001660028616257127,-1.1760743257574646,0.2395651764303678,2.061509883933055,-0.005205913336772528,0.0013012792655671323,0.002822580645161297,2,911,Male,Sub,Cck,MER
Status,Sub - Dom,-0.0019523170356026977,0.001660028616257127,-1.1760743257574646,0.2395651764303678,2.061509883933055,-0.005205913336772528,0.0013012792655671323,0.002822580645161297,2,705,Male,Sub,Cck,MER
