term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.06783939938908712,0.005883802192983937,11.529857252846012,9.329828128692809e-31,99.75792043708356,0.05630735899868082,0.07937143977949342,0.02151940006521036,28,1123,Female,Dom,Chga,MER
Sex,Male - Female,0.06783939938908712,0.005883802192983937,11.529857252846012,9.329828128692809e-31,99.75792043708356,0.05630735899868082,0.07937143977949342,0.02151940006521036,23,1119,Female,Dom,Chga,MER
Sex,Male - Female,0.06783939938908712,0.005883802192983937,11.529857252846012,9.329828128692809e-31,99.75792043708356,0.05630735899868082,0.07937143977949342,0.02151940006521036,15,825,Female,Dom,Chga,MER
Sex,Male - Female,0.006749312999777213,0.0066982934264200504,1.0076168017895313,0.31363845972590293,1.6728256149822398,-0.006379100873887478,0.019877726873441904,0.03760552570990023,14,377,Female,Sub,Chga,MER
Sex,Male - Female,0.006749312999777213,0.0066982934264200504,1.0076168017895313,0.31363845972590293,1.6728256149822398,-0.006379100873887478,0.019877726873441904,0.03760552570990023,16,456,Female,Sub,Chga,MER
Sex,Male - Female,0.006749312999777213,0.0066982934264200504,1.0076168017895313,0.31363845972590293,1.6728256149822398,-0.006379100873887478,0.019877726873441904,0.03760552570990023,19,470,Female,Sub,Chga,MER
Sex,Male - Female,0.06783939938908712,0.005883802192983937,11.529857252846012,9.329828128692809e-31,99.75792043708356,0.05630735899868082,0.07937143977949342,0.08935879945429748,77,767,Male,Dom,Chga,MER
Sex,Male - Female,0.06783939938908712,0.005883802192983937,11.529857252846012,9.329828128692809e-31,99.75792043708356,0.05630735899868082,0.07937143977949342,0.08935879945429748,95,1261,Male,Dom,Chga,MER
Sex,Male - Female,0.06783939938908712,0.005883802192983937,11.529857252846012,9.329828128692809e-31,99.75792043708356,0.05630735899868082,0.07937143977949342,0.08935879945429748,90,904,Male,Dom,Chga,MER
Sex,Male - Female,0.006749312999777213,0.0066982934264200504,1.0076168017895313,0.31363845972590293,1.6728256149822398,-0.006379100873887478,0.019877726873441904,0.04435483870967744,40,864,Male,Sub,Chga,MER
Sex,Male - Female,0.006749312999777213,0.0066982934264200504,1.0076168017895313,0.31363845972590293,1.6728256149822398,-0.006379100873887478,0.019877726873441904,0.04435483870967744,42,911,Male,Sub,Chga,MER
Sex,Male - Female,0.006749312999777213,0.0066982934264200504,1.0076168017895313,0.31363845972590293,1.6728256149822398,-0.006379100873887478,0.019877726873441904,0.04435483870967744,28,705,Male,Sub,Chga,MER
Status,Sub - Dom,0.01608612564468987,0.005885647496738043,2.7331106141856374,0.006273925818043927,7.316415813589091,0.004550468525384984,0.027621782763994757,0.02151940006521036,28,1123,Female,Dom,Chga,MER
Status,Sub - Dom,0.01608612564468987,0.005885647496738043,2.7331106141856374,0.006273925818043927,7.316415813589091,0.004550468525384984,0.027621782763994757,0.02151940006521036,23,1119,Female,Dom,Chga,MER
Status,Sub - Dom,0.01608612564468987,0.005885647496738043,2.7331106141856374,0.006273925818043927,7.316415813589091,0.004550468525384984,0.027621782763994757,0.02151940006521036,15,825,Female,Dom,Chga,MER
Status,Sub - Dom,0.01608612564468987,0.005885647496738043,2.7331106141856374,0.006273925818043927,7.316415813589091,0.004550468525384984,0.027621782763994757,0.03760552570990023,14,377,Female,Sub,Chga,MER
Status,Sub - Dom,0.01608612564468987,0.005885647496738043,2.7331106141856374,0.006273925818043927,7.316415813589091,0.004550468525384984,0.027621782763994757,0.03760552570990023,16,456,Female,Sub,Chga,MER
Status,Sub - Dom,0.01608612564468987,0.005885647496738043,2.7331106141856374,0.006273925818043927,7.316415813589091,0.004550468525384984,0.027621782763994757,0.03760552570990023,19,470,Female,Sub,Chga,MER
Status,Sub - Dom,-0.045003960744620035,0.006696671913711733,-6.720347259729482,1.8129198216891812e-11,35.68289392199345,-0.05812919651177595,-0.03187872497746412,0.08935879945429748,77,767,Male,Dom,Chga,MER
Status,Sub - Dom,-0.045003960744620035,0.006696671913711733,-6.720347259729482,1.8129198216891812e-11,35.68289392199345,-0.05812919651177595,-0.03187872497746412,0.08935879945429748,95,1261,Male,Dom,Chga,MER
Status,Sub - Dom,-0.045003960744620035,0.006696671913711733,-6.720347259729482,1.8129198216891812e-11,35.68289392199345,-0.05812919651177595,-0.03187872497746412,0.08935879945429748,90,904,Male,Dom,Chga,MER
Status,Sub - Dom,-0.045003960744620035,0.006696671913711733,-6.720347259729482,1.8129198216891812e-11,35.68289392199345,-0.05812919651177595,-0.03187872497746412,0.04435483870967744,40,864,Male,Sub,Chga,MER
Status,Sub - Dom,-0.045003960744620035,0.006696671913711733,-6.720347259729482,1.8129198216891812e-11,35.68289392199345,-0.05812919651177595,-0.03187872497746412,0.04435483870967744,42,911,Male,Sub,Chga,MER
Status,Sub - Dom,-0.045003960744620035,0.006696671913711733,-6.720347259729482,1.8129198216891812e-11,35.68289392199345,-0.05812919651177595,-0.03187872497746412,0.04435483870967744,28,705,Male,Sub,Chga,MER
