term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.08634460220158163,0.00729929234839798,11.829174402164096,2.758414751882254e-32,104.83785964136491,0.0720382520860928,0.10065095231707047,0.04564721225953699,49,1123,Female,Dom,Chgb,MER
Sex,Male - Female,0.08634460220158163,0.00729929234839798,11.829174402164096,2.758414751882254e-32,104.83785964136491,0.0720382520860928,0.10065095231707047,0.04564721225953699,50,1119,Female,Dom,Chgb,MER
Sex,Male - Female,0.08634460220158163,0.00729929234839798,11.829174402164096,2.758414751882254e-32,104.83785964136491,0.0720382520860928,0.10065095231707047,0.04564721225953699,41,825,Female,Dom,Chgb,MER
Sex,Male - Female,0.022109028792117458,0.009958045753399411,2.2202176350284417,0.0264039977850152,5.243099807616611,0.002591617759052589,0.041626439825182326,0.08595548733691476,37,377,Female,Sub,Chgb,MER
Sex,Male - Female,0.022109028792117458,0.009958045753399411,2.2202176350284417,0.0264039977850152,5.243099807616611,0.002591617759052589,0.041626439825182326,0.08595548733691476,42,456,Female,Sub,Chgb,MER
Sex,Male - Female,0.022109028792117458,0.009958045753399411,2.2202176350284417,0.0264039977850152,5.243099807616611,0.002591617759052589,0.041626439825182326,0.08595548733691476,33,470,Female,Sub,Chgb,MER
Sex,Male - Female,0.08634460220158163,0.00729929234839798,11.829174402164096,2.758414751882254e-32,104.83785964136491,0.0720382520860928,0.10065095231707047,0.13199181446111863,113,767,Male,Dom,Chgb,MER
Sex,Male - Female,0.08634460220158163,0.00729929234839798,11.829174402164096,2.758414751882254e-32,104.83785964136491,0.0720382520860928,0.10065095231707047,0.13199181446111863,137,1261,Male,Dom,Chgb,MER
Sex,Male - Female,0.08634460220158163,0.00729929234839798,11.829174402164096,2.758414751882254e-32,104.83785964136491,0.0720382520860928,0.10065095231707047,0.13199181446111863,137,904,Male,Dom,Chgb,MER
Sex,Male - Female,0.022109028792117458,0.009958045753399411,2.2202176350284417,0.0264039977850152,5.243099807616611,0.002591617759052589,0.041626439825182326,0.10806451612903221,101,864,Male,Sub,Chgb,MER
Sex,Male - Female,0.022109028792117458,0.009958045753399411,2.2202176350284417,0.0264039977850152,5.243099807616611,0.002591617759052589,0.041626439825182326,0.10806451612903221,89,911,Male,Sub,Chgb,MER
Sex,Male - Female,0.022109028792117458,0.009958045753399411,2.2202176350284417,0.0264039977850152,5.243099807616611,0.002591617759052589,0.041626439825182326,0.10806451612903221,78,705,Male,Sub,Chgb,MER
Status,Sub - Dom,0.04030827507737777,0.008631400481387315,4.669957692763558,3.0126177314366855e-6,18.340550947154693,0.02339104099771695,0.057225509157038584,0.04564721225953699,49,1123,Female,Dom,Chgb,MER
Status,Sub - Dom,0.04030827507737777,0.008631400481387315,4.669957692763558,3.0126177314366855e-6,18.340550947154693,0.02339104099771695,0.057225509157038584,0.04564721225953699,50,1119,Female,Dom,Chgb,MER
Status,Sub - Dom,0.04030827507737777,0.008631400481387315,4.669957692763558,3.0126177314366855e-6,18.340550947154693,0.02339104099771695,0.057225509157038584,0.04564721225953699,41,825,Female,Dom,Chgb,MER
Status,Sub - Dom,0.04030827507737777,0.008631400481387315,4.669957692763558,3.0126177314366855e-6,18.340550947154693,0.02339104099771695,0.057225509157038584,0.08595548733691476,37,377,Female,Sub,Chgb,MER
Status,Sub - Dom,0.04030827507737777,0.008631400481387315,4.669957692763558,3.0126177314366855e-6,18.340550947154693,0.02339104099771695,0.057225509157038584,0.08595548733691476,42,456,Female,Sub,Chgb,MER
Status,Sub - Dom,0.04030827507737777,0.008631400481387315,4.669957692763558,3.0126177314366855e-6,18.340550947154693,0.02339104099771695,0.057225509157038584,0.08595548733691476,33,470,Female,Sub,Chgb,MER
Status,Sub - Dom,-0.023927298332086414,0.00882843497456974,-2.7102536747463017,0.006723176623726126,7.216641233735096,-0.04123071292209689,-0.0066238837420759394,0.13199181446111863,113,767,Male,Dom,Chgb,MER
Status,Sub - Dom,-0.023927298332086414,0.00882843497456974,-2.7102536747463017,0.006723176623726126,7.216641233735096,-0.04123071292209689,-0.0066238837420759394,0.13199181446111863,137,1261,Male,Dom,Chgb,MER
Status,Sub - Dom,-0.023927298332086414,0.00882843497456974,-2.7102536747463017,0.006723176623726126,7.216641233735096,-0.04123071292209689,-0.0066238837420759394,0.13199181446111863,137,904,Male,Dom,Chgb,MER
Status,Sub - Dom,-0.023927298332086414,0.00882843497456974,-2.7102536747463017,0.006723176623726126,7.216641233735096,-0.04123071292209689,-0.0066238837420759394,0.10806451612903221,101,864,Male,Sub,Chgb,MER
Status,Sub - Dom,-0.023927298332086414,0.00882843497456974,-2.7102536747463017,0.006723176623726126,7.216641233735096,-0.04123071292209689,-0.0066238837420759394,0.10806451612903221,89,911,Male,Sub,Chgb,MER
Status,Sub - Dom,-0.023927298332086414,0.00882843497456974,-2.7102536747463017,0.006723176623726126,7.216641233735096,-0.04123071292209689,-0.0066238837420759394,0.10806451612903221,78,705,Male,Sub,Chgb,MER
