term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.0027585381682650417,0.0011712215346035546,2.3552659225983033,0.018509454494071178,5.755593812680516,4.6298614252434245e-4,0.005054090194005741,6.521030322806702e-4,0,1123,Female,Dom,Crh,MER
Sex,Male - Female,0.0027585381682650417,0.0011712215346035546,2.3552659225983033,0.018509454494071178,5.755593812680516,4.6298614252434245e-4,0.005054090194005741,6.521030322806702e-4,2,1119,Female,Dom,Crh,MER
Sex,Male - Female,0.0027585381682650417,0.0011712215346035546,2.3552659225983033,0.018509454494071178,5.755593812680516,4.6298614252434245e-4,0.005054090194005741,6.521030322806702e-4,0,825,Female,Dom,Crh,MER
Sex,Male - Female,0.0016518951303283733,0.0012496895970209765,1.321844347801389,0.18621998736584522,2.424920166319149,-7.974514716871139e-4,0.00410124173234386,7.674597083813098e-4,0,377,Female,Sub,Crh,MER
Sex,Male - Female,0.0016518951303283733,0.0012496895970209765,1.321844347801389,0.18621998736584522,2.424920166319149,-7.974514716871139e-4,0.00410124173234386,7.674597083813098e-4,1,456,Female,Sub,Crh,MER
Sex,Male - Female,0.0016518951303283733,0.0012496895970209765,1.321844347801389,0.18621998736584522,2.424920166319149,-7.974514716871139e-4,0.00410124173234386,7.674597083813098e-4,0,470,Female,Sub,Crh,MER
Sex,Male - Female,0.0027585381682650417,0.0011712215346035546,2.3552659225983033,0.018509454494071178,5.755593812680516,4.6298614252434245e-4,0.005054090194005741,0.003410641200545712,4,767,Male,Dom,Crh,MER
Sex,Male - Female,0.0027585381682650417,0.0011712215346035546,2.3552659225983033,0.018509454494071178,5.755593812680516,4.6298614252434245e-4,0.005054090194005741,0.003410641200545712,2,1261,Male,Dom,Crh,MER
Sex,Male - Female,0.0027585381682650417,0.0011712215346035546,2.3552659225983033,0.018509454494071178,5.755593812680516,4.6298614252434245e-4,0.005054090194005741,0.003410641200545712,4,904,Male,Dom,Crh,MER
Sex,Male - Female,0.0016518951303283733,0.0012496895970209765,1.321844347801389,0.18621998736584522,2.424920166319149,-7.974514716871139e-4,0.00410124173234386,0.002419354838709683,1,864,Male,Sub,Crh,MER
Sex,Male - Female,0.0016518951303283733,0.0012496895970209765,1.321844347801389,0.18621998736584522,2.424920166319149,-7.974514716871139e-4,0.00410124173234386,0.002419354838709683,3,911,Male,Sub,Crh,MER
Sex,Male - Female,0.0016518951303283733,0.0012496895970209765,1.321844347801389,0.18621998736584522,2.424920166319149,-7.974514716871139e-4,0.00410124173234386,0.002419354838709683,2,705,Male,Sub,Crh,MER
Status,Sub - Dom,1.1535667610063961e-4,8.949964823938422e-4,0.12889064747170373,0.8974441771756106,0.15610589168046646,-0.0016388041956813273,0.0018695175478826067,6.521030322806702e-4,0,1123,Female,Dom,Crh,MER
Status,Sub - Dom,1.1535667610063961e-4,8.949964823938422e-4,0.12889064747170373,0.8974441771756106,0.15610589168046646,-0.0016388041956813273,0.0018695175478826067,6.521030322806702e-4,2,1119,Female,Dom,Crh,MER
Status,Sub - Dom,1.1535667610063961e-4,8.949964823938422e-4,0.12889064747170373,0.8974441771756106,0.15610589168046646,-0.0016388041956813273,0.0018695175478826067,6.521030322806702e-4,0,825,Female,Dom,Crh,MER
Status,Sub - Dom,1.1535667610063961e-4,8.949964823938422e-4,0.12889064747170373,0.8974441771756106,0.15610589168046646,-0.0016388041956813273,0.0018695175478826067,7.674597083813098e-4,0,377,Female,Sub,Crh,MER
Status,Sub - Dom,1.1535667610063961e-4,8.949964823938422e-4,0.12889064747170373,0.8974441771756106,0.15610589168046646,-0.0016388041956813273,0.0018695175478826067,7.674597083813098e-4,1,456,Female,Sub,Crh,MER
Status,Sub - Dom,1.1535667610063961e-4,8.949964823938422e-4,0.12889064747170373,0.8974441771756106,0.15610589168046646,-0.0016388041956813273,0.0018695175478826067,7.674597083813098e-4,0,470,Female,Sub,Crh,MER
Status,Sub - Dom,-9.912863618360287e-4,0.0014602965144347266,-0.6788253974705614,0.4972484994997961,1.0079610773074164,-0.0038534149368774674,0.00187084221320541,0.003410641200545712,4,767,Male,Dom,Crh,MER
Status,Sub - Dom,-9.912863618360287e-4,0.0014602965144347266,-0.6788253974705614,0.4972484994997961,1.0079610773074164,-0.0038534149368774674,0.00187084221320541,0.003410641200545712,2,1261,Male,Dom,Crh,MER
Status,Sub - Dom,-9.912863618360287e-4,0.0014602965144347266,-0.6788253974705614,0.4972484994997961,1.0079610773074164,-0.0038534149368774674,0.00187084221320541,0.003410641200545712,4,904,Male,Dom,Crh,MER
Status,Sub - Dom,-9.912863618360287e-4,0.0014602965144347266,-0.6788253974705614,0.4972484994997961,1.0079610773074164,-0.0038534149368774674,0.00187084221320541,0.002419354838709683,1,864,Male,Sub,Crh,MER
Status,Sub - Dom,-9.912863618360287e-4,0.0014602965144347266,-0.6788253974705614,0.4972484994997961,1.0079610773074164,-0.0038534149368774674,0.00187084221320541,0.002419354838709683,3,911,Male,Sub,Crh,MER
Status,Sub - Dom,-9.912863618360287e-4,0.0014602965144347266,-0.6788253974705614,0.4972484994997961,1.0079610773074164,-0.0038534149368774674,0.00187084221320541,0.002419354838709683,2,705,Male,Sub,Crh,MER
