term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,2.1811739167092686e-14,9.723603597140884e-9,2.243174451651462e-6,0.9999982102057379,2.582129616928022e-6,-1.905789103860108e-8,1.9057934662079412e-8,3.7410380671635045e-13,0,1123,Female,Dom,Edn3,MER
Sex,Male - Female,2.1811739167092686e-14,9.723603597140884e-9,2.243174451651462e-6,0.9999982102057379,2.582129616928022e-6,-1.905789103860108e-8,1.9057934662079412e-8,3.7410380671635045e-13,0,1119,Female,Dom,Edn3,MER
Sex,Male - Female,2.1811739167092686e-14,9.723603597140884e-9,2.243174451651462e-6,0.9999982102057379,2.582129616928022e-6,-1.905789103860108e-8,1.9057934662079412e-8,3.7410380671635045e-13,0,825,Female,Dom,Edn3,MER
Sex,Male - Female,4.032258055772917e-4,4.033128437983958e-4,0.9997841917944285,0.3174149576679791,1.6555579804352423,-3.872528427699924e-4,0.0011937044539245757,8.743183734742041e-13,0,377,Female,Sub,Edn3,MER
Sex,Male - Female,4.032258055772917e-4,4.033128437983958e-4,0.9997841917944285,0.3174149576679791,1.6555579804352423,-3.872528427699924e-4,0.0011937044539245757,8.743183734742041e-13,0,456,Female,Sub,Edn3,MER
Sex,Male - Female,4.032258055772917e-4,4.033128437983958e-4,0.9997841917944285,0.3174149576679791,1.6555579804352423,-3.872528427699924e-4,0.0011937044539245757,8.743183734742041e-13,0,470,Female,Sub,Edn3,MER
Sex,Male - Female,2.1811739167092686e-14,9.723603597140884e-9,2.243174451651462e-6,0.9999982102057379,2.582129616928022e-6,-1.905789103860108e-8,1.9057934662079412e-8,3.9591554588344314e-13,0,767,Male,Dom,Edn3,MER
Sex,Male - Female,2.1811739167092686e-14,9.723603597140884e-9,2.243174451651462e-6,0.9999982102057379,2.582129616928022e-6,-1.905789103860108e-8,1.9057934662079412e-8,3.9591554588344314e-13,0,1261,Male,Dom,Edn3,MER
Sex,Male - Female,2.1811739167092686e-14,9.723603597140884e-9,2.243174451651462e-6,0.9999982102057379,2.582129616928022e-6,-1.905789103860108e-8,1.9057934662079412e-8,3.9591554588344314e-13,0,904,Male,Dom,Edn3,MER
Sex,Male - Female,4.032258055772917e-4,4.033128437983958e-4,0.9997841917944285,0.3174149576679791,1.6555579804352423,-3.872528427699924e-4,0.0011937044539245757,4.032258064516101e-4,1,864,Male,Sub,Edn3,MER
Sex,Male - Female,4.032258055772917e-4,4.033128437983958e-4,0.9997841917944285,0.3174149576679791,1.6555579804352423,-3.872528427699924e-4,0.0011937044539245757,4.032258064516101e-4,0,911,Male,Sub,Edn3,MER
Sex,Male - Female,4.032258055772917e-4,4.033128437983958e-4,0.9997841917944285,0.3174149576679791,1.6555579804352423,-3.872528427699924e-4,0.0011937044539245757,4.032258064516101e-4,0,705,Male,Sub,Edn3,MER
Status,Sub - Dom,5.002145667578536e-13,1.7079856475299712e-8,2.9286813239985143e-5,0.999976632503884,3.3712564655159434e-5,-3.34754033381339e-8,3.347640376726742e-8,3.7410380671635045e-13,0,1123,Female,Dom,Edn3,MER
Status,Sub - Dom,5.002145667578536e-13,1.7079856475299712e-8,2.9286813239985143e-5,0.999976632503884,3.3712564655159434e-5,-3.34754033381339e-8,3.347640376726742e-8,3.7410380671635045e-13,0,1119,Female,Dom,Edn3,MER
Status,Sub - Dom,5.002145667578536e-13,1.7079856475299712e-8,2.9286813239985143e-5,0.999976632503884,3.3712564655159434e-5,-3.34754033381339e-8,3.347640376726742e-8,3.7410380671635045e-13,0,825,Female,Dom,Edn3,MER
Status,Sub - Dom,5.002145667578536e-13,1.7079856475299712e-8,2.9286813239985143e-5,0.999976632503884,3.3712564655159434e-5,-3.34754033381339e-8,3.347640376726742e-8,8.743183734742041e-13,0,377,Female,Sub,Edn3,MER
Status,Sub - Dom,5.002145667578536e-13,1.7079856475299712e-8,2.9286813239985143e-5,0.999976632503884,3.3712564655159434e-5,-3.34754033381339e-8,3.347640376726742e-8,8.743183734742041e-13,0,456,Female,Sub,Edn3,MER
Status,Sub - Dom,5.002145667578536e-13,1.7079856475299712e-8,2.9286813239985143e-5,0.999976632503884,3.3712564655159434e-5,-3.34754033381339e-8,3.347640376726742e-8,8.743183734742041e-13,0,470,Female,Sub,Edn3,MER
Status,Sub - Dom,4.032258060556945e-4,4.0331305860117034e-4,0.9997836604999143,0.3174152148389721,1.6555568115578563,-3.8725326329729147e-4,0.0011937048754086805,3.9591554588344314e-13,0,767,Male,Dom,Edn3,MER
Status,Sub - Dom,4.032258060556945e-4,4.0331305860117034e-4,0.9997836604999143,0.3174152148389721,1.6555568115578563,-3.8725326329729147e-4,0.0011937048754086805,3.9591554588344314e-13,0,1261,Male,Dom,Edn3,MER
Status,Sub - Dom,4.032258060556945e-4,4.0331305860117034e-4,0.9997836604999143,0.3174152148389721,1.6555568115578563,-3.8725326329729147e-4,0.0011937048754086805,3.9591554588344314e-13,0,904,Male,Dom,Edn3,MER
Status,Sub - Dom,4.032258060556945e-4,4.0331305860117034e-4,0.9997836604999143,0.3174152148389721,1.6555568115578563,-3.8725326329729147e-4,0.0011937048754086805,4.032258064516101e-4,1,864,Male,Sub,Edn3,MER
Status,Sub - Dom,4.032258060556945e-4,4.0331305860117034e-4,0.9997836604999143,0.3174152148389721,1.6555568115578563,-3.8725326329729147e-4,0.0011937048754086805,4.032258064516101e-4,0,911,Male,Sub,Edn3,MER
Status,Sub - Dom,4.032258060556945e-4,4.0331305860117034e-4,0.9997836604999143,0.3174152148389721,1.6555568115578563,-3.8725326329729147e-4,0.0011937048754086805,4.032258064516101e-4,0,705,Male,Sub,Edn3,MER
