term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.08665986688379712,0.007554702262122763,11.47098374985422,1.845492465435238e-30,98.77383699909501,0.07185292253611324,0.101466811231481,0.052494294098467474,60,1123,Female,Dom,Gal,MER
Sex,Male - Female,0.08665986688379712,0.007554702262122763,11.47098374985422,1.845492465435238e-30,98.77383699909501,0.07185292253611324,0.101466811231481,0.052494294098467474,51,1119,Female,Dom,Gal,MER
Sex,Male - Female,0.08665986688379712,0.007554702262122763,11.47098374985422,1.845492465435238e-30,98.77383699909501,0.07185292253611324,0.101466811231481,0.052494294098467474,50,825,Female,Dom,Gal,MER
Sex,Male - Female,0.04083814027182926,0.011685176558947366,3.494867199123269,4.742976851113617e-4,11.041919552427622,0.01793561506330075,0.06374066548035778,0.12125863392171908,38,377,Female,Sub,Gal,MER
Sex,Male - Female,0.04083814027182926,0.011685176558947366,3.494867199123269,4.742976851113617e-4,11.041919552427622,0.01793561506330075,0.06374066548035778,0.12125863392171908,56,456,Female,Sub,Gal,MER
Sex,Male - Female,0.04083814027182926,0.011685176558947366,3.494867199123269,4.742976851113617e-4,11.041919552427622,0.01793561506330075,0.06374066548035778,0.12125863392171908,64,470,Female,Sub,Gal,MER
Sex,Male - Female,0.08665986688379712,0.007554702262122763,11.47098374985422,1.845492465435238e-30,98.77383699909501,0.07185292253611324,0.101466811231481,0.1391541609822646,114,767,Male,Dom,Gal,MER
Sex,Male - Female,0.08665986688379712,0.007554702262122763,11.47098374985422,1.845492465435238e-30,98.77383699909501,0.07185292253611324,0.101466811231481,0.1391541609822646,135,1261,Male,Dom,Gal,MER
Sex,Male - Female,0.08665986688379712,0.007554702262122763,11.47098374985422,1.845492465435238e-30,98.77383699909501,0.07185292253611324,0.101466811231481,0.1391541609822646,159,904,Male,Dom,Gal,MER
Sex,Male - Female,0.04083814027182926,0.011685176558947366,3.494867199123269,4.742976851113617e-4,11.041919552427622,0.01793561506330075,0.06374066548035778,0.16209677419354834,137,864,Male,Sub,Gal,MER
Sex,Male - Female,0.04083814027182926,0.011685176558947366,3.494867199123269,4.742976851113617e-4,11.041919552427622,0.01793561506330075,0.06374066548035778,0.16209677419354834,151,911,Male,Sub,Gal,MER
Sex,Male - Female,0.04083814027182926,0.011685176558947366,3.494867199123269,4.742976851113617e-4,11.041919552427622,0.01793561506330075,0.06374066548035778,0.16209677419354834,114,705,Male,Sub,Gal,MER
Status,Sub - Dom,0.06876433982325161,0.009899192322047331,6.946459628842721,3.745670532573216e-12,37.957913132267244,0.04936227939600342,0.08816640025049981,0.052494294098467474,60,1123,Female,Dom,Gal,MER
Status,Sub - Dom,0.06876433982325161,0.009899192322047331,6.946459628842721,3.745670532573216e-12,37.957913132267244,0.04936227939600342,0.08816640025049981,0.052494294098467474,51,1119,Female,Dom,Gal,MER
Status,Sub - Dom,0.06876433982325161,0.009899192322047331,6.946459628842721,3.745670532573216e-12,37.957913132267244,0.04936227939600342,0.08816640025049981,0.052494294098467474,50,825,Female,Dom,Gal,MER
Status,Sub - Dom,0.06876433982325161,0.009899192322047331,6.946459628842721,3.745670532573216e-12,37.957913132267244,0.04936227939600342,0.08816640025049981,0.12125863392171908,38,377,Female,Sub,Gal,MER
Status,Sub - Dom,0.06876433982325161,0.009899192322047331,6.946459628842721,3.745670532573216e-12,37.957913132267244,0.04936227939600342,0.08816640025049981,0.12125863392171908,56,456,Female,Sub,Gal,MER
Status,Sub - Dom,0.06876433982325161,0.009899192322047331,6.946459628842721,3.745670532573216e-12,37.957913132267244,0.04936227939600342,0.08816640025049981,0.12125863392171908,64,470,Female,Sub,Gal,MER
Status,Sub - Dom,0.02294261321128374,0.009778694504532125,2.3461836547455843,0.018966759185958124,5.720383000523035,0.0037767241665810324,0.042108502255986446,0.1391541609822646,114,767,Male,Dom,Gal,MER
Status,Sub - Dom,0.02294261321128374,0.009778694504532125,2.3461836547455843,0.018966759185958124,5.720383000523035,0.0037767241665810324,0.042108502255986446,0.1391541609822646,135,1261,Male,Dom,Gal,MER
Status,Sub - Dom,0.02294261321128374,0.009778694504532125,2.3461836547455843,0.018966759185958124,5.720383000523035,0.0037767241665810324,0.042108502255986446,0.1391541609822646,159,904,Male,Dom,Gal,MER
Status,Sub - Dom,0.02294261321128374,0.009778694504532125,2.3461836547455843,0.018966759185958124,5.720383000523035,0.0037767241665810324,0.042108502255986446,0.16209677419354834,137,864,Male,Sub,Gal,MER
Status,Sub - Dom,0.02294261321128374,0.009778694504532125,2.3461836547455843,0.018966759185958124,5.720383000523035,0.0037767241665810324,0.042108502255986446,0.16209677419354834,151,911,Male,Sub,Gal,MER
Status,Sub - Dom,0.02294261321128374,0.009778694504532125,2.3461836547455843,0.018966759185958124,5.720383000523035,0.0037767241665810324,0.042108502255986446,0.16209677419354834,114,705,Male,Sub,Gal,MER
