term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,6.821282390922266e-4,4.821731841519753e-4,1.4146955108918455,0.1571577911579761,2.669714298815922,-2.6291383615664396e-4,0.0016271703143410973,1.0169196072844268e-12,0,1123,Female,Dom,Ghrh,MER
Sex,Male - Female,6.821282390922266e-4,4.821731841519753e-4,1.4146955108918455,0.1571577911579761,2.669714298815922,-2.6291383615664396e-4,0.0016271703143410973,1.0169196072844268e-12,0,1119,Female,Dom,Ghrh,MER
Sex,Male - Female,6.821282390922266e-4,4.821731841519753e-4,1.4146955108918455,0.1571577911579761,2.669714298815922,-2.6291383615664396e-4,0.0016271703143410973,1.0169196072844268e-12,0,825,Female,Dom,Ghrh,MER
Sex,Male - Female,4.0322580407497246e-4,4.0314457634372034e-4,1.000201485362866,0.3172130105675772,1.6564761501494314,-3.8692304612137745e-4,0.0011933746542713223,2.3766437243336785e-12,0,377,Female,Sub,Ghrh,MER
Sex,Male - Female,4.0322580407497246e-4,4.0314457634372034e-4,1.000201485362866,0.3172130105675772,1.6564761501494314,-3.8692304612137745e-4,0.0011933746542713223,2.3766437243336785e-12,0,456,Female,Sub,Ghrh,MER
Sex,Male - Female,4.0322580407497246e-4,4.0314457634372034e-4,1.000201485362866,0.3172130105675772,1.6564761501494314,-3.8692304612137745e-4,0.0011933746542713223,2.3766437243336785e-12,0,470,Female,Sub,Ghrh,MER
Sex,Male - Female,6.821282390922266e-4,4.821731841519753e-4,1.4146955108918455,0.1571577911579761,2.669714298815922,-2.6291383615664396e-4,0.0016271703143410973,6.821282401091463e-4,0,767,Male,Dom,Ghrh,MER
Sex,Male - Female,6.821282390922266e-4,4.821731841519753e-4,1.4146955108918455,0.1571577911579761,2.669714298815922,-2.6291383615664396e-4,0.0016271703143410973,6.821282401091463e-4,2,1261,Male,Dom,Ghrh,MER
Sex,Male - Female,6.821282390922266e-4,4.821731841519753e-4,1.4146955108918455,0.1571577911579761,2.669714298815922,-2.6291383615664396e-4,0.0016271703143410973,6.821282401091463e-4,0,904,Male,Dom,Ghrh,MER
Sex,Male - Female,4.0322580407497246e-4,4.0314457634372034e-4,1.000201485362866,0.3172130105675772,1.6564761501494314,-3.8692304612137745e-4,0.0011933746542713223,4.032258064516162e-4,1,864,Male,Sub,Ghrh,MER
Sex,Male - Female,4.0322580407497246e-4,4.0314457634372034e-4,1.000201485362866,0.3172130105675772,1.6564761501494314,-3.8692304612137745e-4,0.0011933746542713223,4.032258064516162e-4,0,911,Male,Sub,Ghrh,MER
Sex,Male - Female,4.0322580407497246e-4,4.0314457634372034e-4,1.000201485362866,0.3172130105675772,1.6564761501494314,-3.8692304612137745e-4,0.0011933746542713223,4.032258064516162e-4,0,705,Male,Sub,Ghrh,MER
Status,Sub - Dom,1.3597241170492518e-12,2.815992395369677e-8,4.828578796182262e-5,0.9999614735152941,5.558303914455183e-5,-5.519107703251537e-8,5.519379648074947e-8,1.0169196072844268e-12,0,1123,Female,Dom,Ghrh,MER
Status,Sub - Dom,1.3597241170492518e-12,2.815992395369677e-8,4.828578796182262e-5,0.9999614735152941,5.558303914455183e-5,-5.519107703251537e-8,5.519379648074947e-8,1.0169196072844268e-12,0,1119,Female,Dom,Ghrh,MER
Status,Sub - Dom,1.3597241170492518e-12,2.815992395369677e-8,4.828578796182262e-5,0.9999614735152941,5.558303914455183e-5,-5.519107703251537e-8,5.519379648074947e-8,1.0169196072844268e-12,0,825,Female,Dom,Ghrh,MER
Status,Sub - Dom,1.3597241170492518e-12,2.815992395369677e-8,4.828578796182262e-5,0.9999614735152941,5.558303914455183e-5,-5.519107703251537e-8,5.519379648074947e-8,2.3766437243336785e-12,0,377,Female,Sub,Ghrh,MER
Status,Sub - Dom,1.3597241170492518e-12,2.815992395369677e-8,4.828578796182262e-5,0.9999614735152941,5.558303914455183e-5,-5.519107703251537e-8,5.519379648074947e-8,2.3766437243336785e-12,0,456,Female,Sub,Ghrh,MER
Status,Sub - Dom,1.3597241170492518e-12,2.815992395369677e-8,4.828578796182262e-5,0.9999614735152941,5.558303914455183e-5,-5.519107703251537e-8,5.519379648074947e-8,2.3766437243336785e-12,0,470,Female,Sub,Ghrh,MER
