term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,6.821282325950654e-4,4.821730461169994e-4,1.4146959024116559,0.1571576763153421,2.6697153530618354,-2.629135721102237e-4,0.0016271700373003545,7.514075991877974e-12,0,1123,Female,Dom,Grp,MER
Sex,Male - Female,6.821282325950654e-4,4.821730461169994e-4,1.4146959024116559,0.1571576763153421,2.6697153530618354,-2.629135721102237e-4,0.0016271700373003545,7.514075991877974e-12,0,1119,Female,Dom,Grp,MER
Sex,Male - Female,6.821282325950654e-4,4.821730461169994e-4,1.4146959024116559,0.1571576763153421,2.6697153530618354,-2.629135721102237e-4,0.0016271700373003545,7.514075991877974e-12,0,825,Female,Dom,Grp,MER
Sex,Male - Female,8.454435174411452e-4,0.0011125906293631123,0.7598873252465808,0.44732193850810503,1.1606145791098013,-0.001335194045647306,0.003026081080529597,7.674597083653105e-4,0,377,Female,Sub,Grp,MER
Sex,Male - Female,8.454435174411452e-4,0.0011125906293631123,0.7598873252465808,0.44732193850810503,1.1606145791098013,-0.001335194045647306,0.003026081080529597,7.674597083653105e-4,1,456,Female,Sub,Grp,MER
Sex,Male - Female,8.454435174411452e-4,0.0011125906293631123,0.7598873252465808,0.44732193850810503,1.1606145791098013,-0.001335194045647306,0.003026081080529597,7.674597083653105e-4,0,470,Female,Sub,Grp,MER
Sex,Male - Female,6.821282325950654e-4,4.821730461169994e-4,1.4146959024116559,0.1571576763153421,2.6697153530618354,-2.629135721102237e-4,0.0016271700373003545,6.821282401091414e-4,0,767,Male,Dom,Grp,MER
Sex,Male - Female,6.821282325950654e-4,4.821730461169994e-4,1.4146959024116559,0.1571576763153421,2.6697153530618354,-2.629135721102237e-4,0.0016271700373003545,6.821282401091414e-4,2,1261,Male,Dom,Grp,MER
Sex,Male - Female,6.821282325950654e-4,4.821730461169994e-4,1.4146959024116559,0.1571576763153421,2.6697153530618354,-2.629135721102237e-4,0.0016271700373003545,6.821282401091414e-4,0,904,Male,Dom,Grp,MER
Sex,Male - Female,8.454435174411452e-4,0.0011125906293631123,0.7598873252465808,0.44732193850810503,1.1606145791098013,-0.001335194045647306,0.003026081080529597,0.0016129032258064557,3,864,Male,Sub,Grp,MER
Sex,Male - Female,8.454435174411452e-4,0.0011125906293631123,0.7598873252465808,0.44732193850810503,1.1606145791098013,-0.001335194045647306,0.003026081080529597,0.0016129032258064557,1,911,Male,Sub,Grp,MER
Sex,Male - Female,8.454435174411452e-4,0.0011125906293631123,0.7598873252465808,0.44732193850810503,1.1606145791098013,-0.001335194045647306,0.003026081080529597,0.0016129032258064557,0,705,Male,Sub,Grp,MER
Status,Sub - Dom,7.674597008512345e-4,7.67165269967799e-4,1.0003837906836528,0.31712481128448666,1.6568773391208635,-7.361565984755987e-4,0.002271076000178068,7.514075991877974e-12,0,1123,Female,Dom,Grp,MER
Status,Sub - Dom,7.674597008512345e-4,7.67165269967799e-4,1.0003837906836528,0.31712481128448666,1.6568773391208635,-7.361565984755987e-4,0.002271076000178068,7.514075991877974e-12,0,1119,Female,Dom,Grp,MER
Status,Sub - Dom,7.674597008512345e-4,7.67165269967799e-4,1.0003837906836528,0.31712481128448666,1.6568773391208635,-7.361565984755987e-4,0.002271076000178068,7.514075991877974e-12,0,825,Female,Dom,Grp,MER
Status,Sub - Dom,7.674597008512345e-4,7.67165269967799e-4,1.0003837906836528,0.31712481128448666,1.6568773391208635,-7.361565984755987e-4,0.002271076000178068,7.674597083653105e-4,0,377,Female,Sub,Grp,MER
Status,Sub - Dom,7.674597008512345e-4,7.67165269967799e-4,1.0003837906836528,0.31712481128448666,1.6568773391208635,-7.361565984755987e-4,0.002271076000178068,7.674597083653105e-4,1,456,Female,Sub,Grp,MER
Status,Sub - Dom,7.674597008512345e-4,7.67165269967799e-4,1.0003837906836528,0.31712481128448666,1.6568773391208635,-7.361565984755987e-4,0.002271076000178068,7.674597083653105e-4,0,470,Female,Sub,Grp,MER
Status,Sub - Dom,9.307749856973143e-4,9.390453803762652e-4,0.9911927635748157,0.321591463420702,1.6366989839055848,-9.097201396888807e-4,0.0027712701110835093,6.821282401091414e-4,0,767,Male,Dom,Grp,MER
Status,Sub - Dom,9.307749856973143e-4,9.390453803762652e-4,0.9911927635748157,0.321591463420702,1.6366989839055848,-9.097201396888807e-4,0.0027712701110835093,6.821282401091414e-4,2,1261,Male,Dom,Grp,MER
Status,Sub - Dom,9.307749856973143e-4,9.390453803762652e-4,0.9911927635748157,0.321591463420702,1.6366989839055848,-9.097201396888807e-4,0.0027712701110835093,6.821282401091414e-4,0,904,Male,Dom,Grp,MER
Status,Sub - Dom,9.307749856973143e-4,9.390453803762652e-4,0.9911927635748157,0.321591463420702,1.6366989839055848,-9.097201396888807e-4,0.0027712701110835093,0.0016129032258064557,3,864,Male,Sub,Grp,MER
Status,Sub - Dom,9.307749856973143e-4,9.390453803762652e-4,0.9911927635748157,0.321591463420702,1.6366989839055848,-9.097201396888807e-4,0.0027712701110835093,0.0016129032258064557,1,911,Male,Sub,Grp,MER
Status,Sub - Dom,9.307749856973143e-4,9.390453803762652e-4,0.9911927635748157,0.321591463420702,1.6366989839055848,-9.097201396888807e-4,0.0027712701110835093,0.0016129032258064557,0,705,Male,Sub,Grp,MER
