term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,-0.0029344636423305156,9.767183629882915e-4,-3.0044112545938617,0.0026609537482052805,8.55384085051946,-0.004848796456826485,-0.0010201308278345454,0.0029344636452559576,0,1123,Female,Dom,Hcrt,MER
Sex,Male - Female,-0.0029344636423305156,9.767183629882915e-4,-3.0044112545938617,0.0026609537482052805,8.55384085051946,-0.004848796456826485,-0.0010201308278345454,0.0029344636452559576,5,1119,Female,Dom,Hcrt,MER
Sex,Male - Female,-0.0029344636423305156,9.767183629882915e-4,-3.0044112545938617,0.0026609537482052805,8.55384085051946,-0.004848796456826485,-0.0010201308278345454,0.0029344636452559576,4,825,Female,Dom,Hcrt,MER
Sex,Male - Female,4.032257999912297e-4,4.0314507614131275e-4,1.0002002352371249,0.3172136154337219,1.6564733992012475,-3.8692402979040096e-4,0.0011933756297728604,6.460387464952011e-12,0,377,Female,Sub,Hcrt,MER
Sex,Male - Female,4.032257999912297e-4,4.0314507614131275e-4,1.0002002352371249,0.3172136154337219,1.6564733992012475,-3.8692402979040096e-4,0.0011933756297728604,6.460387464952011e-12,0,456,Female,Sub,Hcrt,MER
Sex,Male - Female,4.032257999912297e-4,4.0314507614131275e-4,1.0002002352371249,0.3172136154337219,1.6564733992012475,-3.8692402979040096e-4,0.0011933756297728604,6.460387464952011e-12,0,470,Female,Sub,Hcrt,MER
Sex,Male - Female,-0.0029344636423305156,9.767183629882915e-4,-3.0044112545938617,0.0026609537482052805,8.55384085051946,-0.004848796456826485,-0.0010201308278345454,2.925442185739541e-12,0,767,Male,Dom,Hcrt,MER
Sex,Male - Female,-0.0029344636423305156,9.767183629882915e-4,-3.0044112545938617,0.0026609537482052805,8.55384085051946,-0.004848796456826485,-0.0010201308278345454,2.925442185739541e-12,0,1261,Male,Dom,Hcrt,MER
Sex,Male - Female,-0.0029344636423305156,9.767183629882915e-4,-3.0044112545938617,0.0026609537482052805,8.55384085051946,-0.004848796456826485,-0.0010201308278345454,2.925442185739541e-12,0,904,Male,Dom,Hcrt,MER
Sex,Male - Female,4.032257999912297e-4,4.0314507614131275e-4,1.0002002352371249,0.3172136154337219,1.6564733992012475,-3.8692402979040096e-4,0.0011933756297728604,4.0322580645161713e-4,0,864,Male,Sub,Hcrt,MER
Sex,Male - Female,4.032257999912297e-4,4.0314507614131275e-4,1.0002002352371249,0.3172136154337219,1.6564733992012475,-3.8692402979040096e-4,0.0011933756297728604,4.0322580645161713e-4,1,911,Male,Sub,Hcrt,MER
Sex,Male - Female,4.032257999912297e-4,4.0314507614131275e-4,1.0002002352371249,0.3172136154337219,1.6564733992012475,-3.8692402979040096e-4,0.0011933756297728604,4.0322580645161713e-4,0,705,Male,Sub,Hcrt,MER
Status,Sub - Dom,-0.0029344636387955703,9.767183638392449e-4,-3.0044112483571004,0.002660953802758759,8.553840820942083,-0.004848796454959378,-0.0010201308226317621,0.0029344636452559576,0,1123,Female,Dom,Hcrt,MER
Status,Sub - Dom,-0.0029344636387955703,9.767183638392449e-4,-3.0044112483571004,0.002660953802758759,8.553840820942083,-0.004848796454959378,-0.0010201308226317621,0.0029344636452559576,5,1119,Female,Dom,Hcrt,MER
Status,Sub - Dom,-0.0029344636387955703,9.767183638392449e-4,-3.0044112483571004,0.002660953802758759,8.553840820942083,-0.004848796454959378,-0.0010201308226317621,0.0029344636452559576,4,825,Female,Dom,Hcrt,MER
Status,Sub - Dom,-0.0029344636387955703,9.767183638392449e-4,-3.0044112483571004,0.002660953802758759,8.553840820942083,-0.004848796454959378,-0.0010201308226317621,6.460387464952011e-12,0,377,Female,Sub,Hcrt,MER
Status,Sub - Dom,-0.0029344636387955703,9.767183638392449e-4,-3.0044112483571004,0.002660953802758759,8.553840820942083,-0.004848796454959378,-0.0010201308226317621,6.460387464952011e-12,0,456,Female,Sub,Hcrt,MER
Status,Sub - Dom,-0.0029344636387955703,9.767183638392449e-4,-3.0044112483571004,0.002660953802758759,8.553840820942083,-0.004848796454959378,-0.0010201308226317621,6.460387464952011e-12,0,470,Female,Sub,Hcrt,MER
Status,Sub - Dom,4.0322580352617496e-4,4.03145052199397e-4,1.0002003034052815,0.31721358245093206,1.6564735492077651,-3.8692397933016303e-4,0.0011933755863825128,2.925442185739541e-12,0,767,Male,Dom,Hcrt,MER
Status,Sub - Dom,4.0322580352617496e-4,4.03145052199397e-4,1.0002003034052815,0.31721358245093206,1.6564735492077651,-3.8692397933016303e-4,0.0011933755863825128,2.925442185739541e-12,0,1261,Male,Dom,Hcrt,MER
Status,Sub - Dom,4.0322580352617496e-4,4.03145052199397e-4,1.0002003034052815,0.31721358245093206,1.6564735492077651,-3.8692397933016303e-4,0.0011933755863825128,2.925442185739541e-12,0,904,Male,Dom,Hcrt,MER
Status,Sub - Dom,4.0322580352617496e-4,4.03145052199397e-4,1.0002003034052815,0.31721358245093206,1.6564735492077651,-3.8692397933016303e-4,0.0011933755863825128,4.0322580645161713e-4,0,864,Male,Sub,Hcrt,MER
Status,Sub - Dom,4.0322580352617496e-4,4.03145052199397e-4,1.0002003034052815,0.31721358245093206,1.6564735492077651,-3.8692397933016303e-4,0.0011933755863825128,4.0322580645161713e-4,1,911,Male,Sub,Hcrt,MER
Status,Sub - Dom,4.0322580352617496e-4,4.03145052199397e-4,1.0002003034052815,0.31721358245093206,1.6564735492077651,-3.8692397933016303e-4,0.0011933755863825128,4.0322580645161713e-4,0,705,Male,Sub,Hcrt,MER
