term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,-3.260515157436329e-4,3.259983777554028e-4,-1.0001630007750222,0.31723163146063676,1.656391464210574,-9.649965951627057e-4,3.128935636754399e-4,3.2605151613954847e-4,0,1123,Female,Dom,Iapp,MER
Sex,Male - Female,-3.260515157436329e-4,3.259983777554028e-4,-1.0001630007750222,0.31723163146063676,1.656391464210574,-9.649965951627057e-4,3.128935636754399e-4,3.2605151613954847e-4,1,1119,Female,Dom,Iapp,MER
Sex,Male - Female,-3.260515157436329e-4,3.259983777554028e-4,-1.0001630007750222,0.31723163146063676,1.656391464210574,-9.649965951627057e-4,3.128935636754399e-4,3.2605151613954847e-4,0,825,Female,Dom,Iapp,MER
Sex,Male - Female,-4.1369036237119856e-13,1.7753241304040227e-8,-2.3302244096521812e-5,0.999981407499205,2.6823558053876205e-5,-3.4796127255130116e-8,3.479529987440537e-8,8.743183734695075e-13,0,377,Female,Sub,Iapp,MER
Sex,Male - Female,-4.1369036237119856e-13,1.7753241304040227e-8,-2.3302244096521812e-5,0.999981407499205,2.6823558053876205e-5,-3.4796127255130116e-8,3.479529987440537e-8,8.743183734695075e-13,0,456,Female,Sub,Iapp,MER
Sex,Male - Female,-4.1369036237119856e-13,1.7753241304040227e-8,-2.3302244096521812e-5,0.999981407499205,2.6823558053876205e-5,-3.4796127255130116e-8,3.479529987440537e-8,8.743183734695075e-13,0,470,Female,Sub,Iapp,MER
Sex,Male - Female,-3.260515157436329e-4,3.259983777554028e-4,-1.0001630007750222,0.31723163146063676,1.656391464210574,-9.649965951627057e-4,3.128935636754399e-4,3.959155458821069e-13,0,767,Male,Dom,Iapp,MER
Sex,Male - Female,-3.260515157436329e-4,3.259983777554028e-4,-1.0001630007750222,0.31723163146063676,1.656391464210574,-9.649965951627057e-4,3.128935636754399e-4,3.959155458821069e-13,0,1261,Male,Dom,Iapp,MER
Sex,Male - Female,-3.260515157436329e-4,3.259983777554028e-4,-1.0001630007750222,0.31723163146063676,1.656391464210574,-9.649965951627057e-4,3.128935636754399e-4,3.959155458821069e-13,0,904,Male,Dom,Iapp,MER
Sex,Male - Female,-4.1369036237119856e-13,1.7753241304040227e-8,-2.3302244096521812e-5,0.999981407499205,2.6823558053876205e-5,-3.4796127255130116e-8,3.479529987440537e-8,4.606280110983089e-13,0,864,Male,Sub,Iapp,MER
Sex,Male - Female,-4.1369036237119856e-13,1.7753241304040227e-8,-2.3302244096521812e-5,0.999981407499205,2.6823558053876205e-5,-3.4796127255130116e-8,3.479529987440537e-8,4.606280110983089e-13,0,911,Male,Sub,Iapp,MER
Sex,Male - Female,-4.1369036237119856e-13,1.7753241304040227e-8,-2.3302244096521812e-5,0.999981407499205,2.6823558053876205e-5,-3.4796127255130116e-8,3.479529987440537e-8,4.606280110983089e-13,0,705,Male,Sub,Iapp,MER
Status,Sub - Dom,-3.260515152652301e-4,3.2599837822906523e-4,-1.0001629978543254,0.3172316328738527,1.6563914577835994,-9.649965956126643e-4,3.12893565082204e-4,3.2605151613954847e-4,0,1123,Female,Dom,Iapp,MER
Status,Sub - Dom,-3.260515152652301e-4,3.2599837822906523e-4,-1.0001629978543254,0.3172316328738527,1.6563914577835994,-9.649965956126643e-4,3.12893565082204e-4,3.2605151613954847e-4,1,1119,Female,Dom,Iapp,MER
Status,Sub - Dom,-3.260515152652301e-4,3.2599837822906523e-4,-1.0001629978543254,0.3172316328738527,1.6563914577835994,-9.649965956126643e-4,3.12893565082204e-4,3.2605151613954847e-4,0,825,Female,Dom,Iapp,MER
Status,Sub - Dom,-3.260515152652301e-4,3.2599837822906523e-4,-1.0001629978543254,0.3172316328738527,1.6563914577835994,-9.649965956126643e-4,3.12893565082204e-4,8.743183734695075e-13,0,377,Female,Sub,Iapp,MER
Status,Sub - Dom,-3.260515152652301e-4,3.2599837822906523e-4,-1.0001629978543254,0.3172316328738527,1.6563914577835994,-9.649965956126643e-4,3.12893565082204e-4,8.743183734695075e-13,0,456,Female,Sub,Iapp,MER
Status,Sub - Dom,-3.260515152652301e-4,3.2599837822906523e-4,-1.0001629978543254,0.3172316328738527,1.6563914577835994,-9.649965956126643e-4,3.12893565082204e-4,8.743183734695075e-13,0,470,Female,Sub,Iapp,MER
Status,Sub - Dom,6.471246521620202e-14,1.0862992667316589e-8,5.957148936581903e-6,0.9999952468828371,6.857314856444244e-6,-2.129100967979799e-8,2.1291139104728424e-8,3.959155458821069e-13,0,767,Male,Dom,Iapp,MER
Status,Sub - Dom,6.471246521620202e-14,1.0862992667316589e-8,5.957148936581903e-6,0.9999952468828371,6.857314856444244e-6,-2.129100967979799e-8,2.1291139104728424e-8,3.959155458821069e-13,0,1261,Male,Dom,Iapp,MER
Status,Sub - Dom,6.471246521620202e-14,1.0862992667316589e-8,5.957148936581903e-6,0.9999952468828371,6.857314856444244e-6,-2.129100967979799e-8,2.1291139104728424e-8,3.959155458821069e-13,0,904,Male,Dom,Iapp,MER
Status,Sub - Dom,6.471246521620202e-14,1.0862992667316589e-8,5.957148936581903e-6,0.9999952468828371,6.857314856444244e-6,-2.129100967979799e-8,2.1291139104728424e-8,4.606280110983089e-13,0,864,Male,Sub,Iapp,MER
Status,Sub - Dom,6.471246521620202e-14,1.0862992667316589e-8,5.957148936581903e-6,0.9999952468828371,6.857314856444244e-6,-2.129100967979799e-8,2.1291139104728424e-8,4.606280110983089e-13,0,911,Male,Sub,Iapp,MER
Status,Sub - Dom,6.471246521620202e-14,1.0862992667316589e-8,5.957148936581903e-6,0.9999952468828371,6.857314856444244e-6,-2.129100967979799e-8,2.1291139104728424e-8,4.606280110983089e-13,0,705,Male,Sub,Iapp,MER
