term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,3.4106411729029865e-4,3.410060198393203e-4,1.0001703707488967,0.3172280654193081,1.6564076818211355,-3.2729540010612024e-4,0.0010094236346867174,2.7642740750131632e-12,0,1123,Female,Dom,Igf2,MER
Sex,Male - Female,3.4106411729029865e-4,3.410060198393203e-4,1.0001703707488967,0.3172280654193081,1.6564076818211355,-3.2729540010612024e-4,0.0010094236346867174,2.7642740750131632e-12,0,1119,Female,Dom,Igf2,MER
Sex,Male - Female,3.4106411729029865e-4,3.410060198393203e-4,1.0001703707488967,0.3172280654193081,1.6564076818211355,-3.2729540010612024e-4,0.0010094236346867174,2.7642740750131632e-12,0,825,Female,Dom,Igf2,MER
Sex,Male - Female,-3.6423390191369607e-4,8.666418490502046e-4,-0.42028192189527647,0.6742795148019125,0.5685813268856512,-0.0020628207135472945,0.0013343529097199025,7.674597083653105e-4,0,377,Female,Sub,Igf2,MER
Sex,Male - Female,-3.6423390191369607e-4,8.666418490502046e-4,-0.42028192189527647,0.6742795148019125,0.5685813268856512,-0.0020628207135472945,0.0013343529097199025,7.674597083653105e-4,0,456,Female,Sub,Igf2,MER
Sex,Male - Female,-3.6423390191369607e-4,8.666418490502046e-4,-0.42028192189527647,0.6742795148019125,0.5685813268856512,-0.0020628207135472945,0.0013343529097199025,7.674597083653105e-4,1,470,Female,Sub,Igf2,MER
Sex,Male - Female,3.4106411729029865e-4,3.410060198393203e-4,1.0001703707488967,0.3172280654193081,1.6564076818211355,-3.2729540010612024e-4,0.0010094236346867174,3.410641200545727e-4,0,767,Male,Dom,Igf2,MER
Sex,Male - Female,3.4106411729029865e-4,3.410060198393203e-4,1.0001703707488967,0.3172280654193081,1.6564076818211355,-3.2729540010612024e-4,0.0010094236346867174,3.410641200545727e-4,0,1261,Male,Dom,Igf2,MER
Sex,Male - Female,3.4106411729029865e-4,3.410060198393203e-4,1.0001703707488967,0.3172280654193081,1.6564076818211355,-3.2729540010612024e-4,0.0010094236346867174,3.410641200545727e-4,1,904,Male,Dom,Igf2,MER
Sex,Male - Female,-3.6423390191369607e-4,8.666418490502046e-4,-0.42028192189527647,0.6742795148019125,0.5685813268856512,-0.0020628207135472945,0.0013343529097199025,4.032258064516144e-4,0,864,Male,Sub,Igf2,MER
Sex,Male - Female,-3.6423390191369607e-4,8.666418490502046e-4,-0.42028192189527647,0.6742795148019125,0.5685813268856512,-0.0020628207135472945,0.0013343529097199025,4.032258064516144e-4,0,911,Male,Sub,Igf2,MER
Sex,Male - Female,-3.6423390191369607e-4,8.666418490502046e-4,-0.42028192189527647,0.6742795148019125,0.5685813268856512,-0.0020628207135472945,0.0013343529097199025,4.032258064516144e-4,1,705,Male,Sub,Igf2,MER
Status,Sub - Dom,7.674597056010364e-4,7.671653075822598e-4,1.0003837478257516,0.3171248320172419,1.6568772448013998,-7.361566674487852e-4,0.002271076078650858,2.7642740750131632e-12,0,1123,Female,Dom,Igf2,MER
Status,Sub - Dom,7.674597056010364e-4,7.671653075822598e-4,1.0003837478257516,0.3171248320172419,1.6568772448013998,-7.361566674487852e-4,0.002271076078650858,2.7642740750131632e-12,0,1119,Female,Dom,Igf2,MER
Status,Sub - Dom,7.674597056010364e-4,7.671653075822598e-4,1.0003837478257516,0.3171248320172419,1.6568772448013998,-7.361566674487852e-4,0.002271076078650858,2.7642740750131632e-12,0,825,Female,Dom,Igf2,MER
Status,Sub - Dom,7.674597056010364e-4,7.671653075822598e-4,1.0003837478257516,0.3171248320172419,1.6568772448013998,-7.361566674487852e-4,0.002271076078650858,7.674597083653105e-4,0,377,Female,Sub,Igf2,MER
Status,Sub - Dom,7.674597056010364e-4,7.671653075822598e-4,1.0003837478257516,0.3171248320172419,1.6568772448013998,-7.361566674487852e-4,0.002271076078650858,7.674597083653105e-4,0,456,Female,Sub,Igf2,MER
Status,Sub - Dom,7.674597056010364e-4,7.671653075822598e-4,1.0003837478257516,0.3171248320172419,1.6568772448013998,-7.361566674487852e-4,0.002271076078650858,7.674597083653105e-4,1,470,Female,Sub,Igf2,MER
Status,Sub - Dom,6.216168639704172e-5,5.280252168309899e-4,0.11772484422261675,0.9062856808195785,0.14196220428967288,-9.72748721520651e-4,0.0010970720943147343,3.410641200545727e-4,0,767,Male,Dom,Igf2,MER
Status,Sub - Dom,6.216168639704172e-5,5.280252168309899e-4,0.11772484422261675,0.9062856808195785,0.14196220428967288,-9.72748721520651e-4,0.0010970720943147343,3.410641200545727e-4,0,1261,Male,Dom,Igf2,MER
Status,Sub - Dom,6.216168639704172e-5,5.280252168309899e-4,0.11772484422261675,0.9062856808195785,0.14196220428967288,-9.72748721520651e-4,0.0010970720943147343,3.410641200545727e-4,1,904,Male,Dom,Igf2,MER
Status,Sub - Dom,6.216168639704172e-5,5.280252168309899e-4,0.11772484422261675,0.9062856808195785,0.14196220428967288,-9.72748721520651e-4,0.0010970720943147343,4.032258064516144e-4,0,864,Male,Sub,Igf2,MER
Status,Sub - Dom,6.216168639704172e-5,5.280252168309899e-4,0.11772484422261675,0.9062856808195785,0.14196220428967288,-9.72748721520651e-4,0.0010970720943147343,4.032258064516144e-4,0,911,Male,Sub,Igf2,MER
Status,Sub - Dom,6.216168639704172e-5,5.280252168309899e-4,0.11772484422261675,0.9062856808195785,0.14196220428967288,-9.72748721520651e-4,0.0010970720943147343,4.032258064516144e-4,1,705,Male,Sub,Igf2,MER
