term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,2.1811730956694523e-14,9.723606005839693e-9,2.243173051601955e-6,0.9999982102068549,2.582128005441435e-6,-1.9057895759572204e-8,1.9057939383034117e-8,3.741038149261804e-13,0,1123,Female,Dom,Nmb,MER
Sex,Male - Female,2.1811730956694523e-14,9.723606005839693e-9,2.243173051601955e-6,0.9999982102068549,2.582128005441435e-6,-1.9057895759572204e-8,1.9057939383034117e-8,3.741038149261804e-13,0,1119,Female,Dom,Nmb,MER
Sex,Male - Female,2.1811730956694523e-14,9.723606005839693e-9,2.243173051601955e-6,0.9999982102068549,2.582128005441435e-6,-1.9057895759572204e-8,1.9057939383034117e-8,3.741038149261804e-13,0,825,Female,Dom,Nmb,MER
Sex,Male - Female,4.032258055772946e-4,4.0325834407831167e-4,0.9999193110285381,0.317349558176086,1.6558552608301276,-3.871460252814571e-4,0.0011935976364360462,8.743183734735207e-13,0,377,Female,Sub,Nmb,MER
Sex,Male - Female,4.032258055772946e-4,4.0325834407831167e-4,0.9999193110285381,0.317349558176086,1.6558552608301276,-3.871460252814571e-4,0.0011935976364360462,8.743183734735207e-13,0,456,Female,Sub,Nmb,MER
Sex,Male - Female,4.032258055772946e-4,4.0325834407831167e-4,0.9999193110285381,0.317349558176086,1.6558552608301276,-3.871460252814571e-4,0.0011935976364360462,8.743183734735207e-13,0,470,Female,Sub,Nmb,MER
Sex,Male - Female,2.1811730956694523e-14,9.723606005839693e-9,2.243173051601955e-6,0.9999982102068549,2.582128005441435e-6,-1.9057895759572204e-8,1.9057939383034117e-8,3.959155458828749e-13,0,767,Male,Dom,Nmb,MER
Sex,Male - Female,2.1811730956694523e-14,9.723606005839693e-9,2.243173051601955e-6,0.9999982102068549,2.582128005441435e-6,-1.9057895759572204e-8,1.9057939383034117e-8,3.959155458828749e-13,0,1261,Male,Dom,Nmb,MER
Sex,Male - Female,2.1811730956694523e-14,9.723606005839693e-9,2.243173051601955e-6,0.9999982102068549,2.582128005441435e-6,-1.9057895759572204e-8,1.9057939383034117e-8,3.959155458828749e-13,0,904,Male,Dom,Nmb,MER
Sex,Male - Female,4.032258055772946e-4,4.0325834407831167e-4,0.9999193110285381,0.317349558176086,1.6558552608301276,-3.871460252814571e-4,0.0011935976364360462,4.0322580645161296e-4,0,864,Male,Sub,Nmb,MER
Sex,Male - Female,4.032258055772946e-4,4.0325834407831167e-4,0.9999193110285381,0.317349558176086,1.6558552608301276,-3.871460252814571e-4,0.0011935976364360462,4.0322580645161296e-4,0,911,Male,Sub,Nmb,MER
Sex,Male - Female,4.032258055772946e-4,4.0325834407831167e-4,0.9999193110285381,0.317349558176086,1.6558552608301276,-3.871460252814571e-4,0.0011935976364360462,4.0322580645161296e-4,1,705,Male,Sub,Nmb,MER
Status,Sub - Dom,5.002145585473403e-13,1.7079851015213066e-8,2.9286822121679982e-5,0.9999766324967975,3.371257487913403e-5,-3.347539263656893e-8,3.3476393065686026e-8,3.741038149261804e-13,0,1123,Female,Dom,Nmb,MER
Status,Sub - Dom,5.002145585473403e-13,1.7079851015213066e-8,2.9286822121679982e-5,0.9999766324967975,3.371257487913403e-5,-3.347539263656893e-8,3.3476393065686026e-8,3.741038149261804e-13,0,1119,Female,Dom,Nmb,MER
Status,Sub - Dom,5.002145585473403e-13,1.7079851015213066e-8,2.9286822121679982e-5,0.9999766324967975,3.371257487913403e-5,-3.347539263656893e-8,3.3476393065686026e-8,3.741038149261804e-13,0,825,Female,Dom,Nmb,MER
Status,Sub - Dom,5.002145585473403e-13,1.7079851015213066e-8,2.9286822121679982e-5,0.9999766324967975,3.371257487913403e-5,-3.347539263656893e-8,3.3476393065686026e-8,8.743183734735207e-13,0,377,Female,Sub,Nmb,MER
Status,Sub - Dom,5.002145585473403e-13,1.7079851015213066e-8,2.9286822121679982e-5,0.9999766324967975,3.371257487913403e-5,-3.347539263656893e-8,3.3476393065686026e-8,8.743183734735207e-13,0,456,Female,Sub,Nmb,MER
Status,Sub - Dom,5.002145585473403e-13,1.7079851015213066e-8,2.9286822121679982e-5,0.9999766324967975,3.371257487913403e-5,-3.347539263656893e-8,3.3476393065686026e-8,8.743183734735207e-13,0,470,Female,Sub,Nmb,MER
Status,Sub - Dom,4.032258060556974e-4,4.0325849294120346e-4,0.9999189430946199,0.3173497362489596,1.6558544512976325,-3.8714631656896077e-4,0.0011935979286803555,3.959155458828749e-13,0,767,Male,Dom,Nmb,MER
Status,Sub - Dom,4.032258060556974e-4,4.0325849294120346e-4,0.9999189430946199,0.3173497362489596,1.6558544512976325,-3.8714631656896077e-4,0.0011935979286803555,3.959155458828749e-13,0,1261,Male,Dom,Nmb,MER
Status,Sub - Dom,4.032258060556974e-4,4.0325849294120346e-4,0.9999189430946199,0.3173497362489596,1.6558544512976325,-3.8714631656896077e-4,0.0011935979286803555,3.959155458828749e-13,0,904,Male,Dom,Nmb,MER
Status,Sub - Dom,4.032258060556974e-4,4.0325849294120346e-4,0.9999189430946199,0.3173497362489596,1.6558544512976325,-3.8714631656896077e-4,0.0011935979286803555,4.0322580645161296e-4,0,864,Male,Sub,Nmb,MER
Status,Sub - Dom,4.032258060556974e-4,4.0325849294120346e-4,0.9999189430946199,0.3173497362489596,1.6558544512976325,-3.8714631656896077e-4,0.0011935979286803555,4.0322580645161296e-4,0,911,Male,Sub,Nmb,MER
Status,Sub - Dom,4.032258060556974e-4,4.0325849294120346e-4,0.9999189430946199,0.3173497362489596,1.6558544512976325,-3.8714631656896077e-4,0.0011935979286803555,4.0322580645161296e-4,1,705,Male,Sub,Nmb,MER
