term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,2.181173705709767e-14,9.723604585068787e-9,2.2431740067455003e-6,0.9999982102060928,2.582129104859379e-6,-1.9057892974906298e-8,1.9057936598380414e-8,3.7410380882581096e-13,0,1123,Female,Dom,Nms,MER
Sex,Male - Female,2.181173705709767e-14,9.723604585068787e-9,2.2431740067455003e-6,0.9999982102060928,2.582129104859379e-6,-1.9057892974906298e-8,1.9057936598380414e-8,3.7410380882581096e-13,0,1119,Female,Dom,Nms,MER
Sex,Male - Female,2.181173705709767e-14,9.723604585068787e-9,2.2431740067455003e-6,0.9999982102060928,2.582129104859379e-6,-1.9057892974906298e-8,1.9057936598380414e-8,3.7410380882581096e-13,0,825,Female,Dom,Nms,MER
Sex,Male - Female,0.0012096774184805266,6.985952069652369e-4,1.731585625580626,0.08334736736409014,3.5847195592583514,-1.595440269436426e-4,0.0025788988639046957,8.743183734744091e-13,0,377,Female,Sub,Nms,MER
Sex,Male - Female,0.0012096774184805266,6.985952069652369e-4,1.731585625580626,0.08334736736409014,3.5847195592583514,-1.595440269436426e-4,0.0025788988639046957,8.743183734744091e-13,0,456,Female,Sub,Nms,MER
Sex,Male - Female,0.0012096774184805266,6.985952069652369e-4,1.731585625580626,0.08334736736409014,3.5847195592583514,-1.595440269436426e-4,0.0025788988639046957,8.743183734744091e-13,0,470,Female,Sub,Nms,MER
Sex,Male - Female,2.181173705709767e-14,9.723604585068787e-9,2.2431740067455003e-6,0.9999982102060928,2.582129104859379e-6,-1.9057892974906298e-8,1.9057936598380414e-8,3.9591554588290863e-13,0,767,Male,Dom,Nms,MER
Sex,Male - Female,2.181173705709767e-14,9.723604585068787e-9,2.2431740067455003e-6,0.9999982102060928,2.582129104859379e-6,-1.9057892974906298e-8,1.9057936598380414e-8,3.9591554588290863e-13,0,1261,Male,Dom,Nms,MER
Sex,Male - Female,2.181173705709767e-14,9.723604585068787e-9,2.2431740067455003e-6,0.9999982102060928,2.582129104859379e-6,-1.9057892974906298e-8,1.9057936598380414e-8,3.9591554588290863e-13,0,904,Male,Dom,Nms,MER
Sex,Male - Female,0.0012096774184805266,6.985952069652369e-4,1.731585625580626,0.08334736736409014,3.5847195592583514,-1.595440269436426e-4,0.0025788988639046957,0.001209677419354845,0,864,Male,Sub,Nms,MER
Sex,Male - Female,0.0012096774184805266,6.985952069652369e-4,1.731585625580626,0.08334736736409014,3.5847195592583514,-1.595440269436426e-4,0.0025788988639046957,0.001209677419354845,2,911,Male,Sub,Nms,MER
Sex,Male - Female,0.0012096774184805266,6.985952069652369e-4,1.731585625580626,0.08334736736409014,3.5847195592583514,-1.595440269436426e-4,0.0025788988639046957,0.001209677419354845,1,705,Male,Sub,Nms,MER
Status,Sub - Dom,5.002145646485982e-13,1.7079856231644372e-8,2.9286813534286978e-5,0.9999766325036492,3.3712564993929705e-5,-3.3475402860580316e-8,3.3476403289709614e-8,3.7410380882581096e-13,0,1123,Female,Dom,Nms,MER
Status,Sub - Dom,5.002145646485982e-13,1.7079856231644372e-8,2.9286813534286978e-5,0.9999766325036492,3.3712564993929705e-5,-3.3475402860580316e-8,3.3476403289709614e-8,3.7410380882581096e-13,0,1119,Female,Dom,Nms,MER
Status,Sub - Dom,5.002145646485982e-13,1.7079856231644372e-8,2.9286813534286978e-5,0.9999766325036492,3.3712564993929705e-5,-3.3475402860580316e-8,3.3476403289709614e-8,3.7410380882581096e-13,0,825,Female,Dom,Nms,MER
Status,Sub - Dom,5.002145646485982e-13,1.7079856231644372e-8,2.9286813534286978e-5,0.9999766325036492,3.3712564993929705e-5,-3.3475402860580316e-8,3.3476403289709614e-8,8.743183734744091e-13,0,377,Female,Sub,Nms,MER
Status,Sub - Dom,5.002145646485982e-13,1.7079856231644372e-8,2.9286813534286978e-5,0.9999766325036492,3.3712564993929705e-5,-3.3475402860580316e-8,3.3476403289709614e-8,8.743183734744091e-13,0,456,Female,Sub,Nms,MER
Status,Sub - Dom,5.002145646485982e-13,1.7079856231644372e-8,2.9286813534286978e-5,0.9999766325036492,3.3712564993929705e-5,-3.3475402860580316e-8,3.3476403289709614e-8,8.743183734744091e-13,0,470,Female,Sub,Nms,MER
Status,Sub - Dom,0.0012096774189589295,6.985958014289194e-4,1.7315841527885443,0.08334762978002605,3.5847150169964257,-1.5954519159264743e-4,0.0025789000295105063,3.9591554588290863e-13,0,767,Male,Dom,Nms,MER
Status,Sub - Dom,0.0012096774189589295,6.985958014289194e-4,1.7315841527885443,0.08334762978002605,3.5847150169964257,-1.5954519159264743e-4,0.0025789000295105063,3.9591554588290863e-13,0,1261,Male,Dom,Nms,MER
Status,Sub - Dom,0.0012096774189589295,6.985958014289194e-4,1.7315841527885443,0.08334762978002605,3.5847150169964257,-1.5954519159264743e-4,0.0025789000295105063,3.9591554588290863e-13,0,904,Male,Dom,Nms,MER
Status,Sub - Dom,0.0012096774189589295,6.985958014289194e-4,1.7315841527885443,0.08334762978002605,3.5847150169964257,-1.5954519159264743e-4,0.0025789000295105063,0.001209677419354845,0,864,Male,Sub,Nms,MER
Status,Sub - Dom,0.0012096774189589295,6.985958014289194e-4,1.7315841527885443,0.08334762978002605,3.5847150169964257,-1.5954519159264743e-4,0.0025789000295105063,0.001209677419354845,2,911,Male,Sub,Nms,MER
Status,Sub - Dom,0.0012096774189589295,6.985958014289194e-4,1.7315841527885443,0.08334762978002605,3.5847150169964257,-1.5954519159264743e-4,0.0025789000295105063,0.001209677419354845,1,705,Male,Sub,Nms,MER
