term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.0010231923591467887,5.904384628049969e-4,1.732936493137502,0.08310695709694264,3.58888693601453,-1.3404576303819725e-4,0.0021804304813317745,1.0169195964839648e-12,0,1123,Female,Dom,Nmu,MER
Sex,Male - Female,0.0010231923591467887,5.904384628049969e-4,1.732936493137502,0.08310695709694264,3.58888693601453,-1.3404576303819725e-4,0.0021804304813317745,1.0169195964839648e-12,0,1119,Female,Dom,Nmu,MER
Sex,Male - Female,0.0010231923591467887,5.904384628049969e-4,1.732936493137502,0.08310695709694264,3.58888693601453,-1.3404576303819725e-4,0.0021804304813317745,1.0169195964839648e-12,0,825,Female,Dom,Nmu,MER
Sex,Male - Female,-7.674597071131964e-4,7.671653940176752e-4,-1.0003836370850616,0.31712488558868895,1.656877001088998,-0.0022710762495733194,7.361568353469266e-4,7.674597083653132e-4,0,377,Female,Sub,Nmu,MER
Sex,Male - Female,-7.674597071131964e-4,7.671653940176752e-4,-1.0003836370850616,0.31712488558868895,1.656877001088998,-0.0022710762495733194,7.361568353469266e-4,7.674597083653132e-4,0,456,Female,Sub,Nmu,MER
Sex,Male - Female,-7.674597071131964e-4,7.671653940176752e-4,-1.0003836370850616,0.31712488558868895,1.656877001088998,-0.0022710762495733194,7.361568353469266e-4,7.674597083653132e-4,1,470,Female,Sub,Nmu,MER
Sex,Male - Female,0.0010231923591467887,5.904384628049969e-4,1.732936493137502,0.08310695709694264,3.58888693601453,-1.3404576303819725e-4,0.0021804304813317745,0.0010231923601637083,1,767,Male,Dom,Nmu,MER
Sex,Male - Female,0.0010231923591467887,5.904384628049969e-4,1.732936493137502,0.08310695709694264,3.58888693601453,-1.3404576303819725e-4,0.0021804304813317745,0.0010231923601637083,1,1261,Male,Dom,Nmu,MER
Sex,Male - Female,0.0010231923591467887,5.904384628049969e-4,1.732936493137502,0.08310695709694264,3.58888693601453,-1.3404576303819725e-4,0.0021804304813317745,0.0010231923601637083,1,904,Male,Dom,Nmu,MER
Sex,Male - Female,-7.674597071131964e-4,7.671653940176752e-4,-1.0003836370850616,0.31712488558868895,1.656877001088998,-0.0022710762495733194,7.361568353469266e-4,1.2521167522464976e-12,0,864,Male,Sub,Nmu,MER
Sex,Male - Female,-7.674597071131964e-4,7.671653940176752e-4,-1.0003836370850616,0.31712488558868895,1.656877001088998,-0.0022710762495733194,7.361568353469266e-4,1.2521167522464976e-12,0,911,Male,Sub,Nmu,MER
Sex,Male - Female,-7.674597071131964e-4,7.671653940176752e-4,-1.0003836370850616,0.31712488558868895,1.656877001088998,-0.0022710762495733194,7.361568353469266e-4,1.2521167522464976e-12,0,705,Male,Sub,Nmu,MER
Status,Sub - Dom,7.674597073483936e-4,7.671653876040092e-4,1.0003836457550614,0.3171248813945264,1.656877020169486,-7.36156822541175e-4,0.0022710762372379623,1.0169195964839648e-12,0,1123,Female,Dom,Nmu,MER
Status,Sub - Dom,7.674597073483936e-4,7.671653876040092e-4,1.0003836457550614,0.3171248813945264,1.656877020169486,-7.36156822541175e-4,0.0022710762372379623,1.0169195964839648e-12,0,1119,Female,Dom,Nmu,MER
Status,Sub - Dom,7.674597073483936e-4,7.671653876040092e-4,1.0003836457550614,0.3171248813945264,1.656877020169486,-7.36156822541175e-4,0.0022710762372379623,1.0169195964839648e-12,0,825,Female,Dom,Nmu,MER
Status,Sub - Dom,7.674597073483936e-4,7.671653876040092e-4,1.0003836457550614,0.3171248813945264,1.656877020169486,-7.36156822541175e-4,0.0022710762372379623,7.674597083653132e-4,0,377,Female,Sub,Nmu,MER
Status,Sub - Dom,7.674597073483936e-4,7.671653876040092e-4,1.0003836457550614,0.3171248813945264,1.656877020169486,-7.36156822541175e-4,0.0022710762372379623,7.674597083653132e-4,0,456,Female,Sub,Nmu,MER
Status,Sub - Dom,7.674597073483936e-4,7.671653876040092e-4,1.0003836457550614,0.3171248813945264,1.656877020169486,-7.36156822541175e-4,0.0022710762372379623,7.674597083653132e-4,1,470,Female,Sub,Nmu,MER
Status,Sub - Dom,-0.0010231923589115917,5.904384727922569e-4,-1.7329364634265578,0.08310696237833463,3.58888684433222,-0.0021804305006712476,1.3404578284806432e-4,0.0010231923601637083,1,767,Male,Dom,Nmu,MER
Status,Sub - Dom,-0.0010231923589115917,5.904384727922569e-4,-1.7329364634265578,0.08310696237833463,3.58888684433222,-0.0021804305006712476,1.3404578284806432e-4,0.0010231923601637083,1,1261,Male,Dom,Nmu,MER
Status,Sub - Dom,-0.0010231923589115917,5.904384727922569e-4,-1.7329364634265578,0.08310696237833463,3.58888684433222,-0.0021804305006712476,1.3404578284806432e-4,0.0010231923601637083,1,904,Male,Dom,Nmu,MER
Status,Sub - Dom,-0.0010231923589115917,5.904384727922569e-4,-1.7329364634265578,0.08310696237833463,3.58888684433222,-0.0021804305006712476,1.3404578284806432e-4,1.2521167522464976e-12,0,864,Male,Sub,Nmu,MER
Status,Sub - Dom,-0.0010231923589115917,5.904384727922569e-4,-1.7329364634265578,0.08310696237833463,3.58888684433222,-0.0021804305006712476,1.3404578284806432e-4,1.2521167522464976e-12,0,911,Male,Sub,Nmu,MER
Status,Sub - Dom,-0.0010231923589115917,5.904384727922569e-4,-1.7329364634265578,0.08310696237833463,3.58888684433222,-0.0021804305006712476,1.3404578284806432e-4,1.2521167522464976e-12,0,705,Male,Sub,Nmu,MER
