term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,3.410641190376519e-4,3.4100607255588814e-4,1.0001702212553831,0.31722813775309533,1.6564073528603795,-3.2729550168134123e-4,0.001009423739756645,1.0169196152560295e-12,0,1123,Female,Dom,Npb,MER
Sex,Male - Female,3.410641190376519e-4,3.4100607255588814e-4,1.0001702212553831,0.31722813775309533,1.6564073528603795,-3.2729550168134123e-4,0.001009423739756645,1.0169196152560295e-12,0,1119,Female,Dom,Npb,MER
Sex,Male - Female,3.410641190376519e-4,3.4100607255588814e-4,1.0001702212553831,0.31722813775309533,1.6564073528603795,-3.2729550168134123e-4,0.001009423739756645,1.0169196152560295e-12,0,825,Female,Dom,Npb,MER
Sex,Male - Female,4.032258040749707e-4,4.031445537242404e-4,1.0002015414817829,0.31721298341478016,1.6564762736412366,-3.869230017880132e-4,0.0011933746099379546,2.3766437180917365e-12,0,377,Female,Sub,Npb,MER
Sex,Male - Female,4.032258040749707e-4,4.031445537242404e-4,1.0002015414817829,0.31721298341478016,1.6564762736412366,-3.869230017880132e-4,0.0011933746099379546,2.3766437180917365e-12,0,456,Female,Sub,Npb,MER
Sex,Male - Female,4.032258040749707e-4,4.031445537242404e-4,1.0002015414817829,0.31721298341478016,1.6564762736412366,-3.869230017880132e-4,0.0011933746099379546,2.3766437180917365e-12,0,470,Female,Sub,Npb,MER
Sex,Male - Female,3.410641190376519e-4,3.4100607255588814e-4,1.0001702212553831,0.31722813775309533,1.6564073528603795,-3.2729550168134123e-4,0.001009423739756645,3.410641200545715e-4,0,767,Male,Dom,Npb,MER
Sex,Male - Female,3.410641190376519e-4,3.4100607255588814e-4,1.0001702212553831,0.31722813775309533,1.6564073528603795,-3.2729550168134123e-4,0.001009423739756645,3.410641200545715e-4,0,1261,Male,Dom,Npb,MER
Sex,Male - Female,3.410641190376519e-4,3.4100607255588814e-4,1.0001702212553831,0.31722813775309533,1.6564073528603795,-3.2729550168134123e-4,0.001009423739756645,3.410641200545715e-4,1,904,Male,Dom,Npb,MER
Sex,Male - Female,4.032258040749707e-4,4.031445537242404e-4,1.0002015414817829,0.31721298341478016,1.6564762736412366,-3.869230017880132e-4,0.0011933746099379546,4.032258064516144e-4,0,864,Male,Sub,Npb,MER
Sex,Male - Female,4.032258040749707e-4,4.031445537242404e-4,1.0002015414817829,0.31721298341478016,1.6564762736412366,-3.869230017880132e-4,0.0011933746099379546,4.032258064516144e-4,0,911,Male,Sub,Npb,MER
Sex,Male - Female,4.032258040749707e-4,4.031445537242404e-4,1.0002015414817829,0.31721298341478016,1.6564762736412366,-3.869230017880132e-4,0.0011933746099379546,4.032258064516144e-4,1,705,Male,Sub,Npb,MER
Status,Sub - Dom,1.359724102835707e-12,2.8159923927832112e-8,4.828578750142899e-5,0.9999614735156613,5.558303861468467e-5,-5.5191076981835785e-08,5.519379643004146e-8,1.0169196152560295e-12,0,1123,Female,Dom,Npb,MER
Status,Sub - Dom,1.359724102835707e-12,2.8159923927832112e-8,4.828578750142899e-5,0.9999614735156613,5.558303861468467e-5,-5.5191076981835785e-08,5.519379643004146e-8,1.0169196152560295e-12,0,1119,Female,Dom,Npb,MER
Status,Sub - Dom,1.359724102835707e-12,2.8159923927832112e-8,4.828578750142899e-5,0.9999614735156613,5.558303861468467e-5,-5.5191076981835785e-08,5.519379643004146e-8,1.0169196152560295e-12,0,825,Female,Dom,Npb,MER
Status,Sub - Dom,1.359724102835707e-12,2.8159923927832112e-8,4.828578750142899e-5,0.9999614735156613,5.558303861468467e-5,-5.5191076981835785e-08,5.519379643004146e-8,2.3766437180917365e-12,0,377,Female,Sub,Npb,MER
Status,Sub - Dom,1.359724102835707e-12,2.8159923927832112e-8,4.828578750142899e-5,0.9999614735156613,5.558303861468467e-5,-5.5191076981835785e-08,5.519379643004146e-8,2.3766437180917365e-12,0,456,Female,Sub,Npb,MER
Status,Sub - Dom,1.359724102835707e-12,2.8159923927832112e-8,4.828578750142899e-5,0.9999614735156613,5.558303861468467e-5,-5.5191076981835785e-08,5.519379643004146e-8,2.3766437180917365e-12,0,470,Female,Sub,Npb,MER
Status,Sub - Dom,6.216168639704291e-5,5.280252510356694e-4,0.11772483659658114,0.9062856868622561,0.14196219467047538,-9.727487885605897e-4,0.0010970721613546756,3.410641200545715e-4,0,767,Male,Dom,Npb,MER
Status,Sub - Dom,6.216168639704291e-5,5.280252510356694e-4,0.11772483659658114,0.9062856868622561,0.14196219467047538,-9.727487885605897e-4,0.0010970721613546756,3.410641200545715e-4,0,1261,Male,Dom,Npb,MER
Status,Sub - Dom,6.216168639704291e-5,5.280252510356694e-4,0.11772483659658114,0.9062856868622561,0.14196219467047538,-9.727487885605897e-4,0.0010970721613546756,3.410641200545715e-4,1,904,Male,Dom,Npb,MER
Status,Sub - Dom,6.216168639704291e-5,5.280252510356694e-4,0.11772483659658114,0.9062856868622561,0.14196219467047538,-9.727487885605897e-4,0.0010970721613546756,4.032258064516144e-4,0,864,Male,Sub,Npb,MER
Status,Sub - Dom,6.216168639704291e-5,5.280252510356694e-4,0.11772483659658114,0.9062856868622561,0.14196219467047538,-9.727487885605897e-4,0.0010970721613546756,4.032258064516144e-4,0,911,Male,Sub,Npb,MER
Status,Sub - Dom,6.216168639704291e-5,5.280252510356694e-4,0.11772483659658114,0.9062856868622561,0.14196219467047538,-9.727487885605897e-4,0.0010970721613546756,4.032258064516144e-4,1,705,Male,Sub,Npb,MER
