term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,3.4106411903765194e-4,3.4100607675086243e-4,1.0001702089515312,0.31722814370642577,1.6564073257857312,-3.272955099033397e-4,0.0010094237479786436,1.0169195935118677e-12,0,1123,Female,Dom,Npff,MER
Sex,Male - Female,3.4106411903765194e-4,3.4100607675086243e-4,1.0001702089515312,0.31722814370642577,1.6564073257857312,-3.272955099033397e-4,0.0010094237479786436,1.0169195935118677e-12,0,1119,Female,Dom,Npff,MER
Sex,Male - Female,3.4106411903765194e-4,3.4100607675086243e-4,1.0001702089515312,0.31722814370642577,1.6564073257857312,-3.272955099033397e-4,0.0010094237479786436,1.0169195935118677e-12,0,825,Female,Dom,Npff,MER
Sex,Male - Female,-7.674597071131937e-4,7.671654182894533e-4,-1.0003836054346618,0.31712490089975337,1.6568769314344323,-0.0022710762971451274,7.361568829187401e-4,7.674597083653105e-4,0,377,Female,Sub,Npff,MER
Sex,Male - Female,-7.674597071131937e-4,7.671654182894533e-4,-1.0003836054346618,0.31712490089975337,1.6568769314344323,-0.0022710762971451274,7.361568829187401e-4,7.674597083653105e-4,0,456,Female,Sub,Npff,MER
Sex,Male - Female,-7.674597071131937e-4,7.671654182894533e-4,-1.0003836054346618,0.31712490089975337,1.6568769314344323,-0.0022710762971451274,7.361568829187401e-4,7.674597083653105e-4,1,470,Female,Sub,Npff,MER
Sex,Male - Female,3.4106411903765194e-4,3.4100607675086243e-4,1.0001702089515312,0.31722814370642577,1.6564073257857312,-3.272955099033397e-4,0.0010094237479786436,3.410641200545715e-4,0,767,Male,Dom,Npff,MER
Sex,Male - Female,3.4106411903765194e-4,3.4100607675086243e-4,1.0001702089515312,0.31722814370642577,1.6564073257857312,-3.272955099033397e-4,0.0010094237479786436,3.410641200545715e-4,1,1261,Male,Dom,Npff,MER
Sex,Male - Female,3.4106411903765194e-4,3.4100607675086243e-4,1.0001702089515312,0.31722814370642577,1.6564073257857312,-3.272955099033397e-4,0.0010094237479786436,3.410641200545715e-4,0,904,Male,Dom,Npff,MER
Sex,Male - Female,-7.674597071131937e-4,7.671654182894533e-4,-1.0003836054346618,0.31712490089975337,1.6568769314344323,-0.0022710762971451274,7.361568829187401e-4,1.2521167522473652e-12,0,864,Male,Sub,Npff,MER
Sex,Male - Female,-7.674597071131937e-4,7.671654182894533e-4,-1.0003836054346618,0.31712490089975337,1.6568769314344323,-0.0022710762971451274,7.361568829187401e-4,1.2521167522473652e-12,0,911,Male,Sub,Npff,MER
Sex,Male - Female,-7.674597071131937e-4,7.671654182894533e-4,-1.0003836054346618,0.31712490089975337,1.6568769314344323,-0.0022710762971451274,7.361568829187401e-4,1.2521167522473652e-12,0,705,Male,Sub,Npff,MER
Status,Sub - Dom,7.674597073483909e-4,7.671654043495543e-4,1.0003836239188681,0.3171248919579114,1.6568769721135188,-7.36156855361843e-4,0.0022710762700586247,1.0169195935118677e-12,0,1123,Female,Dom,Npff,MER
Status,Sub - Dom,7.674597073483909e-4,7.671654043495543e-4,1.0003836239188681,0.3171248919579114,1.6568769721135188,-7.36156855361843e-4,0.0022710762700586247,1.0169195935118677e-12,0,1119,Female,Dom,Npff,MER
Status,Sub - Dom,7.674597073483909e-4,7.671654043495543e-4,1.0003836239188681,0.3171248919579114,1.6568769721135188,-7.36156855361843e-4,0.0022710762700586247,1.0169195935118677e-12,0,825,Female,Dom,Npff,MER
Status,Sub - Dom,7.674597073483909e-4,7.671654043495543e-4,1.0003836239188681,0.3171248919579114,1.6568769721135188,-7.36156855361843e-4,0.0022710762700586247,7.674597083653105e-4,0,377,Female,Sub,Npff,MER
Status,Sub - Dom,7.674597073483909e-4,7.671654043495543e-4,1.0003836239188681,0.3171248919579114,1.6568769721135188,-7.36156855361843e-4,0.0022710762700586247,7.674597083653105e-4,0,456,Female,Sub,Npff,MER
Status,Sub - Dom,7.674597073483909e-4,7.671654043495543e-4,1.0003836239188681,0.3171248919579114,1.6568769721135188,-7.36156855361843e-4,0.0022710762700586247,7.674597083653105e-4,1,470,Female,Sub,Npff,MER
Status,Sub - Dom,-3.4106411880245477e-4,3.4100608479244627e-4,-1.0001701846758653,0.31722815545242716,1.6564072723670862,-0.0010094237635046611,3.2729552589975155e-4,3.410641200545715e-4,0,767,Male,Dom,Npff,MER
Status,Sub - Dom,-3.4106411880245477e-4,3.4100608479244627e-4,-1.0001701846758653,0.31722815545242716,1.6564072723670862,-0.0010094237635046611,3.2729552589975155e-4,3.410641200545715e-4,1,1261,Male,Dom,Npff,MER
Status,Sub - Dom,-3.4106411880245477e-4,3.4100608479244627e-4,-1.0001701846758653,0.31722815545242716,1.6564072723670862,-0.0010094237635046611,3.2729552589975155e-4,3.410641200545715e-4,0,904,Male,Dom,Npff,MER
Status,Sub - Dom,-3.4106411880245477e-4,3.4100608479244627e-4,-1.0001701846758653,0.31722815545242716,1.6564072723670862,-0.0010094237635046611,3.2729552589975155e-4,1.2521167522473652e-12,0,864,Male,Sub,Npff,MER
Status,Sub - Dom,-3.4106411880245477e-4,3.4100608479244627e-4,-1.0001701846758653,0.31722815545242716,1.6564072723670862,-0.0010094237635046611,3.2729552589975155e-4,1.2521167522473652e-12,0,911,Male,Sub,Npff,MER
Status,Sub - Dom,-3.4106411880245477e-4,3.4100608479244627e-4,-1.0001701846758653,0.31722815545242716,1.6564072723670862,-0.0010094237635046611,3.2729552589975155e-4,1.2521167522473652e-12,0,705,Male,Sub,Npff,MER
