term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,2.1811734121814905e-14,9.723606024494385e-9,2.243173372807347e-6,0.9999982102065986,2.582128375117515e-6,-1.9057895796131562e-8,1.9057939419599808e-8,3.74103811760683e-13,0,1123,Female,Dom,Nppc,MER
Sex,Male - Female,2.1811734121814905e-14,9.723606024494385e-9,2.243173372807347e-6,0.9999982102065986,2.582128375117515e-6,-1.9057895796131562e-8,1.9057939419599808e-8,3.74103811760683e-13,0,1119,Female,Dom,Nppc,MER
Sex,Male - Female,2.1811734121814905e-14,9.723606024494385e-9,2.243173372807347e-6,0.9999982102065986,2.582128375117515e-6,-1.9057895796131562e-8,1.9057939419599808e-8,3.74103811760683e-13,0,825,Female,Dom,Nppc,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656436016966e-4,-1.000383312659321,0.31712504253154533,1.6568762871096325,-0.002271076739540501,7.361573237311306e-4,7.674597083653132e-4,1,377,Female,Sub,Nppc,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656436016966e-4,-1.000383312659321,0.31712504253154533,1.6568762871096325,-0.002271076739540501,7.361573237311306e-4,7.674597083653132e-4,0,456,Female,Sub,Nppc,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656436016966e-4,-1.000383312659321,0.31712504253154533,1.6568762871096325,-0.002271076739540501,7.361573237311306e-4,7.674597083653132e-4,0,470,Female,Sub,Nppc,MER
Sex,Male - Female,2.1811734121814905e-14,9.723606024494385e-9,2.243173372807347e-6,0.9999982102065986,2.582128375117515e-6,-1.9057895796131562e-8,1.9057939419599808e-8,3.959155458824979e-13,0,767,Male,Dom,Nppc,MER
Sex,Male - Female,2.1811734121814905e-14,9.723606024494385e-9,2.243173372807347e-6,0.9999982102065986,2.582128375117515e-6,-1.9057895796131562e-8,1.9057939419599808e-8,3.959155458824979e-13,0,1261,Male,Dom,Nppc,MER
Sex,Male - Female,2.1811734121814905e-14,9.723606024494385e-9,2.243173372807347e-6,0.9999982102065986,2.582128375117515e-6,-1.9057895796131562e-8,1.9057939419599808e-8,3.959155458824979e-13,0,904,Male,Dom,Nppc,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656436016966e-4,-1.000383312659321,0.31712504253154533,1.6568762871096325,-0.002271076739540501,7.361573237311306e-4,4.606280110982369e-13,0,864,Male,Sub,Nppc,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656436016966e-4,-1.000383312659321,0.31712504253154533,1.6568762871096325,-0.002271076739540501,7.361573237311306e-4,4.606280110982369e-13,0,911,Male,Sub,Nppc,MER
Sex,Male - Female,-7.674597079046851e-4,7.671656436016966e-4,-1.000383312659321,0.31712504253154533,1.6568762871096325,-0.002271076739540501,7.361573237311306e-4,4.606280110982369e-13,0,705,Male,Sub,Nppc,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656434232076e-4,1.0003833130048545,0.3171250423643914,1.6568762878700651,-7.361573232947745e-4,0.002271076739277193,3.74103811760683e-13,0,1123,Female,Dom,Nppc,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656434232076e-4,1.0003833130048545,0.3171250423643914,1.6568762878700651,-7.361573232947745e-4,0.002271076739277193,3.74103811760683e-13,0,1119,Female,Dom,Nppc,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656434232076e-4,1.0003833130048545,0.3171250423643914,1.6568762878700651,-7.361573232947745e-4,0.002271076739277193,3.74103811760683e-13,0,825,Female,Dom,Nppc,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656434232076e-4,1.0003833130048545,0.3171250423643914,1.6568762878700651,-7.361573232947745e-4,0.002271076739277193,7.674597083653132e-4,1,377,Female,Sub,Nppc,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656434232076e-4,1.0003833130048545,0.3171250423643914,1.6568762878700651,-7.361573232947745e-4,0.002271076739277193,7.674597083653132e-4,0,456,Female,Sub,Nppc,MER
Status,Sub - Dom,7.674597079912093e-4,7.671656434232076e-4,1.0003833130048545,0.3171250423643914,1.6568762878700651,-7.361573232947745e-4,0.002271076739277193,7.674597083653132e-4,0,470,Female,Sub,Nppc,MER
Status,Sub - Dom,6.4712465215739006e-14,1.0862993345702317e-8,5.957148564519829e-6,0.999995246883134,6.857314428144084e-6,-2.1291011009409582e-8,2.1291140434340016e-8,3.959155458824979e-13,0,767,Male,Dom,Nppc,MER
Status,Sub - Dom,6.4712465215739006e-14,1.0862993345702317e-8,5.957148564519829e-6,0.999995246883134,6.857314428144084e-6,-2.1291011009409582e-8,2.1291140434340016e-8,3.959155458824979e-13,0,1261,Male,Dom,Nppc,MER
Status,Sub - Dom,6.4712465215739006e-14,1.0862993345702317e-8,5.957148564519829e-6,0.999995246883134,6.857314428144084e-6,-2.1291011009409582e-8,2.1291140434340016e-8,3.959155458824979e-13,0,904,Male,Dom,Nppc,MER
Status,Sub - Dom,6.4712465215739006e-14,1.0862993345702317e-8,5.957148564519829e-6,0.999995246883134,6.857314428144084e-6,-2.1291011009409582e-8,2.1291140434340016e-8,4.606280110982369e-13,0,864,Male,Sub,Nppc,MER
Status,Sub - Dom,6.4712465215739006e-14,1.0862993345702317e-8,5.957148564519829e-6,0.999995246883134,6.857314428144084e-6,-2.1291011009409582e-8,2.1291140434340016e-8,4.606280110982369e-13,0,911,Male,Sub,Nppc,MER
Status,Sub - Dom,6.4712465215739006e-14,1.0862993345702317e-8,5.957148564519829e-6,0.999995246883134,6.857314428144084e-6,-2.1291011009409582e-8,2.1291140434340016e-8,4.606280110982369e-13,0,705,Male,Sub,Nppc,MER
