term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.0054870511283441345,0.0015144187940072233,3.623205912431356,2.909739986123302e-4,11.746822139642811,0.0025188448345793944,0.008455257422108875,6.521030326381345e-4,0,1123,Female,Dom,Npy,MER
Sex,Male - Female,0.0054870511283441345,0.0015144187940072233,3.623205912431356,2.909739986123302e-4,11.746822139642811,0.0025188448345793944,0.008455257422108875,6.521030326381345e-4,0,1119,Female,Dom,Npy,MER
Sex,Male - Female,0.0054870511283441345,0.0015144187940072233,3.623205912431356,2.909739986123302e-4,11.746822139642811,0.0025188448345793944,0.008455257422108875,6.521030326381345e-4,2,825,Female,Dom,Npy,MER
Sex,Male - Female,5.202015200652952e-4,0.0017023041724968245,0.30558670328716797,0.7599193457201169,0.3960817890999854,-0.00281625334876074,0.00385665638889133,0.0023023791250959967,2,377,Female,Sub,Npy,MER
Sex,Male - Female,5.202015200652952e-4,0.0017023041724968245,0.30558670328716797,0.7599193457201169,0.3960817890999854,-0.00281625334876074,0.00385665638889133,0.0023023791250959967,1,456,Female,Sub,Npy,MER
Sex,Male - Female,5.202015200652952e-4,0.0017023041724968245,0.30558670328716797,0.7599193457201169,0.3960817890999854,-0.00281625334876074,0.00385665638889133,0.0023023791250959967,0,470,Female,Sub,Npy,MER
Sex,Male - Female,0.0054870511283441345,0.0015144187940072233,3.623205912431356,2.909739986123302e-4,11.746822139642811,0.0025188448345793944,0.008455257422108875,0.006139154160982269,3,767,Male,Dom,Npy,MER
Sex,Male - Female,0.0054870511283441345,0.0015144187940072233,3.623205912431356,2.909739986123302e-4,11.746822139642811,0.0025188448345793944,0.008455257422108875,0.006139154160982269,10,1261,Male,Dom,Npy,MER
Sex,Male - Female,0.0054870511283441345,0.0015144187940072233,3.623205912431356,2.909739986123302e-4,11.746822139642811,0.0025188448345793944,0.008455257422108875,0.006139154160982269,5,904,Male,Dom,Npy,MER
Sex,Male - Female,5.202015200652952e-4,0.0017023041724968245,0.30558670328716797,0.7599193457201169,0.3960817890999854,-0.00281625334876074,0.00385665638889133,0.002822580645161292,5,864,Male,Sub,Npy,MER
Sex,Male - Female,5.202015200652952e-4,0.0017023041724968245,0.30558670328716797,0.7599193457201169,0.3960817890999854,-0.00281625334876074,0.00385665638889133,0.002822580645161292,1,911,Male,Sub,Npy,MER
Sex,Male - Female,5.202015200652952e-4,0.0017023041724968245,0.30558670328716797,0.7599193457201169,0.3960817890999854,-0.00281625334876074,0.00385665638889133,0.002822580645161292,1,705,Male,Sub,Npy,MER
Status,Sub - Dom,0.0016502760924578621,0.001405484974171932,1.1741684349419341,0.24032756653550977,2.0569259540221965,-0.001104423837731332,0.004404976022647056,6.521030326381345e-4,0,1123,Female,Dom,Npy,MER
Status,Sub - Dom,0.0016502760924578621,0.001405484974171932,1.1741684349419341,0.24032756653550977,2.0569259540221965,-0.001104423837731332,0.004404976022647056,6.521030326381345e-4,0,1119,Female,Dom,Npy,MER
Status,Sub - Dom,0.0016502760924578621,0.001405484974171932,1.1741684349419341,0.24032756653550977,2.0569259540221965,-0.001104423837731332,0.004404976022647056,6.521030326381345e-4,2,825,Female,Dom,Npy,MER
Status,Sub - Dom,0.0016502760924578621,0.001405484974171932,1.1741684349419341,0.24032756653550977,2.0569259540221965,-0.001104423837731332,0.004404976022647056,0.0023023791250959967,2,377,Female,Sub,Npy,MER
Status,Sub - Dom,0.0016502760924578621,0.001405484974171932,1.1741684349419341,0.24032756653550977,2.0569259540221965,-0.001104423837731332,0.004404976022647056,0.0023023791250959967,1,456,Female,Sub,Npy,MER
Status,Sub - Dom,0.0016502760924578621,0.001405484974171932,1.1741684349419341,0.24032756653550977,2.0569259540221965,-0.001104423837731332,0.004404976022647056,0.0023023791250959967,0,470,Female,Sub,Npy,MER
Status,Sub - Dom,-0.0033165735158209773,0.0017932974656716682,-1.8494274259060393,0.06439611827019061,3.956882462943036,-0.006831371962104401,1.982249304624457e-4,0.006139154160982269,3,767,Male,Dom,Npy,MER
Status,Sub - Dom,-0.0033165735158209773,0.0017932974656716682,-1.8494274259060393,0.06439611827019061,3.956882462943036,-0.006831371962104401,1.982249304624457e-4,0.006139154160982269,10,1261,Male,Dom,Npy,MER
Status,Sub - Dom,-0.0033165735158209773,0.0017932974656716682,-1.8494274259060393,0.06439611827019061,3.956882462943036,-0.006831371962104401,1.982249304624457e-4,0.006139154160982269,5,904,Male,Dom,Npy,MER
Status,Sub - Dom,-0.0033165735158209773,0.0017932974656716682,-1.8494274259060393,0.06439611827019061,3.956882462943036,-0.006831371962104401,1.982249304624457e-4,0.002822580645161292,5,864,Male,Sub,Npy,MER
Status,Sub - Dom,-0.0033165735158209773,0.0017932974656716682,-1.8494274259060393,0.06439611827019061,3.956882462943036,-0.006831371962104401,1.982249304624457e-4,0.002822580645161292,1,911,Male,Sub,Npy,MER
Status,Sub - Dom,-0.0033165735158209773,0.0017932974656716682,-1.8494274259060393,0.06439611827019061,3.956882462943036,-0.006831371962104401,1.982249304624457e-4,0.002822580645161292,1,705,Male,Sub,Npy,MER
