term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.07838236190294876,0.006095300200332744,12.859475223003756,7.609149324542978e-38,123.30553243107933,0.06643579303533681,0.0903289307705607,0.020867297032931255,29,1123,Female,Dom,Nts,MER
Sex,Male - Female,0.07838236190294876,0.006095300200332744,12.859475223003756,7.609149324542978e-38,123.30553243107933,0.06643579303533681,0.0903289307705607,0.020867297032931255,19,1119,Female,Dom,Nts,MER
Sex,Male - Female,0.07838236190294876,0.006095300200332744,12.859475223003756,7.609149324542978e-38,123.30553243107933,0.06643579303533681,0.0903289307705607,0.020867297032931255,16,825,Female,Dom,Nts,MER
Sex,Male - Female,0.048645804966207004,0.007665049847325955,6.346443393734442,2.2034957077975071e-10,32.07948686248985,0.033622583325743895,0.06366902660667012,0.036838066001535,12,377,Female,Sub,Nts,MER
Sex,Male - Female,0.048645804966207004,0.007665049847325955,6.346443393734442,2.2034957077975071e-10,32.07948686248985,0.033622583325743895,0.06366902660667012,0.036838066001535,13,456,Female,Sub,Nts,MER
Sex,Male - Female,0.048645804966207004,0.007665049847325955,6.346443393734442,2.2034957077975071e-10,32.07948686248985,0.033622583325743895,0.06366902660667012,0.036838066001535,23,470,Female,Sub,Nts,MER
Sex,Male - Female,0.07838236190294876,0.006095300200332744,12.859475223003756,7.609149324542978e-38,123.30553243107933,0.06643579303533681,0.0903289307705607,0.09924965893588002,75,767,Male,Dom,Nts,MER
Sex,Male - Female,0.07838236190294876,0.006095300200332744,12.859475223003756,7.609149324542978e-38,123.30553243107933,0.06643579303533681,0.0903289307705607,0.09924965893588002,116,1261,Male,Dom,Nts,MER
Sex,Male - Female,0.07838236190294876,0.006095300200332744,12.859475223003756,7.609149324542978e-38,123.30553243107933,0.06643579303533681,0.0903289307705607,0.09924965893588002,100,904,Male,Dom,Nts,MER
Sex,Male - Female,0.048645804966207004,0.007665049847325955,6.346443393734442,2.2034957077975071e-10,32.07948686248985,0.033622583325743895,0.06366902660667012,0.085483870967742,71,864,Male,Sub,Nts,MER
Sex,Male - Female,0.048645804966207004,0.007665049847325955,6.346443393734442,2.2034957077975071e-10,32.07948686248985,0.033622583325743895,0.06366902660667012,0.085483870967742,79,911,Male,Sub,Nts,MER
Sex,Male - Female,0.048645804966207004,0.007665049847325955,6.346443393734442,2.2034957077975071e-10,32.07948686248985,0.033622583325743895,0.06366902660667012,0.085483870967742,62,705,Male,Sub,Nts,MER
Status,Sub - Dom,0.015970768968603742,0.00582169120761445,2.743321210117579,0.0060821158830508286,7.361210980245027,0.004560463872565928,0.027381074064641554,0.020867297032931255,29,1123,Female,Dom,Nts,MER
Status,Sub - Dom,0.015970768968603742,0.00582169120761445,2.743321210117579,0.0060821158830508286,7.361210980245027,0.004560463872565928,0.027381074064641554,0.020867297032931255,19,1119,Female,Dom,Nts,MER
Status,Sub - Dom,0.015970768968603742,0.00582169120761445,2.743321210117579,0.0060821158830508286,7.361210980245027,0.004560463872565928,0.027381074064641554,0.020867297032931255,16,825,Female,Dom,Nts,MER
Status,Sub - Dom,0.015970768968603742,0.00582169120761445,2.743321210117579,0.0060821158830508286,7.361210980245027,0.004560463872565928,0.027381074064641554,0.036838066001535,12,377,Female,Sub,Nts,MER
Status,Sub - Dom,0.015970768968603742,0.00582169120761445,2.743321210117579,0.0060821158830508286,7.361210980245027,0.004560463872565928,0.027381074064641554,0.036838066001535,13,456,Female,Sub,Nts,MER
Status,Sub - Dom,0.015970768968603742,0.00582169120761445,2.743321210117579,0.0060821158830508286,7.361210980245027,0.004560463872565928,0.027381074064641554,0.036838066001535,23,470,Female,Sub,Nts,MER
Status,Sub - Dom,-0.013765787968138016,0.007874870412795864,-1.7480653327031273,0.08045271510013932,3.6357150802565847,-0.029200250360137976,0.001668674423861944,0.09924965893588002,75,767,Male,Dom,Nts,MER
Status,Sub - Dom,-0.013765787968138016,0.007874870412795864,-1.7480653327031273,0.08045271510013932,3.6357150802565847,-0.029200250360137976,0.001668674423861944,0.09924965893588002,116,1261,Male,Dom,Nts,MER
Status,Sub - Dom,-0.013765787968138016,0.007874870412795864,-1.7480653327031273,0.08045271510013932,3.6357150802565847,-0.029200250360137976,0.001668674423861944,0.09924965893588002,100,904,Male,Dom,Nts,MER
Status,Sub - Dom,-0.013765787968138016,0.007874870412795864,-1.7480653327031273,0.08045271510013932,3.6357150802565847,-0.029200250360137976,0.001668674423861944,0.085483870967742,71,864,Male,Sub,Nts,MER
Status,Sub - Dom,-0.013765787968138016,0.007874870412795864,-1.7480653327031273,0.08045271510013932,3.6357150802565847,-0.029200250360137976,0.001668674423861944,0.085483870967742,79,911,Male,Sub,Nts,MER
Status,Sub - Dom,-0.013765787968138016,0.007874870412795864,-1.7480653327031273,0.08045271510013932,3.6357150802565847,-0.029200250360137976,0.001668674423861944,0.085483870967742,62,705,Male,Sub,Nts,MER
