term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.009047818368243659,0.00237355411389886,3.8119284137076126,1.3788681482883132e-4,12.824227871142151,0.004395737789645013,0.013699898946842304,0.003912618193834089,2,1123,Female,Dom,Nucb2,MER
Sex,Male - Female,0.009047818368243659,0.00237355411389886,3.8119284137076126,1.3788681482883132e-4,12.824227871142151,0.004395737789645013,0.013699898946842304,0.003912618193834089,5,1119,Female,Dom,Nucb2,MER
Sex,Male - Female,0.009047818368243659,0.00237355411389886,3.8119284137076126,1.3788681482883132e-4,12.824227871142151,0.004395737789645013,0.013699898946842304,0.003912618193834089,5,825,Female,Dom,Nucb2,MER
Sex,Male - Female,0.008259475638879748,0.0027842701639165393,2.966477803023763,0.003012321044037917,8.374908748397605,0.0028024063943738993,0.013716544883385598,0.003837298554668639,3,377,Female,Sub,Nucb2,MER
Sex,Male - Female,0.008259475638879748,0.0027842701639165393,2.966477803023763,0.003012321044037917,8.374908748397605,0.0028024063943738993,0.013716544883385598,0.003837298554668639,1,456,Female,Sub,Nucb2,MER
Sex,Male - Female,0.008259475638879748,0.0027842701639165393,2.966477803023763,0.003012321044037917,8.374908748397605,0.0028024063943738993,0.013716544883385598,0.003837298554668639,1,470,Female,Sub,Nucb2,MER
Sex,Male - Female,0.009047818368243659,0.00237355411389886,3.8119284137076126,1.3788681482883132e-4,12.824227871142151,0.004395737789645013,0.013699898946842304,0.012960436562077748,10,767,Male,Dom,Nucb2,MER
Sex,Male - Female,0.009047818368243659,0.00237355411389886,3.8119284137076126,1.3788681482883132e-4,12.824227871142151,0.004395737789645013,0.013699898946842304,0.012960436562077748,11,1261,Male,Dom,Nucb2,MER
Sex,Male - Female,0.009047818368243659,0.00237355411389886,3.8119284137076126,1.3788681482883132e-4,12.824227871142151,0.004395737789645013,0.013699898946842304,0.012960436562077748,17,904,Male,Dom,Nucb2,MER
Sex,Male - Female,0.008259475638879748,0.0027842701639165393,2.966477803023763,0.003012321044037917,8.374908748397605,0.0028024063943738993,0.013716544883385598,0.012096774193548387,11,864,Male,Sub,Nucb2,MER
Sex,Male - Female,0.008259475638879748,0.0027842701639165393,2.966477803023763,0.003012321044037917,8.374908748397605,0.0028024063943738993,0.013716544883385598,0.012096774193548387,13,911,Male,Sub,Nucb2,MER
Sex,Male - Female,0.008259475638879748,0.0027842701639165393,2.966477803023763,0.003012321044037917,8.374908748397605,0.0028024063943738993,0.013716544883385598,0.012096774193548387,6,705,Male,Sub,Nucb2,MER
Status,Sub - Dom,-7.531963916545007e-5,0.0020504044730570124,-0.03673403962738808,0.970697067252658,0.04290696171491976,-0.00409403856009702,0.003943399281766121,0.003912618193834089,2,1123,Female,Dom,Nucb2,MER
Status,Sub - Dom,-7.531963916545007e-5,0.0020504044730570124,-0.03673403962738808,0.970697067252658,0.04290696171491976,-0.00409403856009702,0.003943399281766121,0.003912618193834089,5,1119,Female,Dom,Nucb2,MER
Status,Sub - Dom,-7.531963916545007e-5,0.0020504044730570124,-0.03673403962738808,0.970697067252658,0.04290696171491976,-0.00409403856009702,0.003943399281766121,0.003912618193834089,5,825,Female,Dom,Nucb2,MER
Status,Sub - Dom,-7.531963916545007e-5,0.0020504044730570124,-0.03673403962738808,0.970697067252658,0.04290696171491976,-0.00409403856009702,0.003943399281766121,0.003837298554668639,3,377,Female,Sub,Nucb2,MER
Status,Sub - Dom,-7.531963916545007e-5,0.0020504044730570124,-0.03673403962738808,0.970697067252658,0.04290696171491976,-0.00409403856009702,0.003943399281766121,0.003837298554668639,1,456,Female,Sub,Nucb2,MER
Status,Sub - Dom,-7.531963916545007e-5,0.0020504044730570124,-0.03673403962738808,0.970697067252658,0.04290696171491976,-0.00409403856009702,0.003943399281766121,0.003837298554668639,1,470,Female,Sub,Nucb2,MER
Status,Sub - Dom,-8.63662368529361e-4,0.0030301444323368467,-0.2850234989832827,0.7756261387171814,0.36656667158419115,-0.0068026363238641455,0.005075311586805424,0.012960436562077748,10,767,Male,Dom,Nucb2,MER
Status,Sub - Dom,-8.63662368529361e-4,0.0030301444323368467,-0.2850234989832827,0.7756261387171814,0.36656667158419115,-0.0068026363238641455,0.005075311586805424,0.012960436562077748,11,1261,Male,Dom,Nucb2,MER
Status,Sub - Dom,-8.63662368529361e-4,0.0030301444323368467,-0.2850234989832827,0.7756261387171814,0.36656667158419115,-0.0068026363238641455,0.005075311586805424,0.012960436562077748,17,904,Male,Dom,Nucb2,MER
Status,Sub - Dom,-8.63662368529361e-4,0.0030301444323368467,-0.2850234989832827,0.7756261387171814,0.36656667158419115,-0.0068026363238641455,0.005075311586805424,0.012096774193548387,11,864,Male,Sub,Nucb2,MER
Status,Sub - Dom,-8.63662368529361e-4,0.0030301444323368467,-0.2850234989832827,0.7756261387171814,0.36656667158419115,-0.0068026363238641455,0.005075311586805424,0.012096774193548387,13,911,Male,Sub,Nucb2,MER
Status,Sub - Dom,-8.63662368529361e-4,0.0030301444323368467,-0.2850234989832827,0.7756261387171814,0.36656667158419115,-0.0068026363238641455,0.005075311586805424,0.012096774193548387,6,705,Male,Sub,Nucb2,MER
