term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.05405237997589975,0.008795981742092406,6.145121893243227,7.990213085156579e-10,30.221046971027064,0.036812572552726755,0.07129218739907274,0.10727094880991199,107,1123,Female,Dom,Nxph1,MER
Sex,Male - Female,0.05405237997589975,0.008795981742092406,6.145121893243227,7.990213085156579e-10,30.221046971027064,0.036812572552726755,0.07129218739907274,0.10727094880991199,130,1119,Female,Dom,Nxph1,MER
Sex,Male - Female,0.05405237997589975,0.008795981742092406,6.145121893243227,7.990213085156579e-10,30.221046971027064,0.036812572552726755,0.07129218739907274,0.10727094880991199,92,825,Female,Dom,Nxph1,MER
Sex,Male - Female,0.062067375535364996,0.010576089080656017,5.8686509788280885,4.393552097353168e-9,27.761965052924246,0.041338621839991874,0.08279612923073812,0.08672294704528018,43,377,Female,Sub,Nxph1,MER
Sex,Male - Female,0.062067375535364996,0.010576089080656017,5.8686509788280885,4.393552097353168e-9,27.761965052924246,0.041338621839991874,0.08279612923073812,0.08672294704528018,29,456,Female,Sub,Nxph1,MER
Sex,Male - Female,0.062067375535364996,0.010576089080656017,5.8686509788280885,4.393552097353168e-9,27.761965052924246,0.041338621839991874,0.08279612923073812,0.08672294704528018,41,470,Female,Sub,Nxph1,MER
Sex,Male - Female,0.05405237997589975,0.008795981742092406,6.145121893243227,7.990213085156579e-10,30.221046971027064,0.036812572552726755,0.07129218739907274,0.16132332878581174,137,767,Male,Dom,Nxph1,MER
Sex,Male - Female,0.05405237997589975,0.008795981742092406,6.145121893243227,7.990213085156579e-10,30.221046971027064,0.036812572552726755,0.07129218739907274,0.16132332878581174,190,1261,Male,Dom,Nxph1,MER
Sex,Male - Female,0.05405237997589975,0.008795981742092406,6.145121893243227,7.990213085156579e-10,30.221046971027064,0.036812572552726755,0.07129218739907274,0.16132332878581174,146,904,Male,Dom,Nxph1,MER
Sex,Male - Female,0.062067375535364996,0.010576089080656017,5.8686509788280885,4.393552097353168e-9,27.761965052924246,0.041338621839991874,0.08279612923073812,0.14879032258064517,120,864,Male,Sub,Nxph1,MER
Sex,Male - Female,0.062067375535364996,0.010576089080656017,5.8686509788280885,4.393552097353168e-9,27.761965052924246,0.041338621839991874,0.08279612923073812,0.14879032258064517,144,911,Male,Sub,Nxph1,MER
Sex,Male - Female,0.062067375535364996,0.010576089080656017,5.8686509788280885,4.393552097353168e-9,27.761965052924246,0.041338621839991874,0.08279612923073812,0.14879032258064517,105,705,Male,Sub,Nxph1,MER
Status,Sub - Dom,-0.020548001764631812,0.009592099749126838,-2.1421797418758373,0.032179021023490774,4.957735753894808,-0.0393481718090361,-0.0017478317202275252,0.10727094880991199,107,1123,Female,Dom,Nxph1,MER
Status,Sub - Dom,-0.020548001764631812,0.009592099749126838,-2.1421797418758373,0.032179021023490774,4.957735753894808,-0.0393481718090361,-0.0017478317202275252,0.10727094880991199,130,1119,Female,Dom,Nxph1,MER
Status,Sub - Dom,-0.020548001764631812,0.009592099749126838,-2.1421797418758373,0.032179021023490774,4.957735753894808,-0.0393481718090361,-0.0017478317202275252,0.10727094880991199,92,825,Female,Dom,Nxph1,MER
Status,Sub - Dom,-0.020548001764631812,0.009592099749126838,-2.1421797418758373,0.032179021023490774,4.957735753894808,-0.0393481718090361,-0.0017478317202275252,0.08672294704528018,43,377,Female,Sub,Nxph1,MER
Status,Sub - Dom,-0.020548001764631812,0.009592099749126838,-2.1421797418758373,0.032179021023490774,4.957735753894808,-0.0393481718090361,-0.0017478317202275252,0.08672294704528018,29,456,Female,Sub,Nxph1,MER
Status,Sub - Dom,-0.020548001764631812,0.009592099749126838,-2.1421797418758373,0.032179021023490774,4.957735753894808,-0.0393481718090361,-0.0017478317202275252,0.08672294704528018,41,470,Female,Sub,Nxph1,MER
Status,Sub - Dom,-0.012533006205166564,0.009859745195392093,-1.271128812844353,0.20368282651276967,2.295603750073642,-0.031857751684876895,0.006791739274543771,0.16132332878581174,137,767,Male,Dom,Nxph1,MER
Status,Sub - Dom,-0.012533006205166564,0.009859745195392093,-1.271128812844353,0.20368282651276967,2.295603750073642,-0.031857751684876895,0.006791739274543771,0.16132332878581174,190,1261,Male,Dom,Nxph1,MER
Status,Sub - Dom,-0.012533006205166564,0.009859745195392093,-1.271128812844353,0.20368282651276967,2.295603750073642,-0.031857751684876895,0.006791739274543771,0.16132332878581174,146,904,Male,Dom,Nxph1,MER
Status,Sub - Dom,-0.012533006205166564,0.009859745195392093,-1.271128812844353,0.20368282651276967,2.295603750073642,-0.031857751684876895,0.006791739274543771,0.14879032258064517,120,864,Male,Sub,Nxph1,MER
Status,Sub - Dom,-0.012533006205166564,0.009859745195392093,-1.271128812844353,0.20368282651276967,2.295603750073642,-0.031857751684876895,0.006791739274543771,0.14879032258064517,144,911,Male,Sub,Nxph1,MER
Status,Sub - Dom,-0.012533006205166564,0.009859745195392093,-1.271128812844353,0.20368282651276967,2.295603750073642,-0.031857751684876895,0.006791739274543771,0.14879032258064517,105,705,Male,Sub,Nxph1,MER
