term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,-0.008803390934691622,0.0016867395385321343,-5.2191762471831735,1.7972067740328945e-7,22.40774025942025,-0.012109339681514316,-0.005497442187868929,0.008803390935767832,4,1123,Female,Dom,Pmch,MER
Sex,Male - Female,-0.008803390934691622,0.0016867395385321343,-5.2191762471831735,1.7972067740328945e-7,22.40774025942025,-0.012109339681514316,-0.005497442187868929,0.008803390935767832,13,1119,Female,Dom,Pmch,MER
Sex,Male - Female,-0.008803390934691622,0.0016867395385321343,-5.2191762471831735,1.7972067740328945e-7,22.40774025942025,-0.012109339681514316,-0.005497442187868929,0.008803390935767832,10,825,Female,Dom,Pmch,MER
Sex,Male - Female,-1.1245269946456867e-12,2.9270146997234163e-8,-3.841890492562088e-5,0.9999693461489244,4.422483676514631e-5,-5.73695584637668e-8,5.736730940977751e-8,2.3766437468985945e-12,0,377,Female,Sub,Pmch,MER
Sex,Male - Female,-1.1245269946456867e-12,2.9270146997234163e-8,-3.841890492562088e-5,0.9999693461489244,4.422483676514631e-5,-5.73695584637668e-8,5.736730940977751e-8,2.3766437468985945e-12,0,456,Female,Sub,Pmch,MER
Sex,Male - Female,-1.1245269946456867e-12,2.9270146997234163e-8,-3.841890492562088e-5,0.9999693461489244,4.422483676514631e-5,-5.73695584637668e-8,5.736730940977751e-8,2.3766437468985945e-12,0,470,Female,Sub,Pmch,MER
Sex,Male - Female,-0.008803390934691622,0.0016867395385321343,-5.2191762471831735,1.7972067740328945e-7,22.40774025942025,-0.012109339681514316,-0.005497442187868929,1.0762100339740713e-12,0,767,Male,Dom,Pmch,MER
Sex,Male - Female,-0.008803390934691622,0.0016867395385321343,-5.2191762471831735,1.7972067740328945e-7,22.40774025942025,-0.012109339681514316,-0.005497442187868929,1.0762100339740713e-12,0,1261,Male,Dom,Pmch,MER
Sex,Male - Female,-0.008803390934691622,0.0016867395385321343,-5.2191762471831735,1.7972067740328945e-7,22.40774025942025,-0.012109339681514316,-0.005497442187868929,1.0762100339740713e-12,0,904,Male,Dom,Pmch,MER
Sex,Male - Female,-1.1245269946456867e-12,2.9270146997234163e-8,-3.841890492562088e-5,0.9999693461489244,4.422483676514631e-5,-5.73695584637668e-8,5.736730940977751e-8,1.2521167522529078e-12,0,864,Male,Sub,Pmch,MER
Sex,Male - Female,-1.1245269946456867e-12,2.9270146997234163e-8,-3.841890492562088e-5,0.9999693461489244,4.422483676514631e-5,-5.73695584637668e-8,5.736730940977751e-8,1.2521167522529078e-12,0,911,Male,Sub,Pmch,MER
Sex,Male - Female,-1.1245269946456867e-12,2.9270146997234163e-8,-3.841890492562088e-5,0.9999693461489244,4.422483676514631e-5,-5.73695584637668e-8,5.736730940977751e-8,1.2521167522529078e-12,0,705,Male,Sub,Pmch,MER
Status,Sub - Dom,-0.008803390933391188,0.0016867395385321343,-5.219176246412198,1.7972067815134347e-7,22.4077402534153,-0.012109339680213882,-0.005497442186568495,0.008803390935767832,4,1123,Female,Dom,Pmch,MER
Status,Sub - Dom,-0.008803390933391188,0.0016867395385321343,-5.219176246412198,1.7972067815134347e-7,22.4077402534153,-0.012109339680213882,-0.005497442186568495,0.008803390935767832,13,1119,Female,Dom,Pmch,MER
Status,Sub - Dom,-0.008803390933391188,0.0016867395385321343,-5.219176246412198,1.7972067815134347e-7,22.4077402534153,-0.012109339680213882,-0.005497442186568495,0.008803390935767832,10,825,Female,Dom,Pmch,MER
Status,Sub - Dom,-0.008803390933391188,0.0016867395385321343,-5.219176246412198,1.7972067815134347e-7,22.4077402534153,-0.012109339680213882,-0.005497442186568495,2.3766437468985945e-12,0,377,Female,Sub,Pmch,MER
Status,Sub - Dom,-0.008803390933391188,0.0016867395385321343,-5.219176246412198,1.7972067815134347e-7,22.4077402534153,-0.012109339680213882,-0.005497442186568495,2.3766437468985945e-12,0,456,Female,Sub,Pmch,MER
Status,Sub - Dom,-0.008803390933391188,0.0016867395385321343,-5.219176246412198,1.7972067815134347e-7,22.4077402534153,-0.012109339680213882,-0.005497442186568495,2.3766437468985945e-12,0,470,Female,Sub,Pmch,MER
Status,Sub - Dom,1.7590671827883656e-13,1.7910047169171006e-8,9.821678112698051e-6,0.9999921634346728,1.1305818234621713e-5,-3.5102871506270436e-8,3.510322331970699e-8,1.0762100339740713e-12,0,767,Male,Dom,Pmch,MER
Status,Sub - Dom,1.7590671827883656e-13,1.7910047169171006e-8,9.821678112698051e-6,0.9999921634346728,1.1305818234621713e-5,-3.5102871506270436e-8,3.510322331970699e-8,1.0762100339740713e-12,0,1261,Male,Dom,Pmch,MER
Status,Sub - Dom,1.7590671827883656e-13,1.7910047169171006e-8,9.821678112698051e-6,0.9999921634346728,1.1305818234621713e-5,-3.5102871506270436e-8,3.510322331970699e-8,1.0762100339740713e-12,0,904,Male,Dom,Pmch,MER
Status,Sub - Dom,1.7590671827883656e-13,1.7910047169171006e-8,9.821678112698051e-6,0.9999921634346728,1.1305818234621713e-5,-3.5102871506270436e-8,3.510322331970699e-8,1.2521167522529078e-12,0,864,Male,Sub,Pmch,MER
Status,Sub - Dom,1.7590671827883656e-13,1.7910047169171006e-8,9.821678112698051e-6,0.9999921634346728,1.1305818234621713e-5,-3.5102871506270436e-8,3.510322331970699e-8,1.2521167522529078e-12,0,911,Male,Sub,Pmch,MER
Status,Sub - Dom,1.7590671827883656e-13,1.7910047169171006e-8,9.821678112698051e-6,0.9999921634346728,1.1305818234621713e-5,-3.5102871506270436e-8,3.510322331970699e-8,1.2521167522529078e-12,0,705,Male,Sub,Pmch,MER
