term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.005547101544363246,0.001782288300704404,3.112348065220927,0.0018560552462383512,9.073544631153561,0.002053880664915521,0.00904032242381097,0.001956309096837304,3,1123,Female,Dom,Pnoc,MER
Sex,Male - Female,0.005547101544363246,0.001782288300704404,3.112348065220927,0.0018560552462383512,9.073544631153561,0.002053880664915521,0.00904032242381097,0.001956309096837304,2,1119,Female,Dom,Pnoc,MER
Sex,Male - Female,0.005547101544363246,0.001782288300704404,3.112348065220927,0.0018560552462383512,9.073544631153561,0.002053880664915521,0.00904032242381097,0.001956309096837304,1,825,Female,Dom,Pnoc,MER
Sex,Male - Female,0.0037460079716782595,0.002046222799661793,1.8306940829206935,0.06714621676240831,3.896550073992023,-2.645150200035716e-4,0.007756530963360091,0.0023023791250959373,1,377,Female,Sub,Pnoc,MER
Sex,Male - Female,0.0037460079716782595,0.002046222799661793,1.8306940829206935,0.06714621676240831,3.896550073992023,-2.645150200035716e-4,0.007756530963360091,0.0023023791250959373,0,456,Female,Sub,Pnoc,MER
Sex,Male - Female,0.0037460079716782595,0.002046222799661793,1.8306940829206935,0.06714621676240831,3.896550073992023,-2.645150200035716e-4,0.007756530963360091,0.0023023791250959373,2,470,Female,Sub,Pnoc,MER
Sex,Male - Female,0.005547101544363246,0.001782288300704404,3.112348065220927,0.0018560552462383512,9.073544631153561,0.002053880664915521,0.00904032242381097,0.00750341064120055,9,767,Male,Dom,Pnoc,MER
Sex,Male - Female,0.005547101544363246,0.001782288300704404,3.112348065220927,0.0018560552462383512,9.073544631153561,0.002053880664915521,0.00904032242381097,0.00750341064120055,7,1261,Male,Dom,Pnoc,MER
Sex,Male - Female,0.005547101544363246,0.001782288300704404,3.112348065220927,0.0018560552462383512,9.073544631153561,0.002053880664915521,0.00904032242381097,0.00750341064120055,6,904,Male,Dom,Pnoc,MER
Sex,Male - Female,0.0037460079716782595,0.002046222799661793,1.8306940829206935,0.06714621676240831,3.896550073992023,-2.645150200035716e-4,0.007756530963360091,0.006048387096774197,3,864,Male,Sub,Pnoc,MER
Sex,Male - Female,0.0037460079716782595,0.002046222799661793,1.8306940829206935,0.06714621676240831,3.896550073992023,-2.645150200035716e-4,0.007756530963360091,0.006048387096774197,10,911,Male,Sub,Pnoc,MER
Sex,Male - Female,0.0037460079716782595,0.002046222799661793,1.8306940829206935,0.06714621676240831,3.896550073992023,-2.645150200035716e-4,0.007756530963360091,0.006048387096774197,2,705,Male,Sub,Pnoc,MER
Status,Sub - Dom,3.4607002825863325e-4,0.001549040134325309,0.22340933626575502,0.8232169386595078,0.28065542719792963,-0.002689992845626059,0.0033821329021433257,0.001956309096837304,3,1123,Female,Dom,Pnoc,MER
Status,Sub - Dom,3.4607002825863325e-4,0.001549040134325309,0.22340933626575502,0.8232169386595078,0.28065542719792963,-0.002689992845626059,0.0033821329021433257,0.001956309096837304,2,1119,Female,Dom,Pnoc,MER
Status,Sub - Dom,3.4607002825863325e-4,0.001549040134325309,0.22340933626575502,0.8232169386595078,0.28065542719792963,-0.002689992845626059,0.0033821329021433257,0.001956309096837304,1,825,Female,Dom,Pnoc,MER
Status,Sub - Dom,3.4607002825863325e-4,0.001549040134325309,0.22340933626575502,0.8232169386595078,0.28065542719792963,-0.002689992845626059,0.0033821329021433257,0.0023023791250959373,1,377,Female,Sub,Pnoc,MER
Status,Sub - Dom,3.4607002825863325e-4,0.001549040134325309,0.22340933626575502,0.8232169386595078,0.28065542719792963,-0.002689992845626059,0.0033821329021433257,0.0023023791250959373,0,456,Female,Sub,Pnoc,MER
Status,Sub - Dom,3.4607002825863325e-4,0.001549040134325309,0.22340933626575502,0.8232169386595078,0.28065542719792963,-0.002689992845626059,0.0033821329021433257,0.0023023791250959373,2,470,Female,Sub,Pnoc,MER
Status,Sub - Dom,-0.0014550235444263536,0.0022280162130167078,-0.6530578798869101,0.5137189650168164,0.9609487600954909,-0.005821855078910421,0.0029118079900577135,0.00750341064120055,9,767,Male,Dom,Pnoc,MER
Status,Sub - Dom,-0.0014550235444263536,0.0022280162130167078,-0.6530578798869101,0.5137189650168164,0.9609487600954909,-0.005821855078910421,0.0029118079900577135,0.00750341064120055,7,1261,Male,Dom,Pnoc,MER
Status,Sub - Dom,-0.0014550235444263536,0.0022280162130167078,-0.6530578798869101,0.5137189650168164,0.9609487600954909,-0.005821855078910421,0.0029118079900577135,0.00750341064120055,6,904,Male,Dom,Pnoc,MER
Status,Sub - Dom,-0.0014550235444263536,0.0022280162130167078,-0.6530578798869101,0.5137189650168164,0.9609487600954909,-0.005821855078910421,0.0029118079900577135,0.006048387096774197,3,864,Male,Sub,Pnoc,MER
Status,Sub - Dom,-0.0014550235444263536,0.0022280162130167078,-0.6530578798869101,0.5137189650168164,0.9609487600954909,-0.005821855078910421,0.0029118079900577135,0.006048387096774197,10,911,Male,Sub,Pnoc,MER
Status,Sub - Dom,-0.0014550235444263536,0.0022280162130167078,-0.6530578798869101,0.5137189650168164,0.9609487600954909,-0.005821855078910421,0.0029118079900577135,0.006048387096774197,2,705,Male,Sub,Pnoc,MER
