term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,-0.0041936318980690815,0.0014285297236798001,-2.9356280296825448,0.003328732145838763,8.230811499319763,-0.006993498707326445,-0.0013937650888117188,0.005216824258232792,6,1123,Female,Dom,Pomc,MER
Sex,Male - Female,-0.0041936318980690815,0.0014285297236798001,-2.9356280296825448,0.003328732145838763,8.230811499319763,-0.006993498707326445,-0.0013937650888117188,0.005216824258232792,4,1119,Female,Dom,Pomc,MER
Sex,Male - Female,-0.0041936318980690815,0.0014285297236798001,-2.9356280296825448,0.003328732145838763,8.230811499319763,-0.006993498707326445,-0.0013937650888117188,0.005216824258232792,6,825,Female,Dom,Pomc,MER
Sex,Male - Female,4.032257999912254e-4,4.0314456044870234e-4,1.0002015146686654,0.317212996388144,1.6564762146379541,-3.8692301905146175e-4,0.0011933746190339125,6.460387554770398e-12,0,377,Female,Sub,Pomc,MER
Sex,Male - Female,4.032257999912254e-4,4.0314456044870234e-4,1.0002015146686654,0.317212996388144,1.6564762146379541,-3.8692301905146175e-4,0.0011933746190339125,6.460387554770398e-12,0,456,Female,Sub,Pomc,MER
Sex,Male - Female,4.032257999912254e-4,4.0314456044870234e-4,1.0002015146686654,0.317212996388144,1.6564762146379541,-3.8692301905146175e-4,0.0011933746190339125,6.460387554770398e-12,0,470,Female,Sub,Pomc,MER
Sex,Male - Female,-0.0041936318980690815,0.0014285297236798001,-2.9356280296825448,0.003328732145838763,8.230811499319763,-0.006993498707326445,-0.0013937650888117188,0.0010231923601637103,1,767,Male,Dom,Pomc,MER
Sex,Male - Female,-0.0041936318980690815,0.0014285297236798001,-2.9356280296825448,0.003328732145838763,8.230811499319763,-0.006993498707326445,-0.0013937650888117188,0.0010231923601637103,1,1261,Male,Dom,Pomc,MER
Sex,Male - Female,-0.0041936318980690815,0.0014285297236798001,-2.9356280296825448,0.003328732145838763,8.230811499319763,-0.006993498707326445,-0.0013937650888117188,0.0010231923601637103,1,904,Male,Dom,Pomc,MER
Sex,Male - Female,4.032257999912254e-4,4.0314456044870234e-4,1.0002015146686654,0.317212996388144,1.6564762146379541,-3.8692301905146175e-4,0.0011933746190339125,4.0322580645161296e-4,1,864,Male,Sub,Pomc,MER
Sex,Male - Female,4.032257999912254e-4,4.0314456044870234e-4,1.0002015146686654,0.317212996388144,1.6564762146379541,-3.8692301905146175e-4,0.0011933746190339125,4.0322580645161296e-4,0,911,Male,Sub,Pomc,MER
Sex,Male - Female,4.032257999912254e-4,4.0314456044870234e-4,1.0002015146686654,0.317212996388144,1.6564762146379541,-3.8692301905146175e-4,0.0011933746190339125,4.0322580645161296e-4,0,705,Male,Sub,Pomc,MER
Status,Sub - Dom,-0.005216824251772404,0.001300799768843909,-4.01047446096095,6.059685503908614e-5,14.010397554290606,-0.0077663449498044925,-0.002667303553740316,0.005216824258232792,6,1123,Female,Dom,Pomc,MER
Status,Sub - Dom,-0.005216824251772404,0.001300799768843909,-4.01047446096095,6.059685503908614e-5,14.010397554290606,-0.0077663449498044925,-0.002667303553740316,0.005216824258232792,4,1119,Female,Dom,Pomc,MER
Status,Sub - Dom,-0.005216824251772404,0.001300799768843909,-4.01047446096095,6.059685503908614e-5,14.010397554290606,-0.0077663449498044925,-0.002667303553740316,0.005216824258232792,6,825,Female,Dom,Pomc,MER
Status,Sub - Dom,-0.005216824251772404,0.001300799768843909,-4.01047446096095,6.059685503908614e-5,14.010397554290606,-0.0077663449498044925,-0.002667303553740316,6.460387554770398e-12,0,377,Female,Sub,Pomc,MER
Status,Sub - Dom,-0.005216824251772404,0.001300799768843909,-4.01047446096095,6.059685503908614e-5,14.010397554290606,-0.0077663449498044925,-0.002667303553740316,6.460387554770398e-12,0,456,Female,Sub,Pomc,MER
Status,Sub - Dom,-0.005216824251772404,0.001300799768843909,-4.01047446096095,6.059685503908614e-5,14.010397554290606,-0.0077663449498044925,-0.002667303553740316,6.460387554770398e-12,0,470,Female,Sub,Pomc,MER
Status,Sub - Dom,-6.199665537120973e-4,7.149424695004138e-4,-0.8671558624085046,0.3858566161768539,1.3738632514357954,-0.002021228044951034,7.812949375268393e-4,0.0010231923601637103,1,767,Male,Dom,Pomc,MER
Status,Sub - Dom,-6.199665537120973e-4,7.149424695004138e-4,-0.8671558624085046,0.3858566161768539,1.3738632514357954,-0.002021228044951034,7.812949375268393e-4,0.0010231923601637103,1,1261,Male,Dom,Pomc,MER
Status,Sub - Dom,-6.199665537120973e-4,7.149424695004138e-4,-0.8671558624085046,0.3858566161768539,1.3738632514357954,-0.002021228044951034,7.812949375268393e-4,0.0010231923601637103,1,904,Male,Dom,Pomc,MER
Status,Sub - Dom,-6.199665537120973e-4,7.149424695004138e-4,-0.8671558624085046,0.3858566161768539,1.3738632514357954,-0.002021228044951034,7.812949375268393e-4,4.0322580645161296e-4,1,864,Male,Sub,Pomc,MER
Status,Sub - Dom,-6.199665537120973e-4,7.149424695004138e-4,-0.8671558624085046,0.3858566161768539,1.3738632514357954,-0.002021228044951034,7.812949375268393e-4,4.0322580645161296e-4,0,911,Male,Sub,Pomc,MER
Status,Sub - Dom,-6.199665537120973e-4,7.149424695004138e-4,-0.8671558624085046,0.3858566161768539,1.3738632514357954,-0.002021228044951034,7.812949375268393e-4,4.0322580645161296e-4,0,705,Male,Sub,Pomc,MER
