term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,1.5012603915020054e-5,4.717624752728531e-4,0.03182237821339482,0.9746137004387057,0.037097591815318916,-9.096248568772397e-4,9.396500647072797e-4,3.2605151613954966e-4,1,1123,Female,Dom,Prl,MER
Sex,Male - Female,1.5012603915020054e-5,4.717624752728531e-4,0.03182237821339482,0.9746137004387057,0.037097591815318916,-9.096248568772397e-4,9.396500647072797e-4,3.2605151613954966e-4,0,1119,Female,Dom,Prl,MER
Sex,Male - Female,1.5012603915020054e-5,4.717624752728531e-4,0.03182237821339482,0.9746137004387057,0.037097591815318916,-9.096248568772397e-4,9.396500647072797e-4,3.2605151613954966e-4,0,825,Female,Dom,Prl,MER
Sex,Male - Female,-7.674597049617037e-4,7.671651640939357e-4,-1.0003839341012255,0.31712474190542095,1.656877654746893,-0.002271075796779578,7.361563868561705e-4,7.674597083653098e-4,1,377,Female,Sub,Prl,MER
Sex,Male - Female,-7.674597049617037e-4,7.671651640939357e-4,-1.0003839341012255,0.31712474190542095,1.656877654746893,-0.002271075796779578,7.361563868561705e-4,7.674597083653098e-4,0,456,Female,Sub,Prl,MER
Sex,Male - Female,-7.674597049617037e-4,7.671651640939357e-4,-1.0003839341012255,0.31712474190542095,1.656877654746893,-0.002271075796779578,7.361563868561705e-4,7.674597083653098e-4,0,470,Female,Sub,Prl,MER
Sex,Male - Female,1.5012603915020054e-5,4.717624752728531e-4,0.03182237821339482,0.9746137004387057,0.037097591815318916,-9.096248568772397e-4,9.396500647072797e-4,3.410641200545697e-4,1,767,Male,Dom,Prl,MER
Sex,Male - Female,1.5012603915020054e-5,4.717624752728531e-4,0.03182237821339482,0.9746137004387057,0.037097591815318916,-9.096248568772397e-4,9.396500647072797e-4,3.410641200545697e-4,0,1261,Male,Dom,Prl,MER
Sex,Male - Female,1.5012603915020054e-5,4.717624752728531e-4,0.03182237821339482,0.9746137004387057,0.037097591815318916,-9.096248568772397e-4,9.396500647072797e-4,3.410641200545697e-4,0,904,Male,Dom,Prl,MER
Sex,Male - Female,-7.674597049617037e-4,7.671651640939357e-4,-1.0003839341012255,0.31712474190542095,1.656877654746893,-0.002271075796779578,7.361563868561705e-4,3.4036062147408764e-12,0,864,Male,Sub,Prl,MER
Sex,Male - Female,-7.674597049617037e-4,7.671651640939357e-4,-1.0003839341012255,0.31712474190542095,1.656877654746893,-0.002271075796779578,7.361563868561705e-4,3.4036062147408764e-12,0,911,Male,Sub,Prl,MER
Sex,Male - Female,-7.674597049617037e-4,7.671651640939357e-4,-1.0003839341012255,0.31712474190542095,1.656877654746893,-0.002271075796779578,7.361563868561705e-4,3.4036062147408764e-12,0,705,Male,Sub,Prl,MER
Status,Sub - Dom,4.4140819222576017e-4,8.335570266130541e-4,0.5295476831612944,0.5964255756678662,0.7455859709043924,-0.0011923335589961207,0.0020751499434476413,3.2605151613954966e-4,1,1123,Female,Dom,Prl,MER
Status,Sub - Dom,4.4140819222576017e-4,8.335570266130541e-4,0.5295476831612944,0.5964255756678662,0.7455859709043924,-0.0011923335589961207,0.0020751499434476413,3.2605151613954966e-4,0,1119,Female,Dom,Prl,MER
Status,Sub - Dom,4.4140819222576017e-4,8.335570266130541e-4,0.5295476831612944,0.5964255756678662,0.7455859709043924,-0.0011923335589961207,0.0020751499434476413,3.2605151613954966e-4,0,825,Female,Dom,Prl,MER
Status,Sub - Dom,4.4140819222576017e-4,8.335570266130541e-4,0.5295476831612944,0.5964255756678662,0.7455859709043924,-0.0011923335589961207,0.0020751499434476413,7.674597083653098e-4,1,377,Female,Sub,Prl,MER
Status,Sub - Dom,4.4140819222576017e-4,8.335570266130541e-4,0.5295476831612944,0.5964255756678662,0.7455859709043924,-0.0011923335589961207,0.0020751499434476413,7.674597083653098e-4,0,456,Female,Sub,Prl,MER
Status,Sub - Dom,4.4140819222576017e-4,8.335570266130541e-4,0.5295476831612944,0.5964255756678662,0.7455859709043924,-0.0011923335589961207,0.0020751499434476413,7.674597083653098e-4,0,470,Female,Sub,Prl,MER
Status,Sub - Dom,-3.410641166509635e-4,3.4100584108114773e-4,-1.0001708931718911,0.3172278126403066,1.656408831414116,-0.0010094232836878022,3.2729505038587507e-4,3.410641200545697e-4,1,767,Male,Dom,Prl,MER
Status,Sub - Dom,-3.410641166509635e-4,3.4100584108114773e-4,-1.0001708931718911,0.3172278126403066,1.656408831414116,-0.0010094232836878022,3.2729505038587507e-4,3.410641200545697e-4,0,1261,Male,Dom,Prl,MER
Status,Sub - Dom,-3.410641166509635e-4,3.4100584108114773e-4,-1.0001708931718911,0.3172278126403066,1.656408831414116,-0.0010094232836878022,3.2729505038587507e-4,3.410641200545697e-4,0,904,Male,Dom,Prl,MER
Status,Sub - Dom,-3.410641166509635e-4,3.4100584108114773e-4,-1.0001708931718911,0.3172278126403066,1.656408831414116,-0.0010094232836878022,3.2729505038587507e-4,3.4036062147408764e-12,0,864,Male,Sub,Prl,MER
Status,Sub - Dom,-3.410641166509635e-4,3.4100584108114773e-4,-1.0001708931718911,0.3172278126403066,1.656408831414116,-0.0010094232836878022,3.2729505038587507e-4,3.4036062147408764e-12,0,911,Male,Sub,Prl,MER
Status,Sub - Dom,-3.410641166509635e-4,3.4100584108114773e-4,-1.0001708931718911,0.3172278126403066,1.656408831414116,-0.0010094232836878022,3.2729505038587507e-4,3.4036062147408764e-12,0,705,Male,Sub,Prl,MER
