term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,2.1811730676771534e-14,9.723607674395956e-9,2.2431726378889006e-6,0.999998210207185,2.5821275290910616e-6,-1.905789902988267e-8,1.905794265334402e-8,3.7410381520601896e-13,0,1123,Female,Dom,Qrfp,MER
Sex,Male - Female,2.1811730676771534e-14,9.723607674395956e-9,2.2431726378889006e-6,0.999998210207185,2.5821275290910616e-6,-1.905789902988267e-8,1.905794265334402e-8,3.7410381520601896e-13,0,1119,Female,Dom,Qrfp,MER
Sex,Male - Female,2.1811730676771534e-14,9.723607674395956e-9,2.2431726378889006e-6,0.999998210207185,2.5821275290910616e-6,-1.905789902988267e-8,1.905794265334402e-8,3.7410381520601896e-13,0,825,Female,Dom,Qrfp,MER
Sex,Male - Female,4.032258055772946e-4,4.0321309965287225e-4,1.000031511685591,0.31729525829240124,1.6561021333202866,-3.870573478370946e-4,0.0011935089589916838,8.74318373474611e-13,0,377,Female,Sub,Qrfp,MER
Sex,Male - Female,4.032258055772946e-4,4.0321309965287225e-4,1.000031511685591,0.31729525829240124,1.6561021333202866,-3.870573478370946e-4,0.0011935089589916838,8.74318373474611e-13,0,456,Female,Sub,Qrfp,MER
Sex,Male - Female,4.032258055772946e-4,4.0321309965287225e-4,1.000031511685591,0.31729525829240124,1.6561021333202866,-3.870573478370946e-4,0.0011935089589916838,8.74318373474611e-13,0,470,Female,Sub,Qrfp,MER
Sex,Male - Female,2.1811730676771534e-14,9.723607674395956e-9,2.2431726378889006e-6,0.999998210207185,2.5821275290910616e-6,-1.905789902988267e-8,1.905794265334402e-8,3.959155458827905e-13,0,767,Male,Dom,Qrfp,MER
Sex,Male - Female,2.1811730676771534e-14,9.723607674395956e-9,2.2431726378889006e-6,0.999998210207185,2.5821275290910616e-6,-1.905789902988267e-8,1.905794265334402e-8,3.959155458827905e-13,0,1261,Male,Dom,Qrfp,MER
Sex,Male - Female,2.1811730676771534e-14,9.723607674395956e-9,2.2431726378889006e-6,0.999998210207185,2.5821275290910616e-6,-1.905789902988267e-8,1.905794265334402e-8,3.959155458827905e-13,0,904,Male,Dom,Qrfp,MER
Sex,Male - Female,4.032258055772946e-4,4.0321309965287225e-4,1.000031511685591,0.31729525829240124,1.6561021333202866,-3.870573478370946e-4,0.0011935089589916838,4.0322580645161296e-4,0,864,Male,Sub,Qrfp,MER
Sex,Male - Female,4.032258055772946e-4,4.0321309965287225e-4,1.000031511685591,0.31729525829240124,1.6561021333202866,-3.870573478370946e-4,0.0011935089589916838,4.0322580645161296e-4,1,911,Male,Sub,Qrfp,MER
Sex,Male - Female,4.032258055772946e-4,4.0321309965287225e-4,1.000031511685591,0.31729525829240124,1.6561021333202866,-3.870573478370946e-4,0.0011935089589916838,4.0322580645161296e-4,0,705,Male,Sub,Qrfp,MER
Status,Sub - Dom,5.002145582685921e-13,1.7079856878787265e-8,2.9286812051091918e-5,0.9999766325048326,3.3712563286623656e-5,-3.347540412896346e-8,3.3476404558080003e-8,3.7410381520601896e-13,0,1123,Female,Dom,Qrfp,MER
