term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.19003143083195415,0.010971917260930192,17.319801663892918,3.335052157263667e-67,220.83147303339356,0.1685268681591776,0.21153599350473068,0.15683077926354397,193,1123,Female,Dom,Scg2,MER
Sex,Male - Female,0.19003143083195415,0.010971917260930192,17.319801663892918,3.335052157263667e-67,220.83147303339356,0.1685268681591776,0.21153599350473068,0.15683077926354397,160,1119,Female,Dom,Scg2,MER
Sex,Male - Female,0.19003143083195415,0.010971917260930192,17.319801663892918,3.335052157263667e-67,220.83147303339356,0.1685268681591776,0.21153599350473068,0.15683077926354397,128,825,Female,Dom,Scg2,MER
Sex,Male - Female,0.10426930408713136,0.015504258211125959,6.725204306279356,1.7534623351424888e-11,35.73100260232723,0.07388151638631509,0.13465709178794763,0.2586339217193209,104,377,Female,Sub,Scg2,MER
Sex,Male - Female,0.10426930408713136,0.015504258211125959,6.725204306279356,1.7534623351424888e-11,35.73100260232723,0.07388151638631509,0.13465709178794763,0.2586339217193209,105,456,Female,Sub,Scg2,MER
Sex,Male - Female,0.10426930408713136,0.015504258211125959,6.725204306279356,1.7534623351424888e-11,35.73100260232723,0.07388151638631509,0.13465709178794763,0.2586339217193209,128,470,Female,Sub,Scg2,MER
Sex,Male - Female,0.19003143083195415,0.010971917260930192,17.319801663892918,3.335052157263667e-67,220.83147303339356,0.1685268681591776,0.21153599350473068,0.3468622100954981,284,767,Male,Dom,Scg2,MER
Sex,Male - Female,0.19003143083195415,0.010971917260930192,17.319801663892918,3.335052157263667e-67,220.83147303339356,0.1685268681591776,0.21153599350473068,0.3468622100954981,429,1261,Male,Dom,Scg2,MER
Sex,Male - Female,0.19003143083195415,0.010971917260930192,17.319801663892918,3.335052157263667e-67,220.83147303339356,0.1685268681591776,0.21153599350473068,0.3468622100954981,304,904,Male,Dom,Scg2,MER
Sex,Male - Female,0.10426930408713136,0.015504258211125959,6.725204306279356,1.7534623351424888e-11,35.73100260232723,0.07388151638631509,0.13465709178794763,0.3629032258064523,329,864,Male,Sub,Scg2,MER
Sex,Male - Female,0.10426930408713136,0.015504258211125959,6.725204306279356,1.7534623351424888e-11,35.73100260232723,0.07388151638631509,0.13465709178794763,0.3629032258064523,336,911,Male,Sub,Scg2,MER
Sex,Male - Female,0.10426930408713136,0.015504258211125959,6.725204306279356,1.7534623351424888e-11,35.73100260232723,0.07388151638631509,0.13465709178794763,0.3629032258064523,235,705,Male,Sub,Scg2,MER
Status,Sub - Dom,0.10180314245577696,0.013793829071596323,7.380339565422464,1.5788632804452157e-13,42.52617898517702,0.07476773426654659,0.12883855064500732,0.15683077926354397,193,1123,Female,Dom,Scg2,MER
Status,Sub - Dom,0.10180314245577696,0.013793829071596323,7.380339565422464,1.5788632804452157e-13,42.52617898517702,0.07476773426654659,0.12883855064500732,0.15683077926354397,160,1119,Female,Dom,Scg2,MER
Status,Sub - Dom,0.10180314245577696,0.013793829071596323,7.380339565422464,1.5788632804452157e-13,42.52617898517702,0.07476773426654659,0.12883855064500732,0.15683077926354397,128,825,Female,Dom,Scg2,MER
Status,Sub - Dom,0.10180314245577696,0.013793829071596323,7.380339565422464,1.5788632804452157e-13,42.52617898517702,0.07476773426654659,0.12883855064500732,0.2586339217193209,104,377,Female,Sub,Scg2,MER
Status,Sub - Dom,0.10180314245577696,0.013793829071596323,7.380339565422464,1.5788632804452157e-13,42.52617898517702,0.07476773426654659,0.12883855064500732,0.2586339217193209,105,456,Female,Sub,Scg2,MER
Status,Sub - Dom,0.10180314245577696,0.013793829071596323,7.380339565422464,1.5788632804452157e-13,42.52617898517702,0.07476773426654659,0.12883855064500732,0.2586339217193209,128,470,Female,Sub,Scg2,MER
Status,Sub - Dom,0.016041015710954176,0.013057383884280406,1.228501501764509,0.21925876598342547,2.1892935719983977,-0.00955098643454913,0.04163301785645748,0.3468622100954981,284,767,Male,Dom,Scg2,MER
Status,Sub - Dom,0.016041015710954176,0.013057383884280406,1.228501501764509,0.21925876598342547,2.1892935719983977,-0.00955098643454913,0.04163301785645748,0.3468622100954981,429,1261,Male,Dom,Scg2,MER
Status,Sub - Dom,0.016041015710954176,0.013057383884280406,1.228501501764509,0.21925876598342547,2.1892935719983977,-0.00955098643454913,0.04163301785645748,0.3468622100954981,304,904,Male,Dom,Scg2,MER
Status,Sub - Dom,0.016041015710954176,0.013057383884280406,1.228501501764509,0.21925876598342547,2.1892935719983977,-0.00955098643454913,0.04163301785645748,0.3629032258064523,329,864,Male,Sub,Scg2,MER
Status,Sub - Dom,0.016041015710954176,0.013057383884280406,1.228501501764509,0.21925876598342547,2.1892935719983977,-0.00955098643454913,0.04163301785645748,0.3629032258064523,336,911,Male,Sub,Scg2,MER
Status,Sub - Dom,0.016041015710954176,0.013057383884280406,1.228501501764509,0.21925876598342547,2.1892935719983977,-0.00955098643454913,0.04163301785645748,0.3629032258064523,235,705,Male,Sub,Scg2,MER
