term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.03320332049167648,0.003553103434122606,9.34487866939219,9.199488719371218e-21,66.55893631000025,0.026239365727450586,0.04016727525590237,0.002608412131865707,1,1123,Female,Dom,Tac1,MER
Sex,Male - Female,0.03320332049167648,0.003553103434122606,9.34487866939219,9.199488719371218e-21,66.55893631000025,0.026239365727450586,0.04016727525590237,0.002608412131865707,5,1119,Female,Dom,Tac1,MER
Sex,Male - Female,0.03320332049167648,0.003553103434122606,9.34487866939219,9.199488719371218e-21,66.55893631000025,0.026239365727450586,0.04016727525590237,0.002608412131865707,2,825,Female,Dom,Tac1,MER
Sex,Male - Female,0.004422177109746108,0.0032654910329853737,1.3542150522162881,0.17566777817023155,2.509078505345984,-0.00197806770674372,0.010822421926235937,0.0076745970838022785,1,377,Female,Sub,Tac1,MER
Sex,Male - Female,0.004422177109746108,0.0032654910329853737,1.3542150522162881,0.17566777817023155,2.509078505345984,-0.00197806770674372,0.010822421926235937,0.0076745970838022785,5,456,Female,Sub,Tac1,MER
Sex,Male - Female,0.004422177109746108,0.0032654910329853737,1.3542150522162881,0.17566777817023155,2.509078505345984,-0.00197806770674372,0.010822421926235937,0.0076745970838022785,4,470,Female,Sub,Tac1,MER
Sex,Male - Female,0.03320332049167648,0.003553103434122606,9.34487866939219,9.199488719371218e-21,66.55893631000025,0.026239365727450586,0.04016727525590237,0.03581173262354219,15,767,Male,Dom,Tac1,MER
Sex,Male - Female,0.03320332049167648,0.003553103434122606,9.34487866939219,9.199488719371218e-21,66.55893631000025,0.026239365727450586,0.04016727525590237,0.03581173262354219,73,1261,Male,Dom,Tac1,MER
Sex,Male - Female,0.03320332049167648,0.003553103434122606,9.34487866939219,9.199488719371218e-21,66.55893631000025,0.026239365727450586,0.04016727525590237,0.03581173262354219,17,904,Male,Dom,Tac1,MER
Sex,Male - Female,0.004422177109746108,0.0032654910329853737,1.3542150522162881,0.17566777817023155,2.509078505345984,-0.00197806770674372,0.010822421926235937,0.012096774193548387,9,864,Male,Sub,Tac1,MER
Sex,Male - Female,0.004422177109746108,0.0032654910329853737,1.3542150522162881,0.17566777817023155,2.509078505345984,-0.00197806770674372,0.010822421926235937,0.012096774193548387,13,911,Male,Sub,Tac1,MER
Sex,Male - Female,0.004422177109746108,0.0032654910329853737,1.3542150522162881,0.17566777817023155,2.509078505345984,-0.00197806770674372,0.010822421926235937,0.012096774193548387,8,705,Male,Sub,Tac1,MER
Status,Sub - Dom,0.005066184951936571,0.0025870687407096183,1.9582722608858647,0.050198073916820546,4.316224180259246,-4.376605383671524e-6,0.010136746509256812,0.002608412131865707,1,1123,Female,Dom,Tac1,MER
Status,Sub - Dom,0.005066184951936571,0.0025870687407096183,1.9582722608858647,0.050198073916820546,4.316224180259246,-4.376605383671524e-6,0.010136746509256812,0.002608412131865707,5,1119,Female,Dom,Tac1,MER
Status,Sub - Dom,0.005066184951936571,0.0025870687407096183,1.9582722608858647,0.050198073916820546,4.316224180259246,-4.376605383671524e-6,0.010136746509256812,0.002608412131865707,2,825,Female,Dom,Tac1,MER
Status,Sub - Dom,0.005066184951936571,0.0025870687407096183,1.9582722608858647,0.050198073916820546,4.316224180259246,-4.376605383671524e-6,0.010136746509256812,0.0076745970838022785,1,377,Female,Sub,Tac1,MER
Status,Sub - Dom,0.005066184951936571,0.0025870687407096183,1.9582722608858647,0.050198073916820546,4.316224180259246,-4.376605383671524e-6,0.010136746509256812,0.0076745970838022785,5,456,Female,Sub,Tac1,MER
Status,Sub - Dom,0.005066184951936571,0.0025870687407096183,1.9582722608858647,0.050198073916820546,4.316224180259246,-4.376605383671524e-6,0.010136746509256812,0.0076745970838022785,4,470,Female,Sub,Tac1,MER
Status,Sub - Dom,-0.023714958429993802,0.004073702470942016,-5.821475328439949,5.833041704019587e-9,27.35310446507937,-0.03169926855677198,-0.015730648303215626,0.03581173262354219,15,767,Male,Dom,Tac1,MER
Status,Sub - Dom,-0.023714958429993802,0.004073702470942016,-5.821475328439949,5.833041704019587e-9,27.35310446507937,-0.03169926855677198,-0.015730648303215626,0.03581173262354219,73,1261,Male,Dom,Tac1,MER
Status,Sub - Dom,-0.023714958429993802,0.004073702470942016,-5.821475328439949,5.833041704019587e-9,27.35310446507937,-0.03169926855677198,-0.015730648303215626,0.03581173262354219,17,904,Male,Dom,Tac1,MER
Status,Sub - Dom,-0.023714958429993802,0.004073702470942016,-5.821475328439949,5.833041704019587e-9,27.35310446507937,-0.03169926855677198,-0.015730648303215626,0.012096774193548387,9,864,Male,Sub,Tac1,MER
Status,Sub - Dom,-0.023714958429993802,0.004073702470942016,-5.821475328439949,5.833041704019587e-9,27.35310446507937,-0.03169926855677198,-0.015730648303215626,0.012096774193548387,13,911,Male,Sub,Tac1,MER
Status,Sub - Dom,-0.023714958429993802,0.004073702470942016,-5.821475328439949,5.833041704019587e-9,27.35310446507937,-0.03169926855677198,-0.015730648303215626,0.012096774193548387,8,705,Male,Sub,Tac1,MER
