term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.003219703119636526,0.0018042936386381747,1.7844673675547948,0.0743477527816062,3.7495670534126835,-3.1664742962902266e-4,0.006756053668902074,0.0032605151614003435,5,1123,Female,Dom,Trh,MER
Sex,Male - Female,0.003219703119636526,0.0018042936386381747,1.7844673675547948,0.0743477527816062,3.7495670534126835,-3.1664742962902266e-4,0.006756053668902074,0.0032605151614003435,2,1119,Female,Dom,Trh,MER
Sex,Male - Female,0.003219703119636526,0.0018042936386381747,1.7844673675547948,0.0743477527816062,3.7495670534126835,-3.1664742962902266e-4,0.006756053668902074,0.0032605151614003435,3,825,Female,Dom,Trh,MER
Sex,Male - Female,0.01603774168791603,0.003664315686003605,4.376735811593568,1.2046984575117497e-5,16.340968397104835,0.008855814915363785,0.023219668460468277,0.00613967766692269,3,377,Female,Sub,Trh,MER
Sex,Male - Female,0.01603774168791603,0.003664315686003605,4.376735811593568,1.2046984575117497e-5,16.340968397104835,0.008855814915363785,0.023219668460468277,0.00613967766692269,3,456,Female,Sub,Trh,MER
Sex,Male - Female,0.01603774168791603,0.003664315686003605,4.376735811593568,1.2046984575117497e-5,16.340968397104835,0.008855814915363785,0.023219668460468277,0.00613967766692269,2,470,Female,Sub,Trh,MER
Sex,Male - Female,0.003219703119636526,0.0018042936386381747,1.7844673675547948,0.0743477527816062,3.7495670534126835,-3.1664742962902266e-4,0.006756053668902074,0.006480218281036869,6,767,Male,Dom,Trh,MER
Sex,Male - Female,0.003219703119636526,0.0018042936386381747,1.7844673675547948,0.0743477527816062,3.7495670534126835,-3.1664742962902266e-4,0.006756053668902074,0.006480218281036869,6,1261,Male,Dom,Trh,MER
Sex,Male - Female,0.003219703119636526,0.0018042936386381747,1.7844673675547948,0.0743477527816062,3.7495670534126835,-3.1664742962902266e-4,0.006756053668902074,0.006480218281036869,7,904,Male,Dom,Trh,MER
Sex,Male - Female,0.01603774168791603,0.003664315686003605,4.376735811593568,1.2046984575117497e-5,16.340968397104835,0.008855814915363785,0.023219668460468277,0.02217741935483872,22,864,Male,Sub,Trh,MER
Sex,Male - Female,0.01603774168791603,0.003664315686003605,4.376735811593568,1.2046984575117497e-5,16.340968397104835,0.008855814915363785,0.023219668460468277,0.02217741935483872,17,911,Male,Sub,Trh,MER
Sex,Male - Female,0.01603774168791603,0.003664315686003605,4.376735811593568,1.2046984575117497e-5,16.340968397104835,0.008855814915363785,0.023219668460468277,0.02217741935483872,16,705,Male,Sub,Trh,MER
Status,Sub - Dom,0.002879162505522347,0.0023963831061323,1.2014616937311162,0.22957215714137982,2.1229804145019004,-0.001817662075657186,0.007575987086701879,0.0032605151614003435,5,1123,Female,Dom,Trh,MER
Status,Sub - Dom,0.002879162505522347,0.0023963831061323,1.2014616937311162,0.22957215714137982,2.1229804145019004,-0.001817662075657186,0.007575987086701879,0.0032605151614003435,2,1119,Female,Dom,Trh,MER
Status,Sub - Dom,0.002879162505522347,0.0023963831061323,1.2014616937311162,0.22957215714137982,2.1229804145019004,-0.001817662075657186,0.007575987086701879,0.0032605151614003435,3,825,Female,Dom,Trh,MER
Status,Sub - Dom,0.002879162505522347,0.0023963831061323,1.2014616937311162,0.22957215714137982,2.1229804145019004,-0.001817662075657186,0.007575987086701879,0.00613967766692269,3,377,Female,Sub,Trh,MER
Status,Sub - Dom,0.002879162505522347,0.0023963831061323,1.2014616937311162,0.22957215714137982,2.1229804145019004,-0.001817662075657186,0.007575987086701879,0.00613967766692269,3,456,Female,Sub,Trh,MER
Status,Sub - Dom,0.002879162505522347,0.0023963831061323,1.2014616937311162,0.22957215714137982,2.1229804145019004,-0.001817662075657186,0.007575987086701879,0.00613967766692269,2,470,Female,Sub,Trh,MER
Status,Sub - Dom,0.01569720107380185,0.003307571983161248,4.745838081141042,2.0764477204302263e-6,18.87745102042471,0.009214479110532085,0.022179923037071617,0.006480218281036869,6,767,Male,Dom,Trh,MER
Status,Sub - Dom,0.01569720107380185,0.003307571983161248,4.745838081141042,2.0764477204302263e-6,18.87745102042471,0.009214479110532085,0.022179923037071617,0.006480218281036869,6,1261,Male,Dom,Trh,MER
Status,Sub - Dom,0.01569720107380185,0.003307571983161248,4.745838081141042,2.0764477204302263e-6,18.87745102042471,0.009214479110532085,0.022179923037071617,0.006480218281036869,7,904,Male,Dom,Trh,MER
Status,Sub - Dom,0.01569720107380185,0.003307571983161248,4.745838081141042,2.0764477204302263e-6,18.87745102042471,0.009214479110532085,0.022179923037071617,0.02217741935483872,22,864,Male,Sub,Trh,MER
Status,Sub - Dom,0.01569720107380185,0.003307571983161248,4.745838081141042,2.0764477204302263e-6,18.87745102042471,0.009214479110532085,0.022179923037071617,0.02217741935483872,17,911,Male,Sub,Trh,MER
Status,Sub - Dom,0.01569720107380185,0.003307571983161248,4.745838081141042,2.0764477204302263e-6,18.87745102042471,0.009214479110532085,0.022179923037071617,0.02217741935483872,16,705,Male,Sub,Trh,MER
