term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.14955077840907322,0.00852359637728559,17.54550213189458,6.438125849995943e-69,226.52639776889168,0.1328448364908374,0.16625672032730904,0.055428757743723536,63,1123,Female,Dom,Ubl5,MER
Sex,Male - Female,0.14955077840907322,0.00852359637728559,17.54550213189458,6.438125849995943e-69,226.52639776889168,0.1328448364908374,0.16625672032730904,0.055428757743723536,62,1119,Female,Dom,Ubl5,MER
Sex,Male - Female,0.14955077840907322,0.00852359637728559,17.54550213189458,6.438125849995943e-69,226.52639776889168,0.1328448364908374,0.16625672032730904,0.055428757743723536,45,825,Female,Dom,Ubl5,MER
Sex,Male - Female,0.006654308914910978,0.011914296339822493,0.5585146386421104,0.5764930112848394,0.7946249764219695,-0.016697282812278492,0.030005900642100448,0.13891020721412134,46,377,Female,Sub,Ubl5,MER
Sex,Male - Female,0.006654308914910978,0.011914296339822493,0.5585146386421104,0.5764930112848394,0.7946249764219695,-0.016697282812278492,0.030005900642100448,0.13891020721412134,76,456,Female,Sub,Ubl5,MER
Sex,Male - Female,0.006654308914910978,0.011914296339822493,0.5585146386421104,0.5764930112848394,0.7946249764219695,-0.016697282812278492,0.030005900642100448,0.13891020721412134,59,470,Female,Sub,Ubl5,MER
Sex,Male - Female,0.14955077840907322,0.00852359637728559,17.54550213189458,6.438125849995943e-69,226.52639776889168,0.1328448364908374,0.16625672032730904,0.20497953615279677,158,767,Male,Dom,Ubl5,MER
Sex,Male - Female,0.14955077840907322,0.00852359637728559,17.54550213189458,6.438125849995943e-69,226.52639776889168,0.1328448364908374,0.16625672032730904,0.20497953615279677,261,1261,Male,Dom,Ubl5,MER
Sex,Male - Female,0.14955077840907322,0.00852359637728559,17.54550213189458,6.438125849995943e-69,226.52639776889168,0.1328448364908374,0.16625672032730904,0.20497953615279677,182,904,Male,Dom,Ubl5,MER
Sex,Male - Female,0.006654308914910978,0.011914296339822493,0.5585146386421104,0.5764930112848394,0.7946249764219695,-0.016697282812278492,0.030005900642100448,0.14556451612903232,117,864,Male,Sub,Ubl5,MER
Sex,Male - Female,0.006654308914910978,0.011914296339822493,0.5585146386421104,0.5764930112848394,0.7946249764219695,-0.016697282812278492,0.030005900642100448,0.14556451612903232,149,911,Male,Sub,Ubl5,MER
Sex,Male - Female,0.006654308914910978,0.011914296339822493,0.5585146386421104,0.5764930112848394,0.7946249764219695,-0.016697282812278492,0.030005900642100448,0.14556451612903232,95,705,Male,Sub,Ubl5,MER
Status,Sub - Dom,0.0834814494703978,0.010434075683652363,8.000847607535832,1.2356564022345997e-15,49.523643793099026,0.06303103691847403,0.10393186202232158,0.055428757743723536,63,1123,Female,Dom,Ubl5,MER
Status,Sub - Dom,0.0834814494703978,0.010434075683652363,8.000847607535832,1.2356564022345997e-15,49.523643793099026,0.06303103691847403,0.10393186202232158,0.055428757743723536,62,1119,Female,Dom,Ubl5,MER
Status,Sub - Dom,0.0834814494703978,0.010434075683652363,8.000847607535832,1.2356564022345997e-15,49.523643793099026,0.06303103691847403,0.10393186202232158,0.055428757743723536,45,825,Female,Dom,Ubl5,MER
Status,Sub - Dom,0.0834814494703978,0.010434075683652363,8.000847607535832,1.2356564022345997e-15,49.523643793099026,0.06303103691847403,0.10393186202232158,0.13891020721412134,46,377,Female,Sub,Ubl5,MER
Status,Sub - Dom,0.0834814494703978,0.010434075683652363,8.000847607535832,1.2356564022345997e-15,49.523643793099026,0.06303103691847403,0.10393186202232158,0.13891020721412134,76,456,Female,Sub,Ubl5,MER
Status,Sub - Dom,0.0834814494703978,0.010434075683652363,8.000847607535832,1.2356564022345997e-15,49.523643793099026,0.06303103691847403,0.10393186202232158,0.13891020721412134,59,470,Female,Sub,Ubl5,MER
Status,Sub - Dom,-0.05941502002376445,0.010282617072687945,-5.778200199789504,7.550393535725399e-9,26.980801012562686,-0.07956857915304949,-0.039261460894479405,0.20497953615279677,158,767,Male,Dom,Ubl5,MER
Status,Sub - Dom,-0.05941502002376445,0.010282617072687945,-5.778200199789504,7.550393535725399e-9,26.980801012562686,-0.07956857915304949,-0.039261460894479405,0.20497953615279677,261,1261,Male,Dom,Ubl5,MER
Status,Sub - Dom,-0.05941502002376445,0.010282617072687945,-5.778200199789504,7.550393535725399e-9,26.980801012562686,-0.07956857915304949,-0.039261460894479405,0.20497953615279677,182,904,Male,Dom,Ubl5,MER
Status,Sub - Dom,-0.05941502002376445,0.010282617072687945,-5.778200199789504,7.550393535725399e-9,26.980801012562686,-0.07956857915304949,-0.039261460894479405,0.14556451612903232,117,864,Male,Sub,Ubl5,MER
Status,Sub - Dom,-0.05941502002376445,0.010282617072687945,-5.778200199789504,7.550393535725399e-9,26.980801012562686,-0.07956857915304949,-0.039261460894479405,0.14556451612903232,149,911,Male,Sub,Ubl5,MER
Status,Sub - Dom,-0.05941502002376445,0.010282617072687945,-5.778200199789504,7.550393535725399e-9,26.980801012562686,-0.07956857915304949,-0.039261460894479405,0.14556451612903232,95,705,Male,Sub,Ubl5,MER
