term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.038484420920497205,0.004070019756289352,9.455585777201131,3.212183171531709e-21,68.07693582919231,0.030507328781803587,0.04646151305919082,0.006194978806651431,6,1123,Female,Dom,Vgf,MER
Sex,Male - Female,0.038484420920497205,0.004070019756289352,9.455585777201131,3.212183171531709e-21,68.07693582919231,0.030507328781803587,0.04646151305919082,0.006194978806651431,7,1119,Female,Dom,Vgf,MER
Sex,Male - Female,0.038484420920497205,0.004070019756289352,9.455585777201131,3.212183171531709e-21,68.07693582919231,0.030507328781803587,0.04646151305919082,0.006194978806651431,6,825,Female,Dom,Vgf,MER
Sex,Male - Female,0.016700604065047198,0.00532856596275872,3.1341648356738956,0.0017234401294372655,9.180493102849406,0.006256806688794109,0.027144401441300287,0.01918649270914792,4,377,Female,Sub,Vgf,MER
Sex,Male - Female,0.016700604065047198,0.00532856596275872,3.1341648356738956,0.0017234401294372655,9.180493102849406,0.006256806688794109,0.027144401441300287,0.01918649270914792,8,456,Female,Sub,Vgf,MER
Sex,Male - Female,0.016700604065047198,0.00532856596275872,3.1341648356738956,0.0017234401294372655,9.180493102849406,0.006256806688794109,0.027144401441300287,0.01918649270914792,13,470,Female,Sub,Vgf,MER
Sex,Male - Female,0.038484420920497205,0.004070019756289352,9.455585777201131,3.212183171531709e-21,68.07693582919231,0.030507328781803587,0.04646151305919082,0.044679399727148635,34,767,Male,Dom,Vgf,MER
Sex,Male - Female,0.038484420920497205,0.004070019756289352,9.455585777201131,3.212183171531709e-21,68.07693582919231,0.030507328781803587,0.04646151305919082,0.044679399727148635,52,1261,Male,Dom,Vgf,MER
Sex,Male - Female,0.038484420920497205,0.004070019756289352,9.455585777201131,3.212183171531709e-21,68.07693582919231,0.030507328781803587,0.04646151305919082,0.044679399727148635,45,904,Male,Dom,Vgf,MER
Sex,Male - Female,0.016700604065047198,0.00532856596275872,3.1341648356738956,0.0017234401294372655,9.180493102849406,0.006256806688794109,0.027144401441300287,0.03588709677419512,31,864,Male,Sub,Vgf,MER
Sex,Male - Female,0.016700604065047198,0.00532856596275872,3.1341648356738956,0.0017234401294372655,9.180493102849406,0.006256806688794109,0.027144401441300287,0.03588709677419512,43,911,Male,Sub,Vgf,MER
Sex,Male - Female,0.016700604065047198,0.00532856596275872,3.1341648356738956,0.0017234401294372655,9.180493102849406,0.006256806688794109,0.027144401441300287,0.03588709677419512,15,705,Male,Sub,Vgf,MER
Status,Sub - Dom,0.01299151390249649,0.0040558219154475375,3.203176612122761,0.001359205977992716,9.523020181823167,0.005042249020511062,0.020940778784481917,0.006194978806651431,6,1123,Female,Dom,Vgf,MER
Status,Sub - Dom,0.01299151390249649,0.0040558219154475375,3.203176612122761,0.001359205977992716,9.523020181823167,0.005042249020511062,0.020940778784481917,0.006194978806651431,7,1119,Female,Dom,Vgf,MER
Status,Sub - Dom,0.01299151390249649,0.0040558219154475375,3.203176612122761,0.001359205977992716,9.523020181823167,0.005042249020511062,0.020940778784481917,0.006194978806651431,6,825,Female,Dom,Vgf,MER
Status,Sub - Dom,0.01299151390249649,0.0040558219154475375,3.203176612122761,0.001359205977992716,9.523020181823167,0.005042249020511062,0.020940778784481917,0.01918649270914792,4,377,Female,Sub,Vgf,MER
Status,Sub - Dom,0.01299151390249649,0.0040558219154475375,3.203176612122761,0.001359205977992716,9.523020181823167,0.005042249020511062,0.020940778784481917,0.01918649270914792,8,456,Female,Sub,Vgf,MER
Status,Sub - Dom,0.01299151390249649,0.0040558219154475375,3.203176612122761,0.001359205977992716,9.523020181823167,0.005042249020511062,0.020940778784481917,0.01918649270914792,13,470,Female,Sub,Vgf,MER
Status,Sub - Dom,-0.008792302952953517,0.005339380373199864,-1.6466897539431777,0.0996218312989212,3.3273942581700817,-0.01925729618418528,0.001672690278278247,0.044679399727148635,34,767,Male,Dom,Vgf,MER
Status,Sub - Dom,-0.008792302952953517,0.005339380373199864,-1.6466897539431777,0.0996218312989212,3.3273942581700817,-0.01925729618418528,0.001672690278278247,0.044679399727148635,52,1261,Male,Dom,Vgf,MER
Status,Sub - Dom,-0.008792302952953517,0.005339380373199864,-1.6466897539431777,0.0996218312989212,3.3273942581700817,-0.01925729618418528,0.001672690278278247,0.044679399727148635,45,904,Male,Dom,Vgf,MER
Status,Sub - Dom,-0.008792302952953517,0.005339380373199864,-1.6466897539431777,0.0996218312989212,3.3273942581700817,-0.01925729618418528,0.001672690278278247,0.03588709677419512,31,864,Male,Sub,Vgf,MER
Status,Sub - Dom,-0.008792302952953517,0.005339380373199864,-1.6466897539431777,0.0996218312989212,3.3273942581700817,-0.01925729618418528,0.001672690278278247,0.03588709677419512,43,911,Male,Sub,Vgf,MER
Status,Sub - Dom,-0.008792302952953517,0.005339380373199864,-1.6466897539431777,0.0996218312989212,3.3273942581700817,-0.01925729618418528,0.001672690278278247,0.03588709677419512,15,705,Male,Sub,Vgf,MER
