term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.np,EffectType
Sex,Male - Female,0.0034706916161258627,0.0014301920014735145,2.426731244860857,0.015235537430997134,6.036415798030006,6.67566802260519e-4,0.0062738164299912065,0.0013042060646381102,0,1123,Female,Dom,Vip,MER
Sex,Male - Female,0.0034706916161258627,0.0014301920014735145,2.426731244860857,0.015235537430997134,6.036415798030006,6.67566802260519e-4,0.0062738164299912065,0.0013042060646381102,4,1119,Female,Dom,Vip,MER
Sex,Male - Female,0.0034706916161258627,0.0014301920014735145,2.426731244860857,0.015235537430997134,6.036415798030006,6.67566802260519e-4,0.0062738164299912065,0.0013042060646381102,0,825,Female,Dom,Vip,MER
Sex,Male - Female,-5.725001856757362e-4,0.0022665056073578513,-0.2525915593666325,0.8005838532096473,0.32087557625069585,-0.005014769546855205,0.0038697691755037325,0.004604758250191858,4,377,Female,Sub,Vip,MER
Sex,Male - Female,-5.725001856757362e-4,0.0022665056073578513,-0.2525915593666325,0.8005838532096473,0.32087557625069585,-0.005014769546855205,0.0038697691755037325,0.004604758250191858,1,456,Female,Sub,Vip,MER
Sex,Male - Female,-5.725001856757362e-4,0.0022665056073578513,-0.2525915593666325,0.8005838532096473,0.32087557625069585,-0.005014769546855205,0.0038697691755037325,0.004604758250191858,1,470,Female,Sub,Vip,MER
Sex,Male - Female,0.0034706916161258627,0.0014301920014735145,2.426731244860857,0.015235537430997134,6.036415798030006,6.67566802260519e-4,0.0062738164299912065,0.004774897680763973,1,767,Male,Dom,Vip,MER
Sex,Male - Female,0.0034706916161258627,0.0014301920014735145,2.426731244860857,0.015235537430997134,6.036415798030006,6.67566802260519e-4,0.0062738164299912065,0.004774897680763973,9,1261,Male,Dom,Vip,MER
Sex,Male - Female,0.0034706916161258627,0.0014301920014735145,2.426731244860857,0.015235537430997134,6.036415798030006,6.67566802260519e-4,0.0062738164299912065,0.004774897680763973,4,904,Male,Dom,Vip,MER
Sex,Male - Female,-5.725001856757362e-4,0.0022665056073578513,-0.2525915593666325,0.8005838532096473,0.32087557625069585,-0.005014769546855205,0.0038697691755037325,0.004032258064516122,2,864,Male,Sub,Vip,MER
Sex,Male - Female,-5.725001856757362e-4,0.0022665056073578513,-0.2525915593666325,0.8005838532096473,0.32087557625069585,-0.005014769546855205,0.0038697691755037325,0.004032258064516122,7,911,Male,Sub,Vip,MER
Sex,Male - Female,-5.725001856757362e-4,0.0022665056073578513,-0.2525915593666325,0.8005838532096473,0.32087557625069585,-0.005014769546855205,0.0038697691755037325,0.004032258064516122,1,705,Male,Sub,Vip,MER
Status,Sub - Dom,0.0033005521855537477,0.0019855407994795785,1.6622938125566804,0.09645387781616029,3.3740169484554303,-5.910362712610905e-4,0.007192140642368586,0.0013042060646381102,0,1123,Female,Dom,Vip,MER
Status,Sub - Dom,0.0033005521855537477,0.0019855407994795785,1.6622938125566804,0.09645387781616029,3.3740169484554303,-5.910362712610905e-4,0.007192140642368586,0.0013042060646381102,4,1119,Female,Dom,Vip,MER
Status,Sub - Dom,0.0033005521855537477,0.0019855407994795785,1.6622938125566804,0.09645387781616029,3.3740169484554303,-5.910362712610905e-4,0.007192140642368586,0.0013042060646381102,0,825,Female,Dom,Vip,MER
Status,Sub - Dom,0.0033005521855537477,0.0019855407994795785,1.6622938125566804,0.09645387781616029,3.3740169484554303,-5.910362712610905e-4,0.007192140642368586,0.004604758250191858,4,377,Female,Sub,Vip,MER
Status,Sub - Dom,0.0033005521855537477,0.0019855407994795785,1.6622938125566804,0.09645387781616029,3.3740169484554303,-5.910362712610905e-4,0.007192140642368586,0.004604758250191858,1,456,Female,Sub,Vip,MER
Status,Sub - Dom,0.0033005521855537477,0.0019855407994795785,1.6622938125566804,0.09645387781616029,3.3740169484554303,-5.910362712610905e-4,0.007192140642368586,0.004604758250191858,1,470,Female,Sub,Vip,MER
Status,Sub - Dom,-7.426396162478512e-4,0.001800034603961679,-0.41256963316893064,0.6799219535822287,0.5565589421155539,-0.004270642610938561,0.0027853633784428585,0.004774897680763973,1,767,Male,Dom,Vip,MER
Status,Sub - Dom,-7.426396162478512e-4,0.001800034603961679,-0.41256963316893064,0.6799219535822287,0.5565589421155539,-0.004270642610938561,0.0027853633784428585,0.004774897680763973,9,1261,Male,Dom,Vip,MER
Status,Sub - Dom,-7.426396162478512e-4,0.001800034603961679,-0.41256963316893064,0.6799219535822287,0.5565589421155539,-0.004270642610938561,0.0027853633784428585,0.004774897680763973,4,904,Male,Dom,Vip,MER
Status,Sub - Dom,-7.426396162478512e-4,0.001800034603961679,-0.41256963316893064,0.6799219535822287,0.5565589421155539,-0.004270642610938561,0.0027853633784428585,0.004032258064516122,2,864,Male,Sub,Vip,MER
Status,Sub - Dom,-7.426396162478512e-4,0.001800034603961679,-0.41256963316893064,0.6799219535822287,0.5565589421155539,-0.004270642610938561,0.0027853633784428585,0.004032258064516122,7,911,Male,Sub,Vip,MER
Status,Sub - Dom,-7.426396162478512e-4,0.001800034603961679,-0.41256963316893064,0.6799219535822287,0.5565589421155539,-0.004270642610938561,0.0027853633784428585,0.004032258064516122,1,705,Male,Sub,Vip,MER
