Predictor,Estimate,Std.error,z.value,p.value,neuron.np,p.adjust.fdr,lwr,upr
SexMale,1.6810650958016622,0.20533748071536148,8.18683997653576,1.1102230246251565e-15,Penk,0,1.1977210454220455,2.1644091461812787
StatusSub,0.43836234808578006,0.29702241443845,1.4758561198640414,0.3098876093402372,Penk,0.3099,-0.26079893678077487,1.137523632952335
SexMale:StatusSub,-1.7436173823455254,0.3541107020986965,-4.923933030014864,1.6802470969023986e-6,Penk,0,-2.577158830496493,-0.9100759341945578
SexMale,-1.6331680956827337,0.6296844512728029,-2.593629384339338,0.02773148869921327,Pomc,0.0832,-3.1317403179705856,-0.13459587339488177
StatusSub,-20.514695844451683,6610.758114253528,-0.0031032289322792984,0.9999999837748362,Pomc,1,-15753.313017701703,15712.2836260128
SexMale:StatusSub,19.582889370576115,6610.758215155581,0.002962275843893535,0.9999999858988098,Pomc,1,-15713.21567262126,15752.381451362413
SexMale,19.7304389934691,6587.267856977846,0.0029952386060282618,0.9999921209009512,Pdyn,1,-14333.040457757914,14372.501335744852
StatusSub,0.8489112343316644,9332.428419611702,9.096359448605182e-5,0.9999999971016643,Pdyn,1,-20333.257720717804,20334.955543186465
SexMale:StatusSub,-1.0871670578011858,9332.4284642988,-1.1649347883674038e-4,0.9999999940604293,Pdyn,1,-20335.193896377114,20333.01956226151
SexMale,1.3498715629101339,0.4612933398140819,2.926275856170353,0.009760100884488532,Pnoc,0.0293,0.26490665288066495,2.434836472939603
StatusSub,0.16323021493583945,0.7078812799923525,0.23058981717612717,0.9929554081841936,Pnoc,0.993,-1.5017111205882996,1.8281715504599787
SexMale:StatusSub,-0.38026119350319726,0.7835601066236674,-0.4852993283970635,0.9241122904458025,Pnoc,0.993,-2.2231996173015207,1.462677230295126
SexMale,-0.1454457320091767,0.07859861830292873,-1.8504871351378085,0.17227378434157936,Avp,0.1723,-0.3335816186903704,0.04269015467201698
StatusSub,0.5204724701131703,0.08710763392724426,5.975050023145957,3.812988036422382e-9,Avp,0,0.31196916179238937,0.7289757784339512
SexMale:StatusSub,1.368592480968246,0.11196332628083988,12.223578259325537,0,Avp,0,1.1005938809873006,1.6365910809491913
SexMale,0.3061846439848552,0.05263646969278229,5.816967698858428,1.3159895173586733e-8,Oxt,0,0.1788382616332893,0.43353102633642104
StatusSub,2.0525893497798253,0.10114309249982203,20.293915274376616,0,Oxt,0,1.807888156768997,2.2972905427906536
SexMale:StatusSub,-0.2967399589765021,0.12807041258188456,-2.3170063482599863,0.06558417260512839,Oxt,0.0656,-0.6065879374554208,0.013108019502416635
SexMale,1.9950592683428805,0.7563712537702516,2.637671987662399,0.020934788939750204,Cck,0.0628,0.2535690719751049,3.736549464710656
StatusSub,1.2631484130288533,0.9134706903225068,1.3828012506705503,0.3192136562567317,Cck,0.3192,-0.8400518922925821,3.366348718350289
