neuron.np,EffectType,term,Estimate,Std.error,lwr,upr,t.val
Penk,AIE,Sex:Status,-0.0401887322392936,0.0059461726930457115,-0.05184323071766319,-0.05184323071766319,NA
Penk,HypotheticalInt,Sex:Status,0.01750085946755132,0.0059461726930457115,0.01155468677450561,0.023447032160597032,-6.758756315015193
Pomc,AIE,Sex:Status,0.0045968576980603,0.0014843257275848388,0.0016875792719940157,0.0016875792719940157,NA
Pomc,HypotheticalInt,Sex:Status,1.0877039368334008e-5,0.001484325668623817,-0.001473448629255483,0.001495202707992151,3.0969333719885386
Pdyn,AIE,Sex:Status,-2.1674075095659976e-4,8.206929966378884e-4,-0.001825299024366861,-0.001825299024366861,NA
Pdyn,HypotheticalInt,Sex:Status,6.198584620734749e-8,8.206929966378884e-4,-8.20631010791681e-4,8.207549824840957e-4,-0.26409479774351186
Pnoc,AIE,Sex:Status,-0.0018010935726849838,0.002713591893338955,-0.007119733683629335,-0.007119733683629335,NA
Pnoc,HypotheticalInt,Sex:Status,0.0037837382844979283,0.002713591893338955,0.0010701463911589734,0.006497330177836883,-0.6637304515487839
Avp,AIE,Sex:Status,0.2769023180172751,0.017230617624057046,0.24313030747412329,0.24313030747412329,NA
Avp,HypotheticalInt,Sex:Status,0.2048696372418584,0.017230617624057042,0.18763901961780136,0.22210025486591542,16.0703652102795
Oxt,AIE,Sex:Status,-0.07327325424090647,0.01616435323084258,-0.10495538657335793,-0.10495538657335793,NA
Oxt,HypotheticalInt,Sex:Status,0.7866338170849088,0.016164353230842584,0.7704694638540662,0.8027981703157513,-4.533014912164663
Cck,AIE,Sex:Status,-0.0036025931284195626,0.0021751069220600763,-0.007865802695657311,-0.007865802695657311,NA
Cck,HypotheticalInt,Sex:Status,0.0021220272608895013,0.0021751069220600763,-5.3079661170575033e-5,0.0042971341829495776,-1.6562832345765757
Sst,AIE,Sex:Status,-0.03252381188432951,0.008105589024122277,-0.048410766371609175,-0.048410766371609175,NA
