contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.np
female.dom.data - female.sub.data,-0.4383623480857802,0.2970224144384499,-1.4758561198640423,0.4522,Penk
female.dom.data - male.dom.data,-1.6810650958016629,0.20533748071536143,-8.186839976535767,0,Penk
female.dom.data - male.sub.data,-0.3758100615419171,0.2542291068381778,-1.4782338112886821,0.4507,Penk
female.sub.data - male.dom.data,-1.2427027477158827,0.24649939265055829,-5.0414028787387695,0,Penk
female.sub.data - male.sub.data,0.06255228654386308,0.28849767478144484,0.21682076498970182,0.9964,Penk
male.dom.data - male.sub.data,1.3052550342597458,0.19280060856227985,6.769973621935497,0,Penk
female.dom.data - female.sub.data,20.514695851389412,6610.758119600733,0.003103228930818668,1,Pomc
female.dom.data - male.dom.data,1.6331680956827346,0.629684451272803,2.593629384339339,0.0468,Pomc
female.dom.data - male.sub.data,2.5649745695583013,1.0311310051844995,2.4875351014193896,0.0618,Pomc
female.sub.data - male.dom.data,-18.881527755706678,6610.758140086053,-0.0028561819016208775,1,Pomc
female.sub.data - male.sub.data,-17.94972128183111,6610.7581905136,-0.0027152288382879977,1,Pomc
male.dom.data - male.sub.data,0.9318064738755667,1.1550230020428647,0.8067427854055723,0.8513,Pomc
female.dom.data - female.sub.data,-0.8489112539701971,9332.428419519703,-9.096359659128107e-5,1,Pdyn
female.dom.data - male.dom.data,-19.730439009677315,6587.267846843747,-0.002995238613096786,1,Pdyn
female.dom.data - male.sub.data,-19.4921831862078,6587.267859499131,-0.002959069465817943,1,Pdyn
female.sub.data - male.dom.data,-18.88152775570712,6610.758140088553,-0.002856181901619864,1,Pdyn
female.sub.data - male.sub.data,-18.643271932237603,6610.758152698968,-0.00282014127602386,1,Pdyn
male.dom.data - male.sub.data,0.23825582346951535,0.913278871440156,0.2608795964958743,0.9938,Pdyn
female.dom.data - female.sub.data,-0.16323021493584097,0.7078812799923531,-0.23058981717612914,0.9957,Pnoc
female.dom.data - male.dom.data,-1.3498715629101357,0.46129333981408227,-2.926275856170354,0.018,Pnoc
female.dom.data - male.sub.data,-1.1328405843427778,0.4838033726142141,-2.3415309782185156,0.0888,Pnoc
female.sub.data - male.dom.data,-1.1866413479742948,0.6163608823888859,-1.9252379277788056,0.2174,Pnoc
female.sub.data - male.sub.data,-0.9696103694069368,0.6333836872980418,-1.5308420296443186,0.4189,Pnoc
male.dom.data - male.sub.data,0.21703097856735787,0.3359621022205954,0.6459983942619028,0.917,Pnoc
female.dom.data - female.sub.data,-0.5204724701131703,0.08710763392724426,-5.975050023145957,0,Avp
female.dom.data - male.dom.data,0.14544573200917635,0.07859861830292873,1.8504871351378038,0.2498,Avp
female.dom.data - male.sub.data,-1.7436192190722393,0.06687175385137674,-26.074076402234844,0,Avp
female.sub.data - male.dom.data,0.6659182021223466,0.08979952655059319,7.415609276594207,0,Avp
female.sub.data - male.sub.data,-1.2231467489590688,0.07973734152039638,-15.339698134357722,0,Avp
male.dom.data - male.sub.data,-1.8890649510814157,0.07034235241635735,-26.855299633711628,0,Avp
female.dom.data - female.sub.data,-2.052589349779826,0.10114309249982208,-20.293915274376616,0,Oxt
female.dom.data - male.dom.data,-0.3061846439848554,0.05263646969278228,-5.816967698858433,0,Oxt
female.dom.data - male.sub.data,-2.0620340347881796,0.07769152476554142,-26.5412995949174,0,Oxt
female.sub.data - male.dom.data,1.7464047057949708,0.10181383775548099,17.15292090245322,0,Oxt
female.sub.data - male.sub.data,-0.009444685008353382,0.11675372643806686,-0.08089407761527342,0.9998,Oxt
male.dom.data - male.sub.data,-1.7558493908033241,0.0785627482873822,-22.34964317160131,0,Oxt
female.dom.data - female.sub.data,-1.2631484130288537,0.9134706903225069,-1.3828012506705505,0.5101,Cck
female.dom.data - male.dom.data,-1.9950592683428814,0.756371253770252,-2.6376719876623986,0.0416,Cck
female.dom.data - male.sub.data,-1.467378549344251,0.8022391860786681,-1.8291035576518935,0.2596,Cck
female.sub.data - male.dom.data,-0.7319108553140277,0.637082233540529,-1.1488483225258015,0.6592,Cck
female.sub.data - male.sub.data,-0.20423013631539733,0.6909153424575039,-0.29559357531267866,0.991,Cck
male.dom.data - male.sub.data,0.5276807189986303,0.46371627305376684,1.1379387562218395,0.666,Cck
female.dom.data - female.sub.data,-1.1897397108437189,0.19157068038968336,-6.210447801425619,0,Sst
female.dom.data - male.dom.data,-0.7019216778890298,0.17844985193076765,-3.9334393965277767,5e-4,Sst
female.dom.data - male.sub.data,-0.7697901808167186,0.18182835024892144,-4.233609224099996,1e-4,Sst
female.sub.data - male.dom.data,0.48781803295468906,0.16451390725712547,2.965208480473681,0.016,Sst
female.sub.data - male.sub.data,0.4199495300270003,0.16817260472840884,2.4971340052989,0.0603,Sst
male.dom.data - male.sub.data,-0.06786850292768876,0.1530589724592594,-0.44341407653023224,0.9709,Sst
