Gene,RRquadrant,Sample
Gm43507,upup,neuron_cluster_11
Hs6st3,upup,neuron_cluster_11
Erc2,upup,neuron_cluster_11
Ankfn1,upup,neuron_cluster_11
Prkg1,upup,neuron_cluster_11
Plpp3,upup,neuron_cluster_11
Pcdh15,upup,neuron_cluster_11
Pde3a,upup,neuron_cluster_11
Gm15398,upup,neuron_cluster_11
Grin2a,upup,neuron_cluster_11
Gm28376,upup,neuron_cluster_11
Lrrc7,upup,neuron_cluster_11
Hdac8,upup,neuron_cluster_11
Xylt1,upup,neuron_cluster_11
Dcc,upup,neuron_cluster_11
Abcb1a,upup,neuron_cluster_11
Zfpm2,upup,neuron_cluster_11
Man1a,upup,neuron_cluster_11
Plcxd3,upup,neuron_cluster_11
Atp10a,upup,neuron_cluster_11
Rreb1,upup,neuron_cluster_11
Rims1,upup,neuron_cluster_11
Gm34544,upup,neuron_cluster_11
Il1rapl1,upup,neuron_cluster_11
Sh2d4a,upup,neuron_cluster_11
Nostrin,upup,neuron_cluster_11
Sox21,upup,neuron_cluster_11
Fam155a,upup,neuron_cluster_11
Celf2,upup,neuron_cluster_11
Col23a1,upup,neuron_cluster_11
Luzp2,upup,neuron_cluster_11
Ephb1,upup,neuron_cluster_11
Ptprn2,upup,neuron_cluster_11
Podxl,upup,neuron_cluster_11
Kcnb2,upup,neuron_cluster_11
Pappa2,upup,neuron_cluster_11
Pdgfra,upup,neuron_cluster_11
Cacnb2,upup,neuron_cluster_11
Tagln,upup,neuron_cluster_11
Fli1,upup,neuron_cluster_11
Abtb2,upup,neuron_cluster_11
Esr1,upup,neuron_cluster_11
Enpp6,upup,neuron_cluster_11
Hmcn1,upup,neuron_cluster_11
Gm16351,upup,neuron_cluster_11
Gm10602,upup,neuron_cluster_11
Cpm,upup,neuron_cluster_11
Nme3,upup,neuron_cluster_11
Zbtb20,upup,neuron_cluster_11
Adamts19,upup,neuron_cluster_11
Epha6,upup,neuron_cluster_11
Ptprt,upup,neuron_cluster_11
Fry,upup,neuron_cluster_11
