Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Oxt,-0.23005327072705484,14.265602128286723,-20.03311356351829,2.2834498919117532e-79,3.717456424032334e-76,168.91083954791392,-0.23522631817312778,14.265602128286723,-17.183856105147147,1.357892331951355e-60,2.210648716416806e-57,125.95162879068585,-0.2248802232809819,14.265602128286723,-12.193803137079676,1.0874225619769053e-32,1.7703239308984019e-29,62.256545731018505,-0.17966511089808446,14.265602128286723,-15.645296233556886,2.9776360544080975e-51,4.8475914965763825e-48,104.34187432727187,-0.1848381583441565,14.265602128286723,-14.11332972153432,1.3973636645641069e-42,1.137454022955183e-39,84.58163373061062,-0.17449206345201063,14.265602128286723,-9.24840980691295,7.513796967974455e-20,4.077487154620804e-17,32.95668665354825,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down
mt-Co3,-0.06770748542024929,14.62610965750037,-8.193183959374089,5.359761535393436e-16,4.3628458898102565e-13,23.703266893319693,0.01332414230569512,14.62610965750037,1.3526017941843604,0.17638507781774196,0.5729120555324433,-8.065005660497825,-0.1487391131461937,14.62610965750037,-11.207508669876837,4.618308319323609e-28,3.7593029719294175e-25,51.672390803938654,0.11926949324497294,14.62610965750037,14.432627246929748,2.4673446559144834e-44,2.0084185499143894e-41,88.47274360940138,0.20030112097091823,14.62610965750037,21.252851869507918,6.417057660701602e-88,1.0446969871622209e-84,188.68917646733814,0.03823786551902941,14.62610965750037,2.816313577711999,0.004920901139801802,0.04194359714972426,-4.702009734849229,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,up,up,Sig,up,up,Sig,up,up
Avp,-0.08120480032658861,14.042761581111506,-8.133001683794893,8.64017697334713e-16,4.688736037536375e-13,23.232367700801582,-0.1071453528675228,14.042761581111506,-9.002376546742365,6.469117990515887e-19,5.265862044279931e-16,30.512892966095276,-0.05526424778565442,14.042761581111506,-3.4465239213317007,5.834028261552862e-4,0.025746861545187016,-2.763390073182924,-0.05281593770132709,14.042761581111506,-5.289737903775777,1.4046527837133086e-7,8.167052613875952e-6,4.7151120906914255,-0.07875649024226128,14.042761581111506,-6.916292108821223,6.819951171132663e-12,1.8504800844339957e-9,14.535293770943834,-0.026875385160392895,14.042761581111506,-1.6383066824800399,0.10156578528816022,0.34163036869653896,-7.317575951726422,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig
Apoe,-0.08695344397303728,14.246267058015336,-7.315169365288693,4.153434336130486e-13,1.6904477748051077e-10,17.152437193538226,-0.027805580273913222,14.246267058015336,-1.962385093008439,0.04990081834193677,0.3578789967430531,-7.055678688118979,-0.14610130767216134,14.246267058015336,-7.653490994528343,3.465282507201388e-14,1.8804933072412864e-11,20.063957581046555,-0.11617883830522224,14.246267058015336,-9.773826544796998,6.3975438204379735e-22,1.7358668899455034e-19,37.1858197517565,-0.057030974606098184,14.246267058015336,-4.206938908456651,2.7406203271472688e-5,0.0015112437649569108,-0.22155354426199025,-0.1753267020043463,14.246267058015336,-8.977532947694815,8.017362332691186e-19,3.263066469405313e-16,30.615918156579532,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down
Fam155a,0.06589732098480638,14.419185074890953,5.38893391167403,8.210551773117618e-8,2.6733556573270968e-5,5.235236781428572,0.015516152742881317,14.419185074890953,1.0644709660338532,0.2872853547645531,0.6693180966202595,-8.413057342121464,0.11627848922673145,14.419185074890953,5.921099425427381,3.951044506265528e-9,1.286460091240056e-6,8.654400231164448,0.06048847930946177,14.419185074890953,4.94661106923464,8.394761056407282e-7,4.019609117597369e-5,2.9879189241943838,0.010107311067535818,14.419185074890953,0.7247505353327921,0.46871721842941316,0.7408462442748395,-8.761168757322725,0.11086964755138595,14.419185074890953,5.518475411598372,4.017471162945359e-8,5.031110040980803e-6,6.422046399393896,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Nrg3,0.06552743793185378,14.523168376138955,5.329315470875985,1.1350012524481263e-7,3.0796367316425826e-5,4.9215174684749865,-0.004849924158246921,14.523168376138955,-0.33090083596255954,0.740765238374951,0.9893074717591634,-8.924907412311544,0.13590480002195449,14.523168376138955,6.8825743556886065,8.584317590879355e-12,3.4938172594878975e-9,14.648539720110165,0.07913065937850661,14.523168376138955,6.435659024011573,1.6461486440163794e-10,2.061484609583589e-8,11.286237316758067,0.008753297288405903,14.523168376138955,0.6242200791731886,0.5325772277615921,0.79437915288419,-8.828989739754075,0.1495080214686073,14.523168376138955,7.40089226193311,2.234764017098964e-13,6.063659699728522e-11,18.253034534892052,Sig,up,up,Not Sig,down,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Astn2,0.0656309460560216,14.170098734896436,5.1082756505602145,3.664647865600538e-7,8.385209881781863e-5,3.7877522996201414,0.06212154839632511,14.170098734896436,4.0562303245084745,5.241420007596755e-5,0.006563870594128859,-0.7934821594909653,0.06914034371571809,14.170098734896436,3.350927786139687,8.252648065712081e-4,0.03198883583566492,-3.0859528823230935,0.04491751464616822,14.170098734896436,3.49608012895086,4.8579441641060576e-4,0.006130800852065629,-3.0652344329973076,0.04140811698647262,14.170098734896436,2.825979165919476,0.004775614520465927,0.07067909490289573,-5.039254729216488,0.0484269123058656,14.170098734896436,2.2941604343353954,0.021917823426211194,0.11585135239568774,-6.030924429965219,Sig,up,up,Sig,up,up,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Fgf14,0.058237084722625454,14.451806954842262,5.085688217429617,4.120496256403864e-7,8.385209881781863e-5,3.674514938318506,0.0256787468904367,14.451806954842262,1.881215755495024,0.06013455690872812,0.39796365303824954,-7.211368269899575,0.09079542255481421,14.451806954842262,4.937213797902462,8.802558095425419e-7,1.4330564579352584e-4,3.4137213393499657,0.04900731456676244,14.451806954842262,4.279677175585352,1.989215016868438e-5,5.397403412436362e-4,-0.047492176317764034,0.016448976734574572,14.451806954842262,1.2595250398194908,0.20803511768142874,0.5308482313250251,-8.230693880697164,0.08156565239895208,14.451806954842262,4.335395932151247,1.5511231439995208e-5,7.652207510397636e-4,0.6844019026482222,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Robo1,0.06545860838711004,14.219653437352774,4.624506820489327,4.07503813606648e-6,7.371291206129143e-4,1.4686581517249433,0.05335726140875785,14.219653437352774,3.1623276308524977,0.0015962236780525708,0.0683855828386733,-3.99346690586819,0.07755995536546223,14.219653437352774,3.4119611793215765,6.619833719779728e-4,0.02763356229692666,-2.8810437137987606,0.056771233943320176,14.219653437352774,4.010762908766296,6.347753295405827e-5,0.0013248900467847035,-1.1502738287460925,0.044669886964967986,14.219653437352774,2.7671412206489663,0.00572392802888036,0.07653873561284233,-5.2030366391510015,0.06887258092167237,14.219653437352774,2.961531527614959,0.0031088826462969195,0.0337417396544759,-4.284639851158841,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Lrfn5,0.05873745086416804,14.201820105890455,4.566364067501384,5.364942051953426e-6,8.734125660580178e-4,1.2050023098171962,0.037187740456094076,14.201820105890455,2.4253247911938693,0.015411132732980228,0.20565019745321156,-6.04280276467572,0.080287161272242,14.201820105890455,3.886596154811737,1.0605646075517207e-4,0.007254504612978212,-1.1635064329872327,0.06808009869953757,14.201820105890455,5.292679744179418,1.38264088484396e-7,8.167052613875952e-6,4.730403411009505,0.04653038829146361,14.201820105890455,3.1718302027691934,0.0015452425463393432,0.03522459189298052,-4.007698807648803,0.08962980910761154,14.201820105890455,4.241107268773387,2.3590693659681984e-5,9.479913465266802e-4,0.2847784103389337,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Sig,up,up,Sig,up,up
